Unnamed: 0,TEN,IND
First Downs,17,29
Rush-Yds-TDs,25-115-0,28-150-2
Cmp-Att-Yd-TD-INT,21-36-269-3-2,25-34-425-3-2
Sacked-Yards,7-44,1-8
Net Pass Yards,225,417
Total Yards,340,567
Fumbles-Lost,2-0,2-1
Turnovers,2,3
Penalties-Yards,9-105,7-88
Third Down Conv.,2-14,3-8
Fourth Down Conv.,1-5,0-0
Time of Possession,33:05,26:55
