Quarter,Time,Tm,Detail,TEN,IND
1.0,11:33,Colts,Mike Vanderjagt 47 yard field goal,0,3
,10:37,Titans,Drew Bennett 48 yard pass from Billy Volek (Gary Anderson kick),7,3
,8:08,Titans,Gary Anderson 45 yard field goal,10,3
,5:10,Colts,Marvin Harrison 24 yard pass from Peyton Manning (Mike Vanderjagt kick),10,10
,3:54,Titans,Drew Bennett 28 yard pass from Billy Volek (Gary Anderson kick),17,10
,1:33,Colts,Edgerrin James 4 yard rush (Mike Vanderjagt kick),17,17
,0:00,Titans,Drew Bennett 48 yard pass from Billy Volek (Gary Anderson kick),24,17
2.0,9:02,Colts,Brandon Stokley 28 yard pass from Peyton Manning (Mike Vanderjagt kick),24,24
,5:05,Colts,Rob Morris 68 yard blocked field goal return (Mike Vanderjagt kick),24,31
3.0,11:57,Colts,Mike Vanderjagt 20 yard field goal,24,34
,4:37,Colts,Edgerrin James 12 yard rush (Mike Vanderjagt kick),24,41
4.0,12:56,Colts,Reggie Wayne 10 yard pass from Peyton Manning (Mike Vanderjagt kick),24,48
,6:57,Colts,Mike Vanderjagt 37 yard field goal,24,51
