Quarter,Time,Down,ToGo,Location,TEN,IND,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Titans won the coin toss, Titans to receive the opening kickoff.",,
1,15:00,,,IND 30,0,0,"Jason Baker kicks off 61 yards, returned by Michael Waddell for 20 yards (tackle by Joe Jefferson)",0.000,-0.870
1,14:56,1,10,TEN 29,0,0,Chris Brown right end for 2 yards (tackle by Rob Morris and Raheem Brock),0.870,0.600
1,14:17,2,8,TEN 31,0,0,Chris Brown right tackle for 2 yards (tackle by Montae Reagor and Rob Morris),0.600,0.170
1,13:32,3,6,TEN 33,0,0,Billy Volek sacked by Montae Reagor for -6 yards. Penalty on Justin Hartwig: Offensive Holding (Declined),0.170,-1.570
1,13:17,4,12,TEN 27,0,0,"Craig Hentrich punts 40 yards, fair catch by Troy Walters",-1.570,-1.140
1,13:09,1,10,IND 33,0,0,"Penalty on Marcus Pollard: False Start, 5 yards (no play)",1.140,0.810
1,13:09,1,15,IND 28,0,0,Peyton Manning pass complete to Brandon Stokley for 37 yards (tackle by Keith Bulluck),0.810,3.250
1,12:34,1,10,TEN 35,0,0,Edgerrin James left end for 5 yards (tackle by Keith Bulluck and Antwan Odom),3.250,3.380
1,11:48,2,5,TEN 30,0,0,Peyton Manning pass incomplete intended for Marcus Pollard,3.380,2.680
1,11:44,3,5,TEN 30,0,0,Peyton Manning pass incomplete intended for Marvin Harrison,2.680,1.450
1,11:39,4,5,TEN 30,0,3,Mike Vanderjagt 47 yard field goal good,1.450,3.000
1,,,,IND 30,0,3,"Jason Baker kicks off 67 yards, returned by Jason McAddley for 31 yards (tackle by Cory Bird)",0.000,-1.200
1,11:26,1,10,TEN 34,0,3,Chris Brown up the middle for 18 yards (tackle by Mike Doss and Nick Harper),1.200,2.390
1,10:45,1,10,IND 48,6,3,"Billy Volek pass complete to Drew Bennett for 48 yards, touchdown",2.390,7.000
1,,,,IND 2,7,3,Gary Anderson kicks extra point good,0.000,0.000
1,,,,TEN 30,7,3,"Craig Hentrich kicks onside 17 yards, recovered by Scott McGarrahan (onside kick successful)",0.000,2.060
1,10:36,1,10,TEN 47,7,3,Billy Volek pass complete to Derrick Mason for 21 yards (tackle by Idrees Bashir),2.060,3.450
1,10:07,1,10,IND 32,7,3,Chris Brown right tackle for 10 yards (tackle by Dwight Freeney and Idrees Bashir),3.450,4.110
1,9:28,1,10,IND 22,7,3,Chris Brown left tackle for 3 yards (tackle by Rob Morris),4.110,3.970
1,8:53,2,7,IND 19,7,3,Billy Volek sacked by Rob Morris for -8 yards,3.970,2.210
1,8:19,,,,7,3,Timeout #1 by Tennessee Titans,0.000,2.210
1,8:19,3,15,IND 27,7,3,Billy Volek pass incomplete intended for Chris Brown,2.210,1.670
1,8:08,4,15,IND 27,10,3,Gary Anderson 45 yard field goal good,1.670,3.000
1,,,,,10,3,"Craig Hentrich kicks onside 12 yards. Penalty on Craig Hentrich: Short Free Kick, 5 yards (no play)",0.000,0.000
1,,,,TEN 25,10,3,"Craig Hentrich kicks off 63 yards, returned by Dominic Rhodes for 22 yards (tackle by Juqua Parker)",0.000,1.200
1,8:03,1,10,IND 34,10,3,Peyton Manning pass complete to Reggie Wayne for 13 yards (tackle by Michael Waddell),1.200,2.060
1,7:29,1,10,IND 47,10,3,Edgerrin James up the middle for 3 yards (tackle by Carlos Hall and Kevin Carter),2.060,1.920
1,6:54,2,7,IND 50,10,3,Peyton Manning pass complete to Marvin Harrison for 12 yards (tackle by Bo Schobel),1.920,3.050
1,6:17,1,10,TEN 38,10,3,Peyton Manning pass complete to Marvin Harrison for 11 yards (tackle by Andre Dyson),3.050,3.780
1,5:51,1,10,TEN 27,10,3,Edgerrin James up the middle for 3 yards (tackle by Bo Schobel),3.780,3.640
1,5:16,2,7,TEN 24,10,9,"Peyton Manning pass complete to Marvin Harrison for 24 yards, touchdown",3.640,7.000
,,,,,,,"TEN challenged the ruling, and the play was upheld.",,
1,,,,TEN 2,10,10,Mike Vanderjagt kicks extra point good,0.000,0.000
1,,,,IND 30,10,10,"Jason Baker kicks off 66 yards, returned by Jason McAddley for 32 yards (tackle by Jim Nelson)",0.000,-1.330
1,5:02,1,10,TEN 36,10,10,Billy Volek pass complete to Derrick Mason for 32 yards,1.330,3.450
1,4:34,1,10,IND 32,10,10,Chris Brown up the middle for 4 yards (tackle by Rob Morris),3.450,3.440
1,4:00,2,6,IND 28,16,10,"Billy Volek pass complete to Drew Bennett for 28 yards, touchdown",3.440,7.000
1,,,,IND 2,17,10,Gary Anderson kicks extra point good,0.000,0.000
1,,,,TEN 30,17,10,"Craig Hentrich kicks onside 14 yards, recovered by Troy Fleming (onside kick successful)",0.000,1.860
1,3:53,1,10,TEN 44,17,10,Chris Brown left end for no gain (tackle by Raheem Brock and Rob Morris),1.860,1.320
1,3:14,2,10,TEN 44,17,10,Billy Volek pass complete to Ben Troupe for 3 yards (tackle by Cato June),1.320,1.030
1,2:32,3,7,TEN 47,17,10,"Billy Volek pass incomplete intended for Derrick Mason is intercepted by Jason David at IND-45 and returned for 1 yard (tackle by Derrick Mason). Penalty on Cato June: Unnecessary Roughness, 15 yards",1.030,-1.000
1,2:21,1,10,IND 31,17,10,Peyton Manning pass complete to Marvin Harrison for 59 yards (tackle by Lamont Thompson),1.000,4.910
1,1:56,1,10,TEN 10,17,10,"Edgerrin James left tackle for 1 yard (tackle by Brad Kassell and Randy Starks). Penalty on Kevin Carter: Defensive Holding, 5 yards",4.910,6.280
1,1:36,1,4,TEN 4,17,16,"Edgerrin James up the middle for 4 yards, touchdown",6.280,7.000
1,,,,TEN 2,17,17,Mike Vanderjagt kicks extra point good,0.000,0.000
1,,,,IND 30,17,17,"Jason Baker kicks off 66 yards, returned by Jason McAddley for 26 yards (tackle by Ben Hartsock)",0.000,-0.940
1,1:26,1,10,TEN 30,17,17,Billy Volek pass incomplete intended for Ben Troupe,0.940,0.390
1,1:22,2,10,TEN 30,17,17,Chris Brown up the middle for 12 yards (tackle by Cato June),0.390,1.730
1,0:45,1,10,TEN 42,17,17,Chris Brown up the middle for 10 yards (tackle by Idrees Bashir and Nick Harper),1.730,2.390
1,0:06,1,10,IND 48,23,17,"Billy Volek pass complete to Drew Bennett for 48 yards, touchdown. Penalty on David Thornton: Illegal Contact (Declined)",2.390,7.000
1,,,,IND 2,24,17,Gary Anderson kicks extra point good,0.000,0.000
Quarter,Time,Down,ToGo,Location,TEN,IND,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,,,,TEN 30,24,17,"Craig Hentrich kicks off 70 yards, returned by Dominic Rhodes for 13 yards (tackle by Donnie Nickey)",0.000,-0.320
2,14:56,1,10,IND 13,24,17,"Penalty on Tarik Glenn: False Start, 5 yards (no play)",-0.320,-0.570
2,14:56,1,15,IND 8,24,17,Peyton Manning pass complete to Marcus Pollard for 7 yards (tackle by Keith Bulluck),-0.570,-0.570
2,14:19,2,8,IND 15,24,17,Peyton Manning pass complete to Edgerrin James for 11 yards (tackle by Bo Schobel),-0.570,0.670
2,13:38,1,10,IND 26,24,17,"Peyton Manning for no gain. Peyton Manning fumbles, recovered by Peyton Manning at IND-IND",0.670,-0.140
2,13:10,2,12,IND 24,24,17,Peyton Manning pass incomplete intended for Brandon Stokley,-0.140,-0.820
2,13:04,3,12,IND 24,24,17,Peyton Manning pass complete to Reggie Wayne for 15 yards (tackle by Michael Waddell),-0.820,1.530
2,12:34,1,10,IND 39,24,17,Peyton Manning pass complete to Marcus Pollard for 11 yards (tackle by Rich Gardner),1.530,2.260
2,11:57,1,10,IND 50,24,17,Edgerrin James up the middle for no gain (tackle by Antwan Odom and Rocky Calmus),2.260,1.710
2,11:48,2,10,IND 50,24,17,Peyton Manning pass complete to Brandon Stokley for 12 yards (tackle by Michael Waddell),1.710,3.050
2,11:13,1,10,TEN 38,24,17,Peyton Manning pass complete to Edgerrin James for 5 yards (tackle by Brad Kassell),3.050,3.180
2,10:51,2,5,TEN 33,24,17,Edgerrin James left tackle for 1 yard (tackle by Randy Starks and Keith Bulluck),3.180,2.610
2,10:10,3,4,TEN 32,24,17,Edgerrin James left tackle for 7 yards (tackle by Michael Waddell and Jared Clauss),2.610,3.910
2,9:31,1,10,TEN 25,24,17,Peyton Manning for -3 yards (tackle by Jared Clauss),3.910,2.960
2,9:09,2,13,TEN 28,24,23,"Peyton Manning pass complete to Brandon Stokley for 28 yards, touchdown",2.960,7.000
2,,,,TEN 2,24,24,Mike Vanderjagt kicks extra point good,0.000,0.000
2,,,,IND 30,24,24,"Jason Baker kicks off 67 yards, returned by Jason McAddley for 24 yards (tackle by Cory Bird)",0.000,-0.740
2,8:57,1,10,TEN 27,24,24,Chris Brown left tackle for 5 yards (tackle by Josh Williams),0.740,0.870
2,8:21,2,5,TEN 32,24,24,"Chris Brown left tackle for no gain (tackle by Rob Morris and Dwight Freeney). Penalty on Derrick Mason: Illegal Formation, 5 yards (no play)",0.870,0.200
2,7:57,2,10,TEN 27,24,24,Chris Brown right tackle for 9 yards (tackle by Mike Doss and Montae Reagor),0.200,0.700
