Quarter,Time,Down,ToGo,Location,CHI,DET,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Lions won the coin toss and deferred, Bears to receive the opening kickoff.",,
1,15:00,,,DET 35,0,0,"Jack Fox kicks off 70 yards, returned by Jakeem Grant for 25 yards (tackle by Anthony Pittman)",,
1,14:56,1,10,CHI 20,0,0,Andy Dalton pass complete short right to Damiere Byrd for 3 yards (tackle by Dean Marlowe),,
1,14:20,2,7,CHI 23,0,0,David Montgomery right tackle for 7 yards (tackle by Dean Marlowe and Amani Oruwariye),,
1,13:40,1,10,CHI 30,0,0,David Montgomery left end for 2 yards (tackle by Jalen Reeves-Maybin),,
1,13:03,2,8,CHI 32,0,0,Andy Dalton pass incomplete short middle intended for Cole Kmet (defended by Alex Anzalone),,
1,12:59,3,8,CHI 32,0,0,Andy Dalton pass incomplete short right intended for Darnell Mooney (defended by Will Harris),,
1,12:53,4,8,CHI 32,0,0,"Pat O'Donnell punts 46 yards, returned by Kalif Raymond for 9 yards (tackle by Marqui Christian and Patrick Scales)",,
1,12:42,1,10,DET 31,0,0,"Penalty on Robert Quinn: Neutral Zone Infraction, 5 yards (accepted) (no play)",,
1,12:42,1,5,DET 36,0,0,Jared Goff pass complete short right to D'Andre Swift for no gain (tackle by Jaylon Johnson),,
1,12:06,2,5,DET 36,0,0,Jared Goff pass complete short right to D'Andre Swift for 3 yards. D'Andre Swift fumbles. D'Andre Swift fumbles out of bounds (forced by Jaylon Johnson),,
1,11:41,3,2,DET 39,0,0,Jared Goff pass complete short right to D'Andre Swift for 6 yards (tackle by Jaylon Johnson),,
1,11:13,1,10,DET 45,0,0,Jared Goff pass complete short left to Josh Reynolds for 16 yards,,
1,10:44,1,10,CHI 39,0,0,Jamaal Williams up the middle for 4 yards (tackle by Roquan Smith),,
1,10:11,2,6,CHI 35,0,0,D'Andre Swift left end for -4 yards (tackle by Robert Quinn),,
1,9:33,3,10,CHI 39,0,6,"Jared Goff pass complete deep right to Josh Reynolds for 39 yards, touchdown",,
1,9:26,,,CHI 15,0,7,Riley Patterson kicks extra point good,,
1,9:26,,,DET 35,0,7,"Jack Fox kicks off 67 yards, returned by Jakeem Grant for 19 yards (tackle by Jalen Reeves-Maybin)",,
1,9:21,1,10,CHI 17,0,7,Jakeem Grant left end for no gain (tackle by Charles Harris and Jalen Reeves-Maybin),,
1,8:38,2,10,CHI 17,0,7,Andy Dalton pass complete short left to Darnell Mooney for 11 yards (tackle by Jerry Jacobs),,
1,8:03,1,10,CHI 28,0,7,Khalil Herbert right end for no gain (tackle by Alex Anzalone and Austin Bryant),,
1,7:23,2,10,CHI 28,0,7,Andy Dalton pass complete short left to Jakeem Grant for 13 yards (tackle by Jerry Jacobs),,
1,6:40,1,10,CHI 41,0,7,Andy Dalton pass incomplete short left,,
1,6:33,2,10,CHI 41,0,7,"David Montgomery right guard for no gain (tackle by Alex Anzalone) Penalty on CHI: Illegal Shift, 5 yards (declined)",,
1,6:06,3,10,CHI 41,0,7,Andy Dalton pass complete short right to Cole Kmet for 8 yards (tackle by Alex Anzalone),,
1,5:26,4,2,CHI 49,0,7,"Pat O'Donnell punts 47 yards. Jerry Jacobs fumbles, recovered by Jerry Jacobs at DET-4, returned by Jerry Jacobs for no gain",,
1,5:17,1,10,DET 4,0,7,"Penalty on Penei Sewell: False Start, 2 yards (accepted) (no play)",,
1,5:17,1,12,DET 2,0,7,Jamaal Williams left end for no gain (tackle by Angelo Blackson and Eddie Goldman),,
1,4:34,2,12,DET 2,0,7,Jamaal Williams up the middle for no gain (tackle by Roquan Smith),,
1,3:54,3,12,DET 2,0,7,Jamaal Williams up the middle for 2 yards (tackle by Eddie Goldman),,
1,3:13,4,10,DET 4,0,7,"Jack Fox punts 70 yards. Penalty on Christian Jones: Offensive Holding, 10 yards (accepted)",,
1,3:01,1,10,CHI 16,0,7,Andy Dalton pass complete short left to David Montgomery for 7 yards (tackle by Jerry Jacobs),,
1,2:18,2,3,CHI 23,0,7,David Montgomery up the middle for 1 yard (tackle by Jessie Lemonier),,
1,1:46,3,2,CHI 24,0,7,Andy Dalton pass complete short right to Jakeem Grant for 12 yards (tackle by Alex Anzalone and Dean Marlowe),,
1,1:13,1,10,CHI 36,0,7,Andy Dalton pass complete deep middle to Darnell Mooney for 33 yards (tackle by Dean Marlowe),,
1,0:29,1,10,DET 31,0,7,Andy Dalton pass complete short left to Cole Kmet for 2 yards (tackle by Will Harris and Jerry Jacobs),,
Quarter,Time,Down,ToGo,Location,CHI,DET,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,8,DET 29,0,7,Andy Dalton pass complete deep left to Jimmy Graham for 17 yards (tackle by Tracy Walker),,
2,14:22,1,10,DET 12,0,7,David Montgomery up the middle for 2 yards (tackle by Alex Anzalone and Austin Bryant),,
2,13:38,2,8,DET 10,0,7,Andy Dalton pass incomplete short right intended for Jimmy Graham,,
2,13:33,3,8,DET 10,0,7,Andy Dalton pass incomplete short right intended for Jesse James (defended by Amani Oruwariye),,
2,13:27,4,8,DET 10,3,7,Cairo Santos 28 yard field goal good,,
2,13:24,,,CHI 35,3,7,"Cairo Santos kicks off 67 yards, returned by Godwin Igwebuike for 35 yards (tackle by Deon Bush)",,
2,13:14,1,10,DET 33,3,7,Jared Goff pass complete short right to Jamaal Williams for 9 yards (tackle by Jaylon Johnson),,
2,12:31,2,1,DET 42,3,7,D'Andre Swift right end for 4 yards (tackle by Robert Quinn and Christian Jones),,
2,11:49,1,10,DET 46,3,7,D'Andre Swift left tackle for no gain (tackle by Artie Burns),,
2,11:10,2,10,DET 46,3,7,Jared Goff pass complete short left to T.J. Hockenson for 10 yards,,
2,10:37,1,10,CHI 44,3,7,Jamaal Williams right tackle for 3 yards (tackle by Roquan Smith),,
2,9:54,2,7,CHI 41,3,7,Jared Goff pass complete short right to Amon-Ra St. Brown for 5 yards (tackle by Christian Jones),,
2,9:09,3,2,CHI 36,3,7,Jamaal Williams up the middle for 7 yards (tackle by Artie Burns),,
2,8:30,1,10,CHI 29,3,7,"Penalty on T.J. Hockenson: False Start, 5 yards (accepted) (no play)",,
2,8:13,1,15,CHI 34,3,7,"D'Andre Swift right end for no gain (tackle by Roquan Smith). Penalty on Evan Brown: Offensive Holding, 10 yards (accepted) (no play)",,
2,7:50,1,25,CHI 44,3,7,"Penalty on Jamaal Williams: False Start, 5 yards (accepted) (no play)",,
2,7:32,1,30,CHI 49,3,7,Jared Goff pass complete short right to Jamaal Williams for 4 yards (tackle by Christian Jones),,
2,6:50,2,26,CHI 45,3,7,Jared Goff pass complete short left to Jamaal Williams for -6 yards (tackle by Bilal Nichols),,
2,6:04,3,32,DET 49,3,7,Jamaal Williams up the middle for 1 yard (tackle by Robert Quinn),,
2,5:36,4,31,DET 50,3,7,"Jack Fox punts 41 yards, returned by Jakeem Grant for 22 yards (tackle by Jason Cabinda)",,
2,5:21,1,10,CHI 31,3,7,Andy Dalton pass complete deep right to Darnell Mooney for 52 yards (tackle by Dean Marlowe and Will Harris),,
2,4:33,1,10,DET 17,9,7,"Andy Dalton pass complete short middle to Jimmy Graham for 17 yards, touchdown",,
2,4:29,,,DET 15,10,7,Cairo Santos kicks extra point good,,
2,4:29,,,CHI 35,10,7,"Cairo Santos kicks off 66 yards, returned by Godwin Igwebuike for 27 yards (tackle by DeAndre Houston-Carson and J.P. Holtz)",,
2,4:21,1,10,DET 26,10,7,Jared Goff pass complete short middle to Jamaal Williams for 9 yards (tackle by Xavier Crawford),,
2,3:42,2,1,DET 35,10,7,Jamaal Williams left tackle for 8 yards (tackle by Trevis Gipson and Christian Jones),,
2,3:07,1,10,DET 43,10,7,Jamaal Williams up the middle for 4 yards (tackle by Bilal Nichols and Eddie Goldman),,
2,2:28,2,6,DET 47,10,7,"Jared Goff sacked by Robert Quinn for -8 yards. Penalty on Penei Sewell: Offensive Holding, 10 yards (declined) CHI challenged the runner was down by contact ruling, and the original play was overturned. Jared Goff sacked by Robert Quinn for -8 yards. Jared Goff fumbles (forced by Trevis Gipson), recovered by Trevis Gipson at DET-39 (tackle by Robert Quinn) (tackle by Trevis Gipson) (tackle by Trevis Gipson). Penalty on Penei Sewell: Offensive Holding, 10 yards (declined)",,
2,2:23,1,10,DET 39,10,7,Andy Dalton pass complete short left to Cole Kmet for 16 yards (tackle by Dean Marlowe),,
2,2:00,1,10,DET 23,10,7,Andy Dalton pass incomplete deep left intended for Marquise Goodwin,,
2,1:55,2,10,DET 23,10,7,Andy Dalton pass incomplete short middle intended for Cole Kmet (defended by Dean Marlowe),,
2,1:52,3,10,DET 23,10,7,Andy Dalton pass deep middle intended for Damiere Byrd is intercepted by Amani Oruwariye in end zone and returned for no gain,,
2,1:47,1,10,DET 20,10,7,"Jared Goff pass incomplete short left. Penalty on Taylor Decker: Offensive Holding, 10 yards (accepted) (no play)",,
2,1:40,1,20,DET 10,10,7,Jamaal Williams up the middle for 2 yards (tackle by Christian Jones),,
2,1:35,,,,,,Timeout #1 by Chicago Bears,,
2,1:35,2,18,DET 12,10,7,"Jared Goff pass complete short right to Jamaal Williams for 2 yards (tackle by Alec Ogletree). Penalty on Tommy Kraemer: Offensive Holding, 10 yards (declined)",,
2,1:29,3,16,DET 14,10,7,Jared Goff pass incomplete deep right intended for Josh Reynolds,,
2,1:22,4,16,DET 14,10,7,"Jack Fox punts 45 yards, returned by Jakeem Grant for 5 yards (tackle by KhaDarel Hodge)",,
2,1:09,1,10,CHI 46,10,7,Andy Dalton pass complete short right to Cole Kmet for 8 yards (tackle by Dean Marlowe and Charles Harris),,
2,0:48,2,2,DET 46,10,7,Andy Dalton pass complete to David Montgomery for 9 yards (tackle by C.J. Moore),,
2,0:43,1,10,DET 37,10,7,"Sam Mustipher aborted snap, recovered by Andy Dalton at DET-41 Andy Dalton pass complete short left to Cole Kmet for 2 yards (tackle by Jerry Jacobs)",,
2,0:33,,,,,,Timeout #2 by Chicago Bears,,
2,0:33,2,8,DET 35,10,7,Andy Dalton pass complete short middle to Cole Kmet for 10 yards (tackle by C.J. Moore),,
2,0:15,1,10,DET 25,10,7,Andy Dalton pass incomplete short left intended for Darnell Mooney (defended by Jerry Jacobs),,
2,0:10,2,10,DET 25,10,7,Andy Dalton pass incomplete short left,,
2,0:04,3,10,DET 25,13,7,Cairo Santos 43 yard field goal good,,
Quarter,Time,Down,ToGo,Location,CHI,DET,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CHI 35,13,7,"Cairo Santos kicks off 66 yards, returned by Godwin Igwebuike for 22 yards (tackle by Joel Iyiegbuniwe)",,
3,14:55,1,10,DET 21,13,7,Jamaal Williams left tackle for 4 yards (tackle by Bilal Nichols),,
3,14:11,2,6,DET 25,13,7,Jamaal Williams left tackle for 2 yards (tackle by Trevis Gipson),,
3,13:30,3,4,DET 27,13,7,Jared Goff pass complete short right to Kalif Raymond for no gain (tackle by Xavier Crawford and Alec Ogletree),,
3,12:59,4,4,DET 27,13,7,"Jack Fox punts 43 yards, returned by Jakeem Grant for 13 yards (tackle by Anthony Pittman and Scott Daly)",,
3,12:46,1,10,CHI 43,13,7,David Montgomery right tackle for 4 yards (tackle by Will Harris),,
3,12:07,2,6,CHI 47,13,7,"David Montgomery right guard for 4 yards (tackle by Jalen Reeves-Maybin and Tracy Walker). Penalty on J.P. Holtz: Offensive Holding, 10 yards (accepted)",,
3,11:52,2,12,CHI 41,13,7,Andy Dalton pass incomplete short middle intended for Darnell Mooney (defended by Alex Anzalone),,
3,11:47,3,12,CHI 41,13,7,Andy Dalton pass complete deep right to Damiere Byrd for 19 yards (tackle by Amani Oruwariye),,
