Unnamed: 0,CHI,DET
First Downs,21,14
Rush-Yds-TDs,29-68-0,19-76-0
Cmp-Att-Yd-TD-INT,24-39-317-1-1,21-25-171-2-0
Sacked-Yards,1-7,1-8
Net Pass Yards,310,163
Total Yards,378,239
Fumbles-Lost,1-0,3-1
Turnovers,1,1
Penalties-Yards,5-50,10-67
Third Down Conv.,5-13,4-10
Fourth Down Conv.,0-0,0-0
Time of Possession,32:56,27:04
