Quarter,Time,Down,ToGo,Location,ARI,BAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Ravens won the coin toss and deferred, Cardinals to receive the opening kickoff.",,
1,15:00,,,BAL 35,0,0,"Billy Cundiff kicks off 74 yards, touchback",0.000,0.280
1,15:00,1,10,ARI 20,0,0,"Kevin Kolb sacked by Jarret Johnson for -10 yards. Kevin Kolb fumbles (forced by Jarret Johnson), recovered by Levi Brown at ARI-10",0.280,-1.510
1,14:14,2,20,ARI 10,0,0,"Kevin Kolb pass complete short right to LaRod Stephens-Howling for 5 yards (tackle by Lardarius Webb). Penalty on Cary Williams: Defensive Holding, 5 yards (no play)",-1.510,-0.220
1,13:45,1,10,ARI 15,0,0,Chris Wells right guard for 3 yards (tackle by Pernell McPhee),-0.220,-0.280
1,13:13,2,7,ARI 18,0,0,Chris Wells left guard for 6 yards (tackle by Terrell Suggs),-0.280,-0.270
1,12:32,3,1,ARI 24,0,0,Chris Wells left end for 5 yards (tackle by Ed Reed),-0.270,0.870
1,11:54,1,10,ARI 29,0,0,Kevin Kolb pass incomplete short right intended for Larry Fitzgerald (defended by Lardarius Webb),0.870,0.330
1,11:48,2,10,ARI 29,0,0,Kevin Kolb pass complete short left to Early Doucet for 10 yards (tackle by Chris Carr and Ray Lewis),0.330,1.530
1,11:07,1,10,ARI 39,0,0,Chester Taylor right tackle for 3 yards (tackle by Jarret Johnson),1.530,1.390
1,10:28,2,7,ARI 42,0,0,Kevin Kolb pass incomplete deep middle intended for Andre Roberts,1.390,0.700
1,10:22,3,7,ARI 42,0,0,Kevin Kolb sacked by Paul Kruger for -10 yards,0.700,-1.240
1,10:00,4,17,ARI 32,0,0,"Dave Zastudil punts 38 yards, returned by Lardarius Webb for 7 yards (tackle by Stewart Bradley)",-1.240,-1.400
1,9:52,1,10,BAL 37,0,0,Ray Rice left guard for 4 yards (tackle by Daryl Washington and Darnell Dockett),1.400,1.400
1,9:20,2,6,BAL 41,0,0,Joe Flacco pass complete short right to Ed Dickson for 4 yards (tackle by Daryl Washington and Adrian Wilson),1.400,1.220
1,8:45,3,2,BAL 45,0,0,Ray Rice right tackle for 7 yards (tackle by Rashad Johnson),1.220,2.390
1,8:10,1,10,ARI 48,0,0,Ray Rice up the middle for 3 yards (tackle by Dan Williams and Clark Haggans),2.390,2.250
1,7:36,2,7,ARI 45,0,0,Joe Flacco pass incomplete deep right intended for Torrey Smith,2.250,1.550
1,7:29,3,7,ARI 45,0,0,Joe Flacco pass incomplete short right intended for Anquan Boldin,1.550,0.270
1,7:25,4,7,ARI 45,0,0,"Sam Koch punts 40 yards, returned by Patrick Peterson for 8 yards (tackle by Albert McClellan)",0.270,0.320
1,7:15,1,10,ARI 13,0,0,LaRod Stephens-Howling right end for 9 yards (tackle by Ray Lewis),-0.320,0.490
1,6:32,2,1,ARI 22,0,0,Chris Wells right end for 6 yards (tackle by Terrell Suggs),0.490,0.810
1,6:01,1,10,ARI 28,0,0,Kevin Kolb pass complete deep middle to Larry Fitzgerald for 66 yards (tackle by Cary Williams),0.810,5.830
1,5:10,1,6,BAL 6,0,0,Chris Wells left tackle for -1 yards (tackle by Terrell Suggs),5.830,4.760
1,4:29,2,7,BAL 7,0,0,Kevin Kolb pass incomplete short right intended for Early Doucet,4.760,3.810
1,4:25,3,7,BAL 7,0,0,Kevin Kolb sacked by Terrell Suggs for -7 yards,3.810,2.510
1,4:02,4,14,BAL 14,3,0,Jay Feely 32 yard field goal good,2.510,3.000
1,,,,ARI 35,3,0,"Jay Feely kicks off 60 yards, returned by David Reed for 10 yards (tackle by Alfonso Smith)",0.000,-0.220
1,3:52,1,10,BAL 15,3,0,Ray Rice right tackle for 12 yards (tackle by Rashad Johnson),-0.220,0.740
1,3:15,1,10,BAL 27,3,0,Ray Rice right tackle for 2 yards (tackle by Calais Campbell and Sam Acho),0.740,0.470
1,2:37,2,8,BAL 29,3,0,Joe Flacco pass incomplete short left intended for Vonta Leach,0.470,-0.230
1,2:32,3,8,BAL 29,3,0,Joe Flacco pass complete short middle to Torrey Smith for 14 yards (tackle by Richard Marshall),-0.230,1.800
1,1:58,1,10,BAL 43,3,0,Ray Rice left guard for 8 yards (tackle by Rashad Johnson and Clark Haggans),1.800,2.330
1,1:33,2,2,ARI 49,3,0,Ricky Williams right tackle for no gain (tackle by Calais Campbell and Dan Williams),2.330,1.620
1,0:56,3,2,ARI 49,3,0,Ricky Williams right end for 24 yards (tackle by Sam Acho),1.620,3.910
1,0:07,1,10,ARI 25,3,0,Ray Rice left tackle for 5 yards (tackle by Adrian Wilson and Rashad Johnson),3.910,4.040
Quarter,Time,Down,ToGo,Location,ARI,BAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,5,ARI 20,3,0,Ray Rice right end for 6 yards (tackle by Vonnie Holliday),4.040,4.650
2,14:21,1,10,ARI 14,3,0,Ray Rice up the middle for no gain (tackle by Sam Acho),4.650,4.000
2,13:48,2,10,ARI 14,3,0,Joe Flacco pass complete short right to Anquan Boldin for 12 yards,4.000,6.740
2,13:32,1,2,ARI 2,3,0,Ray Rice right guard for -1 yards (tackle by Darnell Dockett),6.740,5.530
2,12:55,2,3,ARI 3,3,0,"Penalty on Bryant McKinnie: False Start, 5 yards (no play)",5.530,4.570
2,12:39,2,8,ARI 8,3,0,Joe Flacco pass incomplete short middle intended for Anquan Boldin (defended by Adrian Wilson),4.570,3.580
2,12:34,3,8,ARI 8,3,0,Joe Flacco pass incomplete short right intended for Torrey Smith,3.580,2.950
2,12:30,4,8,ARI 8,3,3,Billy Cundiff 26 yard field goal good,2.950,3.000
2,,,,BAL 35,3,3,"Billy Cundiff kicks off 73 yards, returned by LaRod Stephens-Howling for 31 yards (tackle by Tom Zbikowski)",0.000,0.480
2,12:21,1,10,ARI 23,3,3,Chris Wells left guard for 4 yards (tackle by Haloti Ngata and Brandon McKinney),0.480,0.470
2,11:41,2,6,ARI 27,3,3,Kevin Kolb pass complete short middle to Jeff King for 18 yards (tackle by Lardarius Webb),0.470,1.930
2,10:56,,,,3,3,Timeout #1 by Arizona Cardinals,0.000,1.930
2,10:56,1,10,ARI 45,3,3,"Kevin Kolb pass complete short left to Jeff King for 9 yards (tackle by Jameel McClain). Penalty on Bernard Pollard: Taunting, 15 yards",1.930,3.510
2,10:31,1,10,BAL 31,3,3,Kevin Kolb pass incomplete deep left intended for Larry Fitzgerald,3.510,2.970
2,10:22,2,10,BAL 31,3,3,"Penalty on Jim Dray: False Start, 5 yards (no play)",2.970,2.290
2,10:22,2,15,BAL 36,3,3,Kevin Kolb pass incomplete short left intended for Rob Housler (defended by Cory Redding),2.290,1.620
2,10:18,3,15,BAL 36,3,3,Kevin Kolb pass incomplete short right intended for Early Doucet (defended by Jimmy Smith),1.620,0.880
2,10:14,4,15,BAL 36,3,3,"Dave Zastudil punts 27 yards, fair catch by Chris Carr",0.880,0.380
2,10:06,1,10,BAL 9,3,3,Ricky Williams left tackle for 3 yards (tackle by Richard Marshall),-0.380,-0.560
2,9:31,2,7,BAL 12,3,3,"Ricky Williams up the middle for 5 yards (tackle by Daryl Washington and Clark Haggans). Penalty on Darnell Dockett: Defensive Offside, 5 yards (no play)",-0.560,-0.020
2,9:07,2,2,BAL 17,3,3,"Joe Flacco sacked by O'Brien Schofield for -9 yards. Joe Flacco fumbles (forced by O'Brien Schofield), recovered by Darnell Dockett at BAL-2 (tackle by Ed Dickson). Penalty on Bryant McKinnie: Illegal Formation (Declined)",-0.020,-6.740
2,8:58,1,2,BAL 2,3,3,Chris Wells left tackle for 1 yard (tackle by Haruki Nakamura),6.740,5.910
2,8:27,2,1,BAL 1,9,3,"Chris Wells up the middle for 1 yard, touchdown",5.910,7.000
2,,,,BAL 2,10,3,Jay Feely kicks extra point good,0.000,0.000
