Unnamed: 0,ARI,BAL
First Downs,17,30
Rush-Yds-TDs,30-109-1,26-107-3
Cmp-Att-Yd-TD-INT,10-21-153-1-1,31-51-336-0-1
Sacked-Yards,6-55,3-38
Net Pass Yards,98,298
Total Yards,207,405
Fumbles-Lost,1-0,2-1
Turnovers,1,2
Penalties-Yards,12-92,11-99
Third Down Conv.,2-11,4-11
Fourth Down Conv.,1-1,0-0
Time of Possession,30:18,29:42
