Unnamed: 0,JAX,KAN
First Downs,25,10
Rush-Yds-TDs,32-205-0,22-62-0
Cmp-Att-Yd-TD-INT,22-41-252-2-1,20-33-187-1-0
Sacked-Yards,2-8,2-18
Net Pass Yards,244,169
Total Yards,449,231
Fumbles-Lost,3-3,0-0
Turnovers,4,0
Penalties-Yards,5-46,8-75
Third Down Conv.,5-13,1-14
Fourth Down Conv.,0-2,1-1
Time of Possession,29:39,30:21
