Quarter,Time,Down,ToGo,Location,JAX,KAN,Detail,EPB,EPA
1,6:52,1,10,KAN 46,0,0,Chris Ivory left tackle for 3 yards (tackle by Jaye Howard),2.520,2.380
1,6:12,2,7,KAN 43,0,0,Blake Bortles pass complete short left to Chris Ivory for no gain,2.380,1.680
1,5:29,3,7,KAN 43,0,0,Blake Bortles pass incomplete deep left intended for Allen Robinson,1.680,0.400
1,5:22,4,7,KAN 43,0,0,"Brad Nortman punts 43 yards, touchback. Penalty on Demarcus Robinson: Offensive Holding, 10 yards",0.400,0.380
1,5:14,1,10,KAN 10,0,0,Charcandrick West left guard for 1 yard (tackle by Paul Posluszny),-0.380,-0.710
1,4:35,2,9,KAN 11,0,0,Tyreek Hill left end for 16 yards (tackle by Telvin Smith),-0.710,0.740
1,4:06,1,10,KAN 27,0,0,Charcandrick West right guard for 4 yards (tackle by Paul Posluszny),0.740,0.740
1,3:30,2,6,KAN 31,0,0,"Penalty on Albert Wilson: False Start, 5 yards (no play)",0.740,0.060
1,3:05,2,11,KAN 26,0,0,Charcandrick West left tackle for 6 yards (tackle by Aaron Colvin),0.060,0.170
1,2:22,3,5,KAN 32,0,0,Nick Foles pass incomplete deep right intended for Albert Wilson,0.170,-1.240
1,2:16,4,5,KAN 32,0,0,--,-1.240,4.040
1,2:03,1,10,JAX 23,0,0,Nick Foles pass incomplete short right intended for Travis Kelce,4.040,3.500
1,1:55,2,10,JAX 23,0,6,"Nick Foles pass complete deep left to Albert Wilson for 23 yards, touchdown",3.500,7.000
1,1:49,,,JAX 15,0,7,Cairo Santos kicks extra point good,0.000,0.000
1,1:49,,,KAN 35,0,7,"Cairo Santos kicks off 68 yards, returned by Marqise Lee for 28 yards (tackle by Demetrius Harris). Penalty on Arthur Brown: Offensive Holding, 8 yards",0.000,0.380
1,1:44,1,10,JAX 8,0,7,Chris Ivory for 42 yards,-0.380,2.260
1,1:16,1,10,,0,7,T.J. Yeldon middle for 7 yards (tackle by Dontari Poe),2.260,2.660
1,0:39,2,3,KAN 43,0,7,Blake Bortles pass complete short left to T.J. Yeldon for 4 yards (tackle by Derrick Johnson),2.660,2.980
,,,,,,,"KAN challenged the runner was not down by contact ruling, and the original play was overturned.",,
1,0:14,1,10,KAN 39,0,7,Blake Bortles pass incomplete short right intended for T.J. Yeldon,2.980,2.440
1,0:07,2,10,KAN 39,0,7,Chris Ivory right tackle for -3 yards (tackle by Ramik Wilson),2.440,1.360
Quarter,Time,Down,ToGo,Location,JAX,KAN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,13,KAN 42,0,7,Blake Bortles middle for 12 yards (tackle by Daniel Sorensen),1.360,1.520
,,,,,,,"JAX challenged the short of the line to gain ruling, and the play was upheld.",,
2,14:27,4,1,KAN 30,0,7,Blake Bortles pass incomplete deep right intended for Allen Hurns,1.520,-1.000
2,14:21,1,10,KAN 31,0,7,"Nick Foles pass incomplete deep left intended for Chris Conley. Penalty on Mitch Morse: Offensive Holding, 10 yards (no play)",1.000,0.340
2,14:14,1,20,KAN 21,0,7,Knile Davis left end for no gain (tackle by Paul Posluszny and Dante Fowler),0.340,-0.890
2,13:34,2,20,KAN 21,0,7,Nick Foles pass complete short middle to Knile Davis for 7 yards (tackle by Telvin Smith),-0.890,-0.630
2,12:49,3,13,KAN 28,0,7,"Penalty on Sen'Derrick Marks: Neutral Zone Infraction, 5 yards (no play)",-0.630,0.040
2,12:37,3,8,KAN 33,0,7,Nick Foles pass incomplete short right intended for Albert Wilson,0.040,-1.180
2,12:31,4,8,KAN 33,0,7,"Dustin Colquitt punts 54 yards, returned by Bryan Walters for 6 yards (tackle by Daniel Sorensen)",-1.180,-0.150
2,12:21,1,10,JAX 19,0,7,Blake Bortles pass incomplete short right intended for Marcedes Lewis,0.150,-0.390
2,12:16,2,10,JAX 19,0,7,"Blake Bortles pass incomplete is intercepted by Ramik Wilson at JAX-32 and returned for 6 yards. Penalty on Blake Bortles: Unnecessary Roughness, 13 yards",-0.390,-4.710
2,12:00,1,10,JAX 13,0,7,Albert Wilson for -5 yards,4.710,3.400
2,11:29,2,15,JAX 18,0,7,Nick Foles pass complete short right to Tyreek Hill for 3 yards (tackle by Jalen Ramsey),3.400,3.030
2,10:43,3,12,JAX 15,0,7,Nick Foles pass complete short left to Chris Conley for 7 yards (tackle by Paul Posluszny and Aaron Colvin),3.030,2.970
2,9:58,4,5,JAX 8,0,10,Cairo Santos 26 yard field goal good,2.970,3.000
2,9:54,,,KAN 35,0,10,"Cairo Santos kicks off 65 yards, returned by Marqise Lee for 23 yards (tackle by Kenneth Acker)",0.000,-0.480
2,9:47,1,10,JAX 23,0,10,Chris Ivory middle for 4 yards (tackle by Kendall Reyes),0.480,0.470
2,9:12,2,6,JAX 27,0,10,Chris Ivory right tackle for 4 yards (tackle by Marcus Peters),0.470,0.300
2,8:32,3,2,JAX 31,0,10,Blake Bortles pass complete short left to Marqise Lee for 3 yards (tackle by Phillip Gaines),0.300,1.200
2,7:55,1,10,JAX 34,0,10,Chris Ivory right end for 9 yards (tackle by Marcus Peters),1.200,1.870
2,7:23,2,1,JAX 43,0,10,Chris Ivory right tackle for no gain (tackle by Derrick Johnson),1.870,1.160
2,6:37,3,1,JAX 43,0,10,Chris Ivory middle for no gain (tackle by Marcus Peters). Penalty on Jermey Parnell: Offensive Holding (Declined),1.160,-0.520
2,6:24,4,1,JAX 43,0,10,"Brad Nortman punts 47 yards, returned by Tyreek Hill for 10 yards (tackle by Denard Robinson)",-0.520,-0.280
2,6:13,1,10,KAN 20,0,10,Nick Foles pass complete short right to Chris Conley for 9 yards,0.280,0.950
2,5:47,2,1,KAN 29,0,10,Charcandrick West middle for 2 yards (tackle by Paul Posluszny),0.950,1.000
2,5:05,1,10,KAN 31,0,10,Nick Foles pass complete short right to Travis Kelce for 13 yards (tackle by Aaron Colvin),1.000,1.860
2,4:23,1,10,KAN 44,0,10,Nick Foles pass incomplete short middle intended for Charcandrick West,1.860,1.320
2,4:18,2,10,KAN 44,0,10,Nick Foles pass complete short middle to Travis Kelce for 2 yards (tackle by Dante Fowler and Jonathan Cyprien),1.320,0.890
2,3:32,3,8,KAN 46,0,10,Nick Foles pass incomplete short right intended for Albert Wilson,0.890,-0.320
2,3:28,4,8,KAN 46,0,10,"Dustin Colquitt punts 42 yards, fair catch by Bryan Walters",-0.320,0.350
2,3:21,1,10,JAX 12,0,10,Marqise Lee left end for 11 yards (tackle by Eric Berry),-0.350,0.480
2,2:40,1,10,JAX 23,0,10,Blake Bortles pass complete deep left to Marcedes Lewis for 17 yards (tackle by Steven Nelson),0.480,1.600
2,2:00,1,10,JAX 40,0,10,Blake Bortles middle for 6 yards (tackle by Jaye Howard),1.600,1.860
2,1:23,2,4,JAX 46,0,10,Blake Bortles pass complete short left to Allen Robinson for 20 yards (tackle by Ron Parker),1.860,3.310
2,0:50,1,10,KAN 34,0,10,Blake Bortles sacked by Dee Ford for -1 yards,3.310,0.000
2,0:44,,,,0,10,Timeout #2 by Jacksonville Jaguars,0.000,-2.640
2,0:44,2,11,KAN 35,0,10,"Blake Bortles pass complete short right to Marqise Lee for 14 yards (tackle by Marcus Peters). Penalty on Daniel Sorensen: Unnecessary Roughness, 10 yards",2.640,4.840
2,0:35,1,10,KAN 11,0,10,Blake Bortles left end for 5 yards (tackle by Marcus Peters),4.840,5.080
2,0:27,2,5,KAN 6,0,10,Blake Bortles pass incomplete short left intended for Allen Robinson (defended by Phillip Gaines),5.080,4.210
2,0:23,3,5,KAN 6,0,10,"Blake Bortles pass incomplete short right intended for Allen Hurns. Penalty on Steven Nelson: Defensive Pass Interference, 5 yards (no play)",4.210,6.970
2,0:18,1,1,KAN 1,0,10,T.J. Yeldon middle for no gain (tackle by Frank Zombo and Derrick Johnson),6.970,0.000
2,0:12,,,,0,10,Timeout #3 by Jacksonville Jaguars,0.000,-5.910
2,0:12,2,1,KAN 1,0,10,Blake Bortles pass incomplete short right intended for Allen Hurns (defended by Ron Parker),5.910,5.170
2,0:07,3,1,KAN 1,6,10,"Blake Bortles pass complete short middle to Allen Robinson for 1 yard, touchdown",5.170,7.000
2,0:02,,,KAN 15,7,10,Jason Myers kicks extra point good,0.000,0.000
Quarter,Time,Down,ToGo,Location,JAX,KAN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,JAX 35,7,10,"Jason Myers kicks off 38 yards, returned by De'Anthony Thomas for 7 yards",,
3,15:00,,,JAX 35,7,10,"Jason Myers kicks off 67 yards, returned by Tyreek Hill for 26 yards (tackle by Denard Robinson)",0.000,-0.540
3,14:53,1,10,KAN 24,7,10,Nick Foles pass complete short left to Tyreek Hill for 3 yards (tackle by Paul Posluszny),0.540,0.400
3,14:14,2,7,KAN 27,7,10,Charcandrick West left guard for -2 yards (tackle by Dan Skuta),0.400,-0.560
3,13:30,3,9,KAN 25,7,10,Nick Foles pass complete short right to Anthony Sherman for 6 yards (tackle by Aaron Colvin),-0.560,-1.310
3,12:51,4,3,KAN 31,7,10,"Dustin Colquitt punts 55 yards, fair catch by Bryan Walters",-1.310,0.280
3,12:44,1,10,JAX 14,7,10,T.J. Yeldon middle for 9 yards (tackle by Marcus Peters),-0.280,0.550
3,12:09,2,1,JAX 23,7,10,Blake Bortles pass complete short left to Allen Robinson for 3 yards (tackle by Ramik Wilson),0.550,0.670
3,11:49,1,10,JAX 26,7,10,T.J. Yeldon middle for no gain (tackle by Dee Ford),0.670,0.130
3,11:11,2,10,JAX 26,7,10,Blake Bortles sacked by Dee Ford for -7 yards,0.130,-1.580
3,10:30,3,17,JAX 19,7,10,"T.J. Yeldon middle for 16 yards (tackle by Phillip Gaines). T.J. Yeldon fumbles (forced by Phillip Gaines), recovered by Steven Nelson at JAX-38 (tackle by Jermey Parnell)",-1.580,-3.050
3,10:15,1,10,JAX 38,7,10,Charcandrick West middle for -1 yards (tackle by Tyson Alualu),3.050,2.370
3,9:37,2,11,JAX 39,7,10,Nick Foles pass complete short middle to Charcandrick West for 6 yards (tackle by Abry Jones),2.370,2.480
3,8:53,3,5,JAX 33,7,10,Nick Foles pass incomplete short left intended for Demetrius Harris,2.480,1.170
3,8:48,4,5,JAX 33,7,13,Cairo Santos 51 yard field goal good,1.170,3.000
3,8:43,,,KAN 35,7,13,"Cairo Santos kicks off 65 yards, touchback",0.000,-0.610
3,8:43,1,10,JAX 25,7,13,Blake Bortles pass incomplete short left intended for Allen Hurns (defended by Steven Nelson),0.610,0.060
3,8:37,2,10,JAX 25,7,13,Chris Ivory middle for 8 yards (tackle by Tamba Hali),0.060,0.430
3,7:59,3,2,JAX 33,7,13,Blake Bortles pass complete short right to Allen Robinson for 4 yards,0.430,1.400
3,7:39,1,10,JAX 37,7,13,Blake Bortles pass incomplete deep left intended for Allen Robinson,1.400,0.860
3,7:33,2,10,JAX 37,7,13,Chris Ivory middle for -3 yards (tackle by Derrick Johnson),0.860,-0.230
3,6:48,3,13,JAX 34,7,13,Blake Bortles pass incomplete,-0.230,-1.110
3,6:40,4,13,JAX 34,7,13,"Brad Nortman punts 42 yards, returned by Tyreek Hill for 36 yards (tackle by Brad Nortman). Penalty on Carson Tinker: Offensive Holding, 10 yards",-1.110,-3.580
3,6:28,1,10,JAX 30,7,13,Nick Foles pass complete short left to Charcandrick West for 5 yards (tackle by Telvin Smith),3.580,3.710
3,5:55,2,5,JAX 25,7,13,Nick Foles pass complete short left to Chris Conley for 12 yards (tackle by Jonathan Cyprien),3.710,4.710
3,5:22,1,10,JAX 13,7,13,Nick Foles pass complete short right to Tyreek Hill for 5 yards (tackle by Paul Posluszny and Aaron Colvin),4.710,4.960
3,4:48,2,5,JAX 8,7,13,Nick Foles pass incomplete short right intended for Tyreek Hill,4.960,4.100
3,4:45,3,5,JAX 8,7,13,Nick Foles pass complete short left to Albert Wilson for 3 yards (tackle by Prince Amukamara),4.100,3.030
3,4:02,4,2,JAX 5,7,16,Cairo Santos 24 yard field goal good,3.030,3.000
3,3:59,,,KAN 35,7,16,"Cairo Santos kicks off 66 yards, returned by Marqise Lee for 45 yards (tackle by Terrance Smith)",0.000,-1.860
3,3:50,1,10,JAX 44,7,16,Chris Ivory middle for no gain (tackle by Derrick Johnson),1.860,1.320
3,3:16,2,10,JAX 44,7,16,"Blake Bortles pass incomplete deep middle intended for Allen Hurns. Penalty on A.J. Cann: Offensive Holding, 10 yards (no play)",1.320,-0.030
3,3:10,2,20,JAX 34,7,16,Blake Bortles pass complete deep middle to Allen Robinson for 19 yards (tackle by Daniel Sorensen),-0.030,1.820
3,2:25,3,1,KAN 47,7,16,Blake Bortles pass complete short right to Marcedes Lewis for 6 yards (tackle by Ron Parker),1.820,2.850
3,1:49,1,10,KAN 41,7,16,Chris Ivory right guard for 7 yards (tackle by Daniel Sorensen and Eric Berry),2.850,3.250
3,1:24,2,3,KAN 34,7,16,Chris Ivory right guard for -2 yards (tackle by Jaye Howard and Chris Jones),3.250,2.280
3,0:39,3,5,KAN 36,7,16,Blake Bortles pass incomplete deep left intended for Marqise Lee,2.280,0.880
3,0:34,4,5,KAN 36,7,16,Jason Myers 54 yard field goal no good,0.880,-1.860
3,0:29,1,10,KAN 44,7,16,Tyreek Hill left end for 5 yards (tackle by Myles Jack),1.860,1.990
Quarter,Time,Down,ToGo,Location,JAX,KAN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,5,KAN 49,7,16,Nick Foles pass complete short middle to Albert Wilson for 16 yards (tackle by Telvin Smith),1.990,3.250
4,14:23,1,10,JAX 35,7,16,--,3.250,2.700
4,13:42,2,10,JAX 35,7,16,Charcandrick West left end for 3 yards (tackle by Abry Jones),2.700,2.410
4,12:46,3,7,JAX 32,7,16,Nick Foles pass complete short left to Travis Kelce for 14 yards (tackle by Telvin Smith),2.410,4.370
4,12:03,1,10,JAX 18,7,16,Knile Davis right guard for 6 yards (tackle by Paul Posluszny and Jalen Ramsey),4.370,4.810
4,11:18,2,4,JAX 12,7,16,"Nick Foles pass incomplete short middle intended for Travis Kelce (defended by Prince Amukamara). Penalty on Travis Kelce: Unsportsmanlike Conduct, 15 yards, Penalty on Travis Kelce: Disqualification, 15 yards",4.810,-0.030
4,11:13,3,34,JAX 42,7,16,Nick Foles pass complete short right to Charcandrick West for 24 yards (tackle by Aaron Colvin),-0.030,2.250
4,10:23,4,10,JAX 18,7,19,Cairo Santos 36 yard field goal good,2.250,3.000
4,10:20,,,KAN 35,7,19,"Cairo Santos kicks off 65 yards, touchback",0.000,-0.610
4,10:20,1,10,JAX 25,7,19,Blake Bortles pass complete short left to T.J. Yeldon for 5 yards (tackle by Kendall Reyes),0.610,0.740
4,9:47,2,5,JAX 30,7,19,Blake Bortles pass complete deep left to Arrelious Benn for 16 yards (tackle by Phillip Gaines),0.740,1.990
4,9:30,1,10,JAX 46,7,19,Blake Bortles pass complete deep right to Marqise Lee for 51 yards (tackle by Marcus Peters),1.990,6.510
4,9:07,1,3,KAN 3,7,19,Chris Ivory middle for 2 yards (tackle by Eric Berry),6.510,5.910
4,8:28,2,1,KAN 1,7,19,"Chris Ivory middle for no gain (tackle by Jaye Howard). Chris Ivory fumbles (forced by Jaye Howard), recovered by Marcus Peters at KAN--2",5.910,-0.280
4,8:23,1,10,KAN 20,7,19,Charcandrick West left end for 2 yards (tackle by Yannick Ngakoue),0.280,0.000
4,7:37,2,8,KAN 22,7,19,Nick Foles pass incomplete short right intended for Chris Conley,0.000,-0.690
4,7:31,3,8,KAN 22,7,19,Nick Foles sacked by Malik Jackson and Dante Fowler for -7 yards,-0.690,-2.440
4,6:46,4,15,KAN 15,7,19,"Dustin Colquitt punts 54 yards, returned by Bryan Walters for 8 yards (tackle by Frank Zombo)",-2.440,-1.530
4,6:34,1,10,JAX 39,7,19,Chris Ivory left tackle for 12 yards (tackle by Steven Nelson),1.530,2.320
4,6:08,1,10,KAN 49,7,19,Blake Bortles pass incomplete short middle intended for Chris Ivory (defended by Dontari Poe),2.320,1.780
4,6:05,2,10,KAN 49,7,19,Blake Bortles pass complete short left to Marqise Lee for 16 yards (tackle by Phillip Gaines). Penalty on Chris Jones: Defensive Offside (Declined),1.780,3.380
4,5:40,1,10,KAN 33,7,19,Blake Bortles pass incomplete deep left intended for Allen Robinson (defended by Steven Nelson),3.380,2.840
4,5:34,2,10,KAN 33,7,19,Blake Bortles pass complete short left to Allen Robinson for 10 yards (tackle by Phillip Gaines),2.840,4.040
4,4:58,1,10,KAN 23,7,19,Blake Bortles left end for no gain (tackle by Phillip Gaines),4.040,3.500
4,4:50,2,10,KAN 23,7,19,Blake Bortles pass complete short right to T.J. Yeldon for 10 yards (tackle by Rakeem Nunez-Roches),3.500,4.710
4,4:20,1,10,KAN 13,7,19,Blake Bortles pass incomplete short left intended for Marqise Lee,4.710,4.050
4,4:15,2,10,KAN 13,13,19,"Blake Bortles pass complete short right to T.J. Yeldon for 13 yards, touchdown",4.050,7.000
4,4:10,,,KAN 15,14,19,Jason Myers kicks extra point good,0.000,0.000
4,4:10,,,JAX 35,14,19,"Jason Myers kicks off 65 yards, touchback",0.000,-0.610
4,4:10,1,10,KAN 25,14,19,Knile Davis middle for 4 yards (tackle by Dante Fowler),0.610,0.600
4,3:26,2,6,KAN 29,14,19,Nick Foles pass incomplete short left intended for Tyreek Hill (defended by Telvin Smith),0.600,-0.100
4,3:22,3,6,KAN 29,14,19,Nick Foles sacked by Sen'Derrick Marks for -11 yards,-0.100,0.000
4,3:15,,,,14,19,Timeout #1 by Jacksonville Jaguars,0.000,2.240
4,3:15,4,17,KAN 18,14,19,"Dustin Colquitt punts 59 yards, returned by Bryan Walters for 12 yards (tackle by D.J. Alexander)",-2.240,-1.270
4,3:01,1,10,JAX 35,14,19,Blake Bortles pass incomplete short left intended for Marcedes Lewis (defended by Eric Berry),1.270,0.720
4,2:57,2,10,JAX 35,14,19,Blake Bortles left tackle for 26 yards (tackle by Eric Berry),0.720,2.980
4,2:48,1,10,KAN 39,14,19,Blake Bortles pass complete short middle to Julius Thomas for 9 yards (tackle by Daniel Sorensen),2.980,3.660
4,2:15,2,1,KAN 30,14,19,Blake Bortles pass incomplete short left intended for Marqise Lee,3.660,2.940
4,2:10,3,1,KAN 30,14,19,T.J. Yeldon middle for -2 yards (tackle by Dontari Poe),2.940,1.290
4,2:00,4,3,KAN 32,14,19,Blake Bortles pass incomplete short left intended for Bryan Walters (defended by Steven Nelson),1.290,-1.070
4,1:55,1,10,KAN 32,14,19,Charcandrick West middle for 1 yard (tackle by Jonathan Cyprien),1.070,0.000
4,1:51,,,,14,19,Timeout #2 by Jacksonville Jaguars,0.000,-0.660
4,1:51,2,9,KAN 33,14,19,Charcandrick West right guard for 14 yards (tackle by Paul Posluszny),0.660,0.000
4,1:43,,,,14,19,Timeout #3 by Jacksonville Jaguars,0.000,-2.060
4,1:43,1,10,KAN 47,14,19,Nick Foles kneels for -1 yards,2.060,1.380
4,1:01,2,11,KAN 46,14,19,Nick Foles kneels for -1 yards,1.380,0.560
4,0:30,3,12,KAN 45,14,19,Nick Foles kneels for -1 yards,0.560,-0.460
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
