Unnamed: 0,NYG,CHI
First Downs,14,20
Rush-Yds-TDs,21-109-0,26-65-1
Cmp-Att-Yd-TD-INT,21-36-150-2-0,25-41-278-1-2
Sacked-Yards,1-16,2-8
Net Pass Yards,134,270
Total Yards,243,335
Fumbles-Lost,1-1,0-0
Turnovers,1,2
Penalties-Yards,6-35,6-40
Third Down Conv.,1-12,4-15
Fourth Down Conv.,2-4,0-0
Time of Possession,26:49,33:11
