Quarter,Time,Down,ToGo,Location,NYG,CHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bears won the coin toss and deferred, Giants to receive the opening kickoff.",,
1,15:00,,,CHI 35,0,0,"Eddy Pineiro kicks off 25 yards, out of bounds",0.000,1.600
1,15:00,1,10,NYG 40,0,0,Daniel Jones pass complete short right to Darius Slayton for 13 yards (tackle by Eddie Jackson),1.600,2.460
1,14:25,1,10,CHI 47,0,0,Saquon Barkley right guard for -5 yards (tackle by Eddie Jackson),2.460,1.240
1,13:48,2,15,NYG 48,0,0,Saquon Barkley right guard for 5 yards (tackle by Khalil Mack),1.240,1.220
1,13:05,3,10,CHI 47,0,0,Daniel Jones pass incomplete short left intended for Golden Tate (defended by Sherrick McManis),1.220,0.130
1,12:57,4,10,CHI 47,0,0,"Riley Dixon punts 39 yards, fair catch by Tarik Cohen at CHI-8",0.130,0.380
1,12:50,1,10,CHI 8,0,0,Mitchell Trubisky pass complete short left to Tarik Cohen for 4 yards (tackle by Corey Ballentine),-0.380,-0.490
1,12:20,2,6,CHI 12,0,0,Tarik Cohen left end for 4 yards (tackle by Deone Bucannon),-0.490,-0.480
1,11:41,3,2,CHI 16,0,0,Mitchell Trubisky pass incomplete short middle intended for Allen Robinson,-0.480,-2.390
1,11:38,4,2,CHI 16,0,0,"Pat O'Donnell punts 45 yards, returned by Golden Tate for no gain (tackle by Sherrick McManis). Penalty on Elijhaa Penny: Offensive Holding, 10 yards",-2.390,-0.870
1,11:26,1,10,NYG 29,0,0,Saquon Barkley left guard for 4 yards (tackle by Nick Kwiatkoski and Nick Williams),0.870,0.870
1,10:49,2,6,NYG 33,0,0,Daniel Jones pass incomplete short right,0.870,0.170
1,10:43,3,6,NYG 33,0,0,Daniel Jones pass complete short left to Cody Latimer for 7 yards (tackle by Prince Amukamara),0.170,1.600
1,10:03,1,10,NYG 40,0,0,Saquon Barkley right guard for 1 yard (tackle by Ha Ha Clinton-Dix and Nick Williams),1.600,1.190
1,9:27,2,9,NYG 41,0,0,Daniel Jones pass complete short middle to Sterling Shepard for 6 yards (tackle by Kyle Fuller),1.190,1.290
1,8:44,3,3,NYG 47,0,0,Daniel Jones pass incomplete short left intended for Saquon Barkley,1.290,-0.260
1,8:40,4,3,NYG 47,0,0,"Riley Dixon punts 44 yards, fair catch by Tarik Cohen at CHI-9",-0.260,0.380
1,8:33,1,10,CHI 9,0,0,Mitchell Trubisky pass complete deep right to Taylor Gabriel for 19 yards (tackle by Janoris Jenkins),-0.380,0.810
1,8:01,1,10,CHI 28,0,0,David Montgomery right guard for 13 yards (tackle by Antoine Bethea),0.810,1.660
1,7:14,1,10,CHI 41,0,0,Mitchell Trubisky pass complete short right to Tarik Cohen for -2 yards (tackle by Jabrill Peppers). Penalty on Cody Whitehair: Ineligible Downfield Pass (Declined) Penalty on CHI: Illegal Formation (Declined),1.660,0.850
1,6:59,2,12,CHI 39,0,0,"Penalty on Oshane Ximines: Neutral Zone Infraction, 5 yards (no play)",0.850,1.530
1,6:44,2,7,CHI 44,0,0,Mitchell Trubisky pass complete short left to Allen Robinson for 15 yards (tackle by Antoine Bethea),1.530,2.850
1,6:06,1,10,NYG 41,0,0,Mitchell Trubisky pass complete short right to Allen Robinson for 3 yards (tackle by Deone Bucannon and Corey Ballentine),2.850,2.710
1,5:38,2,7,NYG 38,0,0,"Penalty on Markus Golden: Neutral Zone Infraction, 5 yards (no play)",2.710,3.390
1,5:17,2,2,NYG 33,0,0,David Montgomery right tackle for -1 yards (tackle by Markus Golden),3.390,2.540
1,4:39,3,3,NYG 34,0,0,Mitchell Trubisky pass complete short middle to Ben Braunecker for 5 yards (tackle by Janoris Jenkins),2.540,3.640
1,3:58,1,10,NYG 29,0,0,Mitchell Trubisky pass incomplete deep middle intended for Ben Braunecker,3.640,3.100
1,3:53,2,10,NYG 29,0,0,Mitchell Trubisky pass complete short middle to Tarik Cohen for 14 yards (tackle by Deone Bucannon),3.100,4.580
