Quarter,Time,Tm,Detail,NYG,CHI
2.0,7:38,Giants,Kaden Smith 3 yard pass from Daniel Jones (Aldrick Rosas kick),7,0
,0:08,Bears,Eddy Pineiro 26 yard field goal,7,3
3.0,12:12,Bears,Allen Robinson 32 yard pass from Mitchell Trubisky (Eddy Pineiro kick),7,10
,7:09,Bears,Eddy Pineiro 24 yard field goal,7,13
,5:19,Bears,Mitchell Trubisky 2 yard rush (Eddy Pineiro kick failed),7,19
4.0,4:10,Giants,Golden Tate 23 yard pass from Daniel Jones (Aldrick Rosas kick),14,19
