Quarter,Time,Down,ToGo,Location,MIN,PHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Vikings won the coin toss and deferred, Eagles to receive the opening kickoff.",,
1,15:00,,,MIN 30,0,0,"Ryan Longwell kicks off 55 yards, returned by Chad Hall for 16 yards (tackle by Everson Griffen)",0.000,1.000
1,14:53,1,10,PHI 31,0,0,Michael Vick left end for 14 yards (tackle by Asher Allen),1.000,1.930
1,14:16,1,10,PHI 45,0,0,Michael Vick sacked by Antoine Winfield for -8 yards,1.930,0.300
1,13:42,2,18,PHI 37,0,0,LeSean McCoy left end for 4 yards (tackle by Jared Allen),0.300,0.170
1,13:00,3,14,PHI 41,0,0,Michael Vick pass incomplete deep middle intended for DeSean Jackson,0.170,-0.650
1,12:53,4,14,PHI 41,0,0,"Saverio Rocca punts 42 yards, out of bounds. Penalty on Riley Cooper: Illegal Motion, 5 yards (no play)",-0.650,-0.980
1,12:46,4,19,PHI 36,0,0,Saverio Rocca punts 46 yards,-0.980,-0.040
1,12:39,1,10,MIN 18,0,0,Adrian Peterson left tackle for 5 yards (tackle by Quintin Mikell),0.040,0.280
1,12:05,2,5,MIN 23,0,0,Percy Harvin right end for -1 yards (tackle by Jamar Chaney),0.280,-0.660
1,11:29,3,6,MIN 22,0,0,Joe Webb pass incomplete short left intended for Percy Harvin (defended by Darryl Tapp),-0.660,-1.900
1,11:24,4,6,MIN 22,0,0,"Chris Kluwe punts 43 yards, fair catch by Jeremy Maclin. Penalty on Jamarca Sanford: Fair Catch Interference, 15 yards",-1.900,-2.260
1,11:16,1,10,,0,0,DeSean Jackson middle for no gain (tackle by Antoine Winfield),2.260,1.710
1,10:39,2,10,,0,0,Michael Vick pass incomplete short left intended for DeSean Jackson,1.710,1.030
1,10:32,3,10,,0,0,"Michael Vick pass incomplete deep left intended for Jeremy Maclin. Penalty on Asher Allen: Defensive Pass Interfere, 24 yards (no play)",1.030,3.840
1,10:25,1,10,MIN 26,0,0,LeSean McCoy right end for no gain (tackle by Ray Edwards),3.840,3.300
1,9:47,2,10,MIN 26,0,0,LeSean McCoy middle for -5 yards (tackle by Jared Allen),3.300,1.950
1,9:07,3,15,MIN 31,0,0,Michael Vick pass complete deep left to Jeremy Maclin for 28 yards,1.950,6.510
1,8:27,1,3,MIN 3,0,0,Michael Vick pass complete short right to Brent Celek for no gain,6.510,5.530
1,7:47,2,3,MIN 3,0,6,"Michael Vick pass complete short middle to Clay Harbor for 3 yards, touchdown",5.530,7.000
,,,,,,,"MIN challenged the pass completion ruling, and the play was upheld.",,
1,,,,MIN 2,0,7,David Akers kicks extra point good,0.000,0.000
1,,,,PHI 30,0,7,"David Akers kicks off 70 yards, touchback",0.000,0.280
1,7:42,1,10,MIN 20,0,7,Joe Webb pass complete short right to Percy Harvin for 8 yards (tackle by Jamar Chaney),0.280,0.810
1,7:12,2,2,MIN 28,0,7,Joe Webb pass complete short left to Visanthe Shiancoe for no gain,0.810,0.100
1,6:32,3,2,MIN 28,0,7,Joe Webb pass complete short right to Naufahu Tahi for 11 yards (tackle by Colt Anderson),0.100,1.530
1,6:06,1,10,MIN 39,0,7,Joe Webb for 7 yards,1.530,1.930
1,5:45,2,3,MIN 46,0,7,Adrian Peterson right tackle for 2 yards (tackle by Kurt Coleman),1.930,1.490
1,5:07,3,1,MIN 48,0,7,Joe Webb pass complete short right to Visanthe Shiancoe for 9 yards (tackle by Kurt Coleman),1.490,2.720
1,4:34,1,10,PHI 43,0,7,Adrian Peterson middle for 4 yards (tackle by Kurt Coleman),2.720,2.720
1,3:57,2,6,PHI 39,0,7,"Penalty on Antonio Dixon: Encroachment, 5 yards (no play)",2.720,3.390
1,3:37,2,1,PHI 34,0,7,Percy Harvin for 7 yards,3.390,3.780
1,3:07,1,10,PHI 27,0,7,Adrian Peterson left tackle for -1 yards (tackle by Jamar Chaney),3.780,3.100
1,2:28,2,11,PHI 28,0,7,"Joe Webb right end for no gain (tackle by Asante Samuel). Penalty on Phil Loadholt: Face Mask (15 Yards), 15 yards (no play)",3.100,1.070
1,1:53,2,26,PHI 43,0,7,Joe Webb pass incomplete deep right intended for Sidney Rice (defended by Asante Samuel),1.070,0.430
1,1:50,3,26,PHI 43,0,7,Joe Webb pass incomplete deep middle intended for Visanthe Shiancoe (defended by Jamar Chaney),0.430,0.400
1,1:46,4,26,PHI 43,0,7,"Chris Kluwe punts 43 yards, touchback",0.400,-0.280
1,1:37,1,10,PHI 20,0,7,LeSean McCoy middle for 10 yards (tackle by Jamarca Sanford),0.280,0.940
1,1:06,1,10,PHI 30,0,7,Michael Vick pass complete short left to LeSean McCoy for 4 yards (tackle by Asher Allen),0.940,0.930
1,0:26,2,6,PHI 34,0,7,Michael Vick pass complete short right to Brent Celek for 12 yards (tackle by Jamarca Sanford),0.930,1.990
Quarter,Time,Down,ToGo,Location,MIN,PHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,PHI 46,0,7,LeSean McCoy right end for 10 yards (tackle by Husain Abdullah),1.990,2.650
2,14:18,1,10,MIN 44,0,7,Michael Vick pass incomplete short left intended for Brent Celek (defended by Husain Abdullah),2.650,2.110
2,14:12,2,10,MIN 44,0,7,LeSean McCoy middle for -7 yards (tackle by Brian Robison),2.110,0.500
2,13:30,3,17,PHI 49,0,7,Michael Vick sacked by Ray Edwards for -4 yards,0.500,-0.390
