Quarter,Time,Tm,Detail,MIN,PHI
1.0,7:42,Eagles,Clay Harbor 3 yard pass from Michael Vick (David Akers kick),0,7
2.0,0:44,Vikings,Antoine Winfield 45 yard defensive fumble return (Ryan Longwell kick),7,7
3.0,12:24,Vikings,Ryan Longwell 30 yard field goal,10,7
,7:03,Vikings,Joe Webb 9 yard rush (Ryan Longwell kick),17,7
4.0,10:17,Eagles,Michael Vick 10 yard rush (David Akers kick),17,14
,6:43,Vikings,Adrian Peterson 1 yard rush (Ryan Longwell kick),24,14
