Unnamed: 0,MIN,PHI
First Downs,21,24
Rush-Yds-TDs,31-161-2,22-107-1
Cmp-Att-Yd-TD-INT,17-26-195-0-0,25-43-263-1-1
Sacked-Yards,2-19,6-39
Net Pass Yards,176,224
Total Yards,337,331
Fumbles-Lost,1-1,2-2
Turnovers,1,3
Penalties-Yards,5-74,12-62
Third Down Conv.,6-13,4-11
Fourth Down Conv.,0-0,1-1
Time of Possession,30:21,29:39
