Quarter,Time,Tm,Detail,STL,ARI
1.0,10:32,Cardinals,Rashard Mendenhall 3 yard rush (Jay Feely kick),0,7
,6:12,Rams,Greg Zuerlein 44 yard field goal,3,7
2.0,0:50,Cardinals,Larry Fitzgerald 7 yard pass from Carson Palmer (Jay Feely kick),3,14
3.0,14:42,Cardinals,Karlos Dansby 23 yard interception return (Jay Feely kick),3,21
,9:10,Cardinals,"Safety, Kellen Clemens sacked in the endzone by John Abraham.",3,23
4.0,14:57,Rams,Zac Stacy 1 yard rush (Greg Zuerlein kick),10,23
,1:55,Cardinals,Andre Ellington 6 yard rush (Jay Feely kick),10,30
