Unnamed: 0,STL,ARI
First Downs,14,25
Rush-Yds-TDs,19-100-1,32-107-2
Cmp-Att-Yd-TD-INT,16-27-181-0-2,27-32-269-1-0
Sacked-Yards,4-24,1-7
Net Pass Yards,157,262
Total Yards,257,369
Fumbles-Lost,1-0,1-1
Turnovers,2,1
Penalties-Yards,11-90,6-31
Third Down Conv.,3-11,8-14
Fourth Down Conv.,0-1,0-0
Time of Possession,24:53,35:07
