Unnamed: 0,PIT,CIN
First Downs,20,16
Rush-Yds-TDs,27-125-2,22-84-0
Cmp-Att-Yd-TD-INT,20-31-250-3-0,24-39-175-1-0
Sacked-Yards,0-0,7-47
Net Pass Yards,250,128
Total Yards,375,212
Fumbles-Lost,2-0,2-1
Turnovers,0,1
Penalties-Yards,3-15,4-55
Third Down Conv.,6-12,4-16
Fourth Down Conv.,0-0,2-2
Time of Possession,30:35,29:25
