Quarter,Time,Down,ToGo,Location,CAR,ATL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Falcons won the coin toss, Falcons to receive the opening kickoff.",,
1,15:00,,,CAR 35,0,0,"Olindo Mare kicks off 65 yards, touchback",0.000,0.280
1,15:00,1,10,ATL 20,0,0,Matt Ryan pass complete short right to Reggie Kelly for 7 yards (tackle by Captain Munnerlyn),0.280,0.680
1,14:27,2,3,ATL 27,0,0,Michael Turner right tackle for 4 yards (tackle by Dan Connor and Charles Johnson),0.680,1.000
1,13:50,1,10,ATL 31,0,0,Michael Turner left guard for 12 yards (tackle by Sherrod Martin),1.000,1.800
1,13:16,1,10,ATL 43,0,0,Matt Ryan pass complete short right to Tony Gonzalez for 5 yards (tackle by James Anderson),1.800,1.930
1,12:35,2,5,ATL 48,0,0,Jason Snelling right end for 2 yards (tackle by Charles Godfrey),1.930,1.490
1,11:58,3,3,,0,0,Matt Ryan pass incomplete short right intended for Roddy White,1.490,-0.060
1,11:53,4,3,,0,0,"Matt Bosher punts 38 yards, fair catch by Armanti Edwards",-0.060,0.350
1,11:45,1,10,CAR 12,0,0,"Cam Newton pass complete short right to DeAngelo Williams for 2 yards (tackle by Sean Weatherspoon). Penalty on Geoff Hangartner: Offensive Holding, 7 yards",-0.350,-0.570
1,11:18,1,15,CAR 7,0,0,DeAngelo Williams right end for 2 yards (tackle by Curtis Lofton and Sean Weatherspoon),-0.570,-1.000
1,10:42,2,13,CAR 9,0,0,"Cam Newton pass incomplete deep middle intended for Jeremy Shockey. Penalty on William Moore: Defensive Pass Interference, 17 yards (no play)",-1.000,0.670
1,10:38,1,10,CAR 26,0,0,DeAngelo Williams right tackle for 4 yards (tackle by Ray Edwards),0.670,0.670
1,10:02,2,6,CAR 30,0,0,DeAngelo Williams left tackle for no gain (tackle by Curtis Lofton and Jonathan Babineaux),0.670,-0.030
1,9:17,3,6,CAR 30,0,0,Cam Newton for 12 yards (tackle by Brent Grimes),-0.030,1.730
1,8:36,1,10,CAR 42,0,0,Cam Newton pass complete short left to Steve Smith for 17 yards (tackle by Thomas DeCoud),1.730,2.850
1,8:02,1,10,ATL 41,0,0,Cam Newton pass incomplete short middle intended for Greg Olsen,2.850,2.310
1,7:54,2,10,ATL 41,0,0,Cam Newton pass complete short right to Jonathan Stewart for 1 yard (tackle by Brent Grimes and Kelvin Hayden),2.310,1.750
1,7:07,3,9,ATL 40,0,0,Cam Newton pass complete short middle to Legedu Naanee for 14 yards (tackle by Thomas DeCoud),1.750,3.840
1,6:27,1,10,ATL 26,0,0,DeAngelo Williams right guard for 1 yard (tackle by Vance Walker),3.840,3.430
1,5:45,2,9,ATL 25,0,0,Cam Newton pass complete short left to Jeremy Shockey for 6 yards (tackle by Dunta Robinson),3.430,3.570
1,5:04,,,,0,0,Timeout #1 by Carolina Panthers,0.000,3.570
1,5:04,3,3,ATL 19,0,0,Cam Newton pass incomplete deep left intended for Greg Olsen,3.570,2.280
1,4:58,4,3,ATL 19,0,0,"Penalty on Byron Bell: False Start, 5 yards (no play)",2.280,1.870
1,4:58,4,8,ATL 24,3,0,Olindo Mare 42 yard field goal good,1.870,3.000
1,,,,CAR 35,3,0,"Olindo Mare kicks off 68 yards, returned by Eric Weems for 22 yards (tackle by Jason Williams)",0.000,0.150
1,4:48,1,10,ATL 19,3,0,Michael Turner right end for 5 yards (tackle by James Anderson and Jason Williams),0.150,0.340
1,4:13,2,5,ATL 24,3,0,Michael Turner left guard for 3 yards (tackle by James Anderson),0.340,-0.030
1,3:31,3,2,ATL 27,3,0,Jacquizz Rodgers right end for 8 yards (tackle by James Anderson),-0.030,1.270
1,2:45,1,10,ATL 35,3,0,Matt Ryan pass complete short right to Roddy White for 14 yards (tackle by Chris Gamble). Penalty on Sione Fua: Defensive Offside (Declined),1.270,2.190
1,2:17,1,10,ATL 49,3,0,"Michael Turner left end for 15 yards (tackle by Jason Williams). Penalty on Sam Baker: Offensive Holding, 10 yards (no play)",2.190,1.530
1,1:45,1,20,ATL 39,3,0,Matt Ryan pass complete short right to Ovie Mughelli for 19 yards (tackle by Jason Williams and Chris Gamble). Penalty on James Anderson: Illegal Use of Hands (Declined),1.530,2.860
1,1:16,2,1,CAR 42,3,0,"Matt Ryan pass complete short left to Harry Douglas for no gain. Penalty on Ronald Fields: Defensive Offside, 5 yards (no play)",2.860,3.120
1,1:00,1,10,CAR 37,3,0,Michael Turner left end for -1 yards (tackle by Greg Hardy),3.120,2.440
1,0:21,2,11,CAR 38,3,0,"Matt Ryan pass incomplete deep middle intended for Roddy White. Penalty on Charles Godfrey: Defensive Pass Interference, 37 yards (no play)",2.440,6.970
1,0:13,1,1,CAR 1,3,6,"Michael Turner left tackle for 1 yard, touchdown",6.970,7.000
1,,,,CAR 2,3,7,Matt Bryant kicks extra point good,0.000,0.000
Quarter,Time,Down,ToGo,Location,CAR,ATL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,,,,ATL 35,3,7,"Matt Bosher kicks off 68 yards, returned by Kealoha Pilares for 22 yards (tackle by Spencer Adkins)",0.000,0.150
2,14:54,1,10,CAR 19,3,7,DeAngelo Williams right guard for 12 yards (tackle by William Moore),0.150,1.000
2,14:12,1,10,CAR 31,3,7,DeAngelo Williams left guard for 2 yards (tackle by John Abraham),1.000,0.730
2,13:33,2,8,CAR 33,3,7,Cam Newton pass complete short right to Jeremy Shockey for 10 yards (tackle by Curtis Lofton and Stephen Nicholas),0.730,1.800
2,12:53,1,10,CAR 43,3,7,"Cam Newton pass complete deep left to Jeremy Shockey for 29 yards (tackle by Stephen Nicholas). Jeremy Shockey fumbles (forced by Stephen Nicholas), ball out of bounds at ATL-28",1.800,3.710
2,12:25,1,10,ATL 28,3,7,Cam Newton left tackle for -3 yards (tackle by Stephen Nicholas),3.710,2.760
2,11:46,2,13,ATL 31,3,7,Cam Newton pass incomplete short right intended for DeAngelo Williams,2.760,2.080
2,11:43,3,13,ATL 31,3,7,Cam Newton pass complete deep left to Legedu Naanee for 17 yards (tackle by Kelvin Hayden),2.080,4.650
2,10:56,1,10,ATL 14,3,7,Jonathan Stewart right tackle for 13 yards (tackle by Kelvin Hayden and Dunta Robinson),4.650,6.970
