Unnamed: 0,CAR,ATL
First Downs,24,24
Rush-Yds-TDs,26-139-2,35-166-3
Cmp-Att-Yd-TD-INT,21-35-237-0-3,14-22-163-1-0
Sacked-Yards,1-8,1-4
Net Pass Yards,229,159
Total Yards,368,325
Fumbles-Lost,2-0,0-0
Turnovers,3,0
Penalties-Yards,7-85,4-57
Third Down Conv.,8-12,7-11
Fourth Down Conv.,1-1,0-0
Time of Possession,29:26,30:34
