Quarter,Time,Down,ToGo,Location,BUF,ARI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cardinals won the coin toss and deferred, Bills to receive the opening kickoff.",,
1,15:00,,,ARI 35,0,0,"Jay Feely kicks off 63 yards, returned by Leodis McKelvin for 22 yards (tackle by Jamell Fleming)",0.000,0.540
1,14:55,1,10,BUF 24,0,0,"Fred Jackson up the middle for 4 yards (tackle by Daryl Washington). Fred Jackson fumbles (forced by Daryl Washington), recovered by William Gay at BUF-33 (tackle by Eric Wood)",0.540,-3.380
1,14:45,1,10,BUF 33,0,0,LaRod Stephens-Howling up the middle for 2 yards (tackle by Nigel Bradham and Kelvin Sheppard),3.380,3.110
1,14:04,2,8,BUF 31,0,0,Kevin Kolb pass incomplete short left intended for Jeff King,3.110,2.410
1,14:02,3,8,BUF 31,0,0,Kevin Kolb pass incomplete short left intended for Andre Roberts (defended by Kyle Williams),2.410,1.320
1,13:55,4,8,BUF 31,0,3,Jay Feely 49 yard field goal good,1.320,3.000
1,13:50,,,ARI 35,0,3,"Jay Feely kicks off 71 yards, returned by Brad Smith for 31 yards (tackle by Jamaal Westerman)",0.000,0.610
1,13:44,1,10,BUF 25,0,3,C.J. Spiller right tackle for 9 yards (tackle by William Gay),0.610,1.280
1,13:44,2,1,BUF 34,0,3,Brad Smith right tackle for 3 yards (tackle by Daryl Washington),1.280,1.400
1,12:41,1,10,BUF 37,0,3,Ryan Fitzpatrick pass complete short left to C.J. Spiller for 6 yards (tackle by Daryl Washington and Dan Williams),1.400,1.670
1,11:59,2,4,BUF 43,0,3,Ryan Fitzpatrick pass complete short right to Donald Jones for 9 yards (tackle by Jamell Fleming),1.670,2.390
1,11:19,1,10,ARI 48,0,3,C.J. Spiller left tackle for no gain (tackle by O'Brien Schofield),2.390,1.850
1,10:39,2,10,ARI 48,0,3,Fred Jackson left tackle for 4 yards (tackle by Daryl Washington),1.850,1.690
1,9:55,3,6,ARI 44,0,3,Ryan Fitzpatrick pass incomplete deep left intended for Donald Jones,1.690,0.330
1,9:50,4,6,ARI 44,0,3,Shawn Powell punts 31 yards,0.330,0.320
1,9:39,1,10,ARI 13,0,3,LaRod Stephens-Howling up the middle for -1 yards (tackle by Chris Kelsay),-0.320,-0.850
1,9:01,2,11,ARI 12,0,3,"Kevin Kolb pass complete short right to Early Doucet for 4 yards (tackle by Bryan Scott). Penalty on Andre Roberts: Offensive Holding, 6 yards (no play)",-0.850,-1.290
1,8:45,2,17,ARI 6,2,3,"Kevin Kolb sacked by Chris Kelsay for -6 yards, safety",-1.290,-2.000
1,8:36,,,ARI 20,2,3,"Dave Zastudil kicks off 62 yards, returned by Leodis McKelvin for 33 yards (tackle by Dave Zastudil)",0.000,2.320
1,8:29,1,10,ARI 49,2,3,Fred Jackson left tackle for 6 yards (tackle by Jamell Fleming),2.320,2.590
1,8:04,2,4,ARI 43,2,3,Fred Jackson up the middle for 3 yards (tackle by Daryl Washington),2.590,2.280
1,7:23,3,1,ARI 40,2,3,Fred Jackson up the middle for 6 yards (tackle by William Gay and Paris Lenon),2.280,3.310
1,6:51,1,10,ARI 34,2,3,Fred Jackson up the middle for 1 yard (tackle by O'Brien Schofield),3.310,2.910
1,6:13,2,9,ARI 33,2,3,Ryan Fitzpatrick up the middle for 4 yards (tackle by Daryl Washington),2.910,2.740
1,5:28,3,5,ARI 29,2,3,Ryan Fitzpatrick pass complete short right to Steve Johnson for 6 yards,2.740,4.040
1,4:59,1,10,ARI 23,2,3,Fred Jackson up the middle for 1 yard (tackle by Kerry Rhodes),4.040,3.630
1,4:22,2,9,ARI 22,2,3,Ryan Fitzpatrick pass incomplete short left intended for Steve Johnson,3.630,2.940
1,4:19,3,9,ARI 22,2,3,Ryan Fitzpatrick pass complete short left to Steve Johnson for 12 yards (tackle by Patrick Peterson),2.940,4.910
1,3:42,1,10,ARI 10,8,3,"C.J. Spiller left tackle for 10 yards, touchdown",4.910,7.000
1,3:42,,,ARI 2,9,3,Rian Lindell kicks extra point good,0.000,0.000
1,3:35,,,BUF 35,9,3,"Rian Lindell kicks off 65 yards, touchback",0.000,0.280
1,3:35,1,10,ARI 20,9,3,William Powell left tackle for 1 yard (tackle by Chris Kelsay),0.280,-0.130
1,2:56,2,9,ARI 21,9,3,LaRod Stephens-Howling up the middle for 3 yards (tackle by Bryan Scott and Marcell Dareus),-0.130,-0.430
1,2:10,3,6,ARI 24,9,3,Kevin Kolb pass complete deep right to Michael Floyd for 24 yards (tackle by Aaron Williams),-0.430,2.130
1,1:31,1,10,ARI 48,9,3,LaRod Stephens-Howling left tackle for 1 yard (tackle by Nigel Bradham),2.130,1.720
1,0:55,2,9,ARI 49,9,3,LaRod Stephens-Howling right tackle for no gain (tackle by Justin Rogers). Penalty on ARI: Offensive Holding (Declined),1.720,1.020
1,0:26,3,9,ARI 49,9,3,Kevin Kolb sacked by Mario Williams for -10 yards,1.020,-0.780
Quarter,Time,Down,ToGo,Location,BUF,ARI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,19,ARI 39,9,3,"Dave Zastudil punts 61 yards, touchback",-0.780,-0.280
2,14:52,1,10,BUF 20,9,3,C.J. Spiller right tackle for no gain (tackle by Calais Campbell),0.280,-0.270
2,14:11,2,10,BUF 20,9,3,Ryan Fitzpatrick pass incomplete deep right intended for Steve Johnson (defended by Patrick Peterson),-0.270,-0.960
2,14:06,3,10,BUF 20,9,3,Ryan Fitzpatrick pass incomplete short left intended for Steve Johnson (defended by William Gay),-0.960,-2.030
2,13:54,4,10,BUF 20,9,3,"Shawn Powell punts 62 yards, returned by Patrick Peterson for 25 yards (tackle by George Wilson). Penalty on James Sanders: Offensive Holding, 10 yards",-2.030,-0.670
2,13:47,1,10,ARI 26,9,3,Kevin Kolb pass incomplete deep right intended for Andre Roberts,0.670,0.130
2,13:40,2,10,ARI 26,9,3,LaRod Stephens-Howling right tackle for 2 yards (tackle by Kelvin Sheppard),0.130,-0.300
2,12:55,3,8,ARI 28,9,3,Kevin Kolb pass incomplete short right intended for Andre Roberts,-0.300,-1.500
2,12:46,4,8,ARI 28,9,3,"Dave Zastudil punts 57 yards, returned by Leodis McKelvin for 10 yards (tackle by Justin Bethel)",-1.500,-0.610
2,12:31,1,10,BUF 25,9,3,Fred Jackson right tackle for 4 yards (tackle by O'Brien Schofield and Daryl Washington),0.610,0.600
2,11:48,2,6,BUF 29,9,3,Ryan Fitzpatrick pass complete short left to Fred Jackson for -6 yards (tackle by Adrian Wilson),0.600,0.000
2,11:06,,,,9,3,Timeout #1 by Buffalo Bills,0.000,-0.890
2,11:06,3,12,BUF 23,9,3,Ryan Fitzpatrick pass complete short left to C.J. Spiller for -2 yards (tackle by Daryl Washington),-0.890,-1.960
2,10:33,4,14,BUF 21,9,3,"Shawn Powell punts 46 yards, out of bounds",-1.960,-1.140
2,10:25,1,10,ARI 33,9,3,William Powell up the middle for -1 yards (tackle by Jairus Byrd),1.140,0.460
2,9:47,2,11,ARI 32,9,3,Kevin Kolb pass complete short middle to Jeff King for 9 yards (tackle by Jairus Byrd),0.460,0.960
2,9:05,3,2,ARI 41,9,3,Kevin Kolb pass complete short left to Andre Roberts for 2 yards (tackle by Justin Rogers),0.960,1.800
,,,,,,,"BUF challenged the first down ruling, and the play was upheld.",,
2,8:50,1,10,ARI 43,9,3,William Powell left tackle for 2 yards (tackle by Chris Kelsay),1.800,1.520
2,8:03,2,8,ARI 45,9,3,Kevin Kolb pass complete short right to Rob Housler for 6 yards (tackle by Bryan Scott),1.520,1.620
2,7:26,3,2,BUF 49,9,3,Kevin Kolb pass complete deep middle to Larry Fitzgerald for 17 yards (tackle by George Wilson),1.620,3.450
2,6:45,1,10,BUF 32,9,3,Kevin Kolb pass complete short right to Jeff King for 1 yard (tackle by Kelvin Sheppard and Nick Barnett),3.450,3.040
2,6:06,2,9,BUF 31,9,3,William Powell left end for 17 yards (tackle by Nick Barnett),3.040,4.650
2,5:34,1,10,BUF 14,9,3,William Powell left tackle for 5 yards (tackle by Stephon Gilmore),4.650,4.900
2,4:53,2,5,BUF 9,9,9,"Kevin Kolb pass complete short middle to Larry Fitzgerald for 9 yards, touchdown",4.900,7.000
2,4:53,,,BUF 2,9,10,Jay Feely kicks extra point good,0.000,0.000
2,4:47,,,ARI 35,9,10,Jay Feely kicks off 38 yards,0.000,0.740
2,4:45,1,10,BUF 27,9,10,C.J. Spiller up the middle for 3 yards (tackle by Daryl Washington),0.740,0.600
2,4:10,2,7,BUF 30,9,10,C.J. Spiller up the middle for 5 yards (tackle by O'Brien Schofield),0.600,0.560
2,3:25,3,2,BUF 35,9,10,Ryan Fitzpatrick pass incomplete short right intended for Scott Chandler (defended by Kerry Rhodes),0.560,-1.040
2,3:20,4,2,BUF 35,9,10,"Shawn Powell punts 49 yards, returned by Patrick Peterson for -2 yards (tackle by Leodis McKelvin)",-1.040,0.280
2,3:11,1,10,ARI 14,9,10,William Powell left tackle for 2 yards (tackle by Kelvin Sheppard),-0.280,-0.510
2,2:37,2,8,ARI 16,9,10,William Powell left tackle for 9 yards (tackle by Jairus Byrd),-0.510,0.610
2,2:00,1,10,ARI 25,9,10,Kevin Kolb pass incomplete short left intended for Larry Fitzgerald,0.610,0.060
2,1:57,2,10,ARI 25,9,10,Kevin Kolb pass incomplete deep left intended for Larry Fitzgerald,0.060,-0.620
2,1:52,3,10,ARI 25,9,10,Kevin Kolb pass complete short left to William Powell for 8 yards (tackle by Nick Barnett),-0.620,-1.180
2,1:40,4,2,ARI 33,9,10,Rashad Johnson right end for 24 yards (tackle by Aaron Williams),-1.180,2.720
2,1:32,1,10,BUF 43,9,10,LaRod Stephens-Howling up the middle for 1 yard (tackle by Marcell Dareus),2.720,2.310
2,1:10,2,9,BUF 42,9,10,Kevin Kolb pass incomplete short left intended for Larry Fitzgerald (defended by Stephon Gilmore),2.310,1.620
2,1:06,3,9,BUF 42,9,10,Kevin Kolb pass incomplete short left intended for Michael Floyd,1.620,0.460
2,1:03,4,9,BUF 42,9,10,"Dave Zastudil punts 42 yards, touchback",0.460,-0.280
2,0:54,1,10,BUF 20,9,10,Ryan Fitzpatrick pass complete short left to Fred Jackson for 8 yards (tackle by Kerry Rhodes),0.280,0.000
2,0:48,,,,9,10,Timeout #1 by Arizona Cardinals,0.000,0.810
2,0:48,2,2,BUF 28,9,10,Ryan Fitzpatrick pass complete short right to Scott Chandler for 4 yards (tackle by William Gay and Sam Acho),0.810,1.070
2,0:26,1,10,BUF 32,9,10,Ryan Fitzpatrick pass complete short right to Fred Jackson for 7 yards (tackle by Jamell Fleming and Paris Lenon),1.070,1.470
2,0:11,2,3,BUF 39,9,10,Ryan Fitzpatrick spiked the ball,1.470,0.760
2,0:10,3,3,BUF 39,9,10,Ryan Fitzpatrick sacked by O'Brien Schofield for -6 yards,0.760,-1.180
Quarter,Time,Down,ToGo,Location,BUF,ARI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,BUF 35,9,10,"Rian Lindell kicks off 70 yards, returned by William Powell for 32 yards (tackle by Tashard Choice)",0.000,0.740
