Unnamed: 0,BUF,ARI
First Downs,19,20
Rush-Yds-TDs,33-165-2,30-182-0
Cmp-Att-Yd-TD-INT,18-33-153-0-1,16-36-173-1-2
Sacked-Yards,2-12,5-23
Net Pass Yards,141,150
Total Yards,306,332
Fumbles-Lost,1-1,0-0
Turnovers,2,2
Penalties-Yards,5-39,7-67
Third Down Conv.,4-13,5-16
Fourth Down Conv.,0-0,2-2
Time of Possession,31:22,32:28
