Quarter,Time,Tm,Detail,DAL,HOU
1.0,13:46,Texans,Billy Miller 19 yard pass from David Carr (Kris Brown kick),0,7
2.0,10:36,Texans,Kris Brown 42 yard field goal,0,10
,0:56,Cowboys,Billy Cundiff 33 yard field goal,3,10
3.0,5:12,Cowboys,Michael Wiley 46 yard rush (Billy Cundiff kick),10,10
4.0,12:18,Texans,Corey Bradford 65 yard pass from David Carr (Kris Brown kick),10,17
,2:37,Texans,"Safety,",10,19
