Unnamed: 0,DAL,HOU
First Downs,11,13
Rush-Yds-TDs,24-155-1,35-87-0
Cmp-Att-Yd-TD-INT,13-30-131-0-1,10-22-145-2-1
Sacked-Yards,3-19,6-22
Net Pass Yards,112,123
Total Yards,267,210
Fumbles-Lost,3-1,1-0
Turnovers,2,1
Penalties-Yards,9-117,11-80
Third Down Conv.,2-13,2-15
Fourth Down Conv.,0-0,0-0
Time of Possession,26:05,33:55
