#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,13:46,DAL 28,3,1:34,5,Punt
2,1,10:32,DAL 22,3,1:16,8,Punt
3,1,6:16,DAL 19,3,1:04,0,Punt
4,1,3:20,DAL 27,4,2:34,29,Punt
5,2,14:32,DAL 13,5,2:28,5,Interception
6,2,10:36,DAL 25,5,2:41,25,Punt
7,2,4:26,DAL 33,3,1:04,5,Punt
8,2,2:01,HOU 48,7,1:05,34,Field Goal
9,3,15:00,DAL 21,9,4:44,55,Missed FG
10,3,7:13,DAL 16,4,2:01,84,Touchdown
11,3,2:31,DAL 9,5,3:26,22,Punt
12,4,12:18,,0,0:09,0,Fumble
13,4,9:13,DAL 28,3,0:25,0,Punt
14,4,6:31,DAL 13,3,1:24,4,Punt
15,4,2:47,DAL 4,2,0:10,-4,Safety
