Quarter,Time,Down,ToGo,Location,BUF,SFO,Detail,EPB,EPA
1,4:20,1,10,SFO 23,0,0,"Ken Dorsey pass incomplete intended for Aaron Walker. Penalty on Jeff Posey: Roughing the Passer, 15 yards (no play)",0.480,1.470
1,4:14,1,10,SFO 38,0,0,Kevan Barlow right guard for 2 yards (tackle by Ryan Denney),1.470,1.190
1,3:37,2,8,SFO 40,0,0,Ken Dorsey pass complete to Brandon Lloyd for 11 yards (tackle by Nate Clements),1.190,2.320
1,3:00,1,10,BUF 49,0,0,Kevan Barlow left end for 2 yards (tackle by London Fletcher),2.320,2.050
1,2:45,2,8,BUF 47,0,0,"Maurice Hicks left guard for -1 yards (tackle by Pat Williams). Penalty on Steve Bush: Offensive Holding, 10 yards (no play)",2.050,0.700
1,2:18,2,18,SFO 43,0,0,Maurice Hicks left guard for 1 yard (tackle by Pat Williams),0.700,0.170
1,1:38,3,17,SFO 44,0,0,Ken Dorsey pass complete to Eric Johnson for 9 yards (tackle by Ryan Denney),0.170,0.130
1,0:57,4,8,BUF 47,0,0,"Andy Lee punts 47 yards, touchback",0.130,-0.280
1,0:49,1,10,BUF 20,0,0,Shaud Williams right end for 5 yards (tackle by Jimmy Williams),0.280,0.410
1,0:18,2,5,BUF 25,0,0,Shaud Williams right end for 3 yards (tackle by Derek Smith and Chris Cooper),0.410,0.100
Quarter,Time,Down,ToGo,Location,BUF,SFO,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,2,BUF 28,0,0,Shaud Williams left end for 22 yards (tackle by Shawntae Spencer and Derek Smith),0.100,2.260
2,14:34,1,10,SFO 50,0,0,"Penalty on Ross Tucker: False Start, 5 yards (no play)",2.260,1.930
2,14:17,1,15,BUF 45,0,0,Drew Bledsoe pass complete to Eric Moulds for 11 yards (tackle by Shawntae Spencer),1.930,2.520
2,13:49,2,4,SFO 44,0,0,Drew Bledsoe pass complete to Willis McGahee for 14 yards (tackle by Tony Parrish),2.520,3.580
2,13:35,1,10,SFO 30,0,0,Drew Bledsoe pass complete to Eric Moulds for 16 yards (tackle by Derek Smith),3.580,4.650
2,12:56,1,10,SFO 14,0,0,Drew Bledsoe pass complete to Josh Reed for 9 yards (tackle by Ronnie Heard),4.650,5.670
2,12:00,2,1,SFO 5,0,0,Drew Bledsoe up the middle for 2 yards (tackle by Derek Smith),5.670,6.510
2,11:25,1,3,SFO 3,6,0,"Willis McGahee left end for 3 yards, touchdown",6.510,7.000
2,,,,SFO 2,7,0,Rian Lindell kicks extra point good,0.000,0.000
2,,,,BUF 30,7,0,--,0.000,0.480
2,11:13,1,10,SFO 23,7,0,Ken Dorsey pass incomplete intended for Fred Beasley (defended by Aaron Schobel),0.480,-0.070
2,11:09,2,10,SFO 23,7,0,Kevan Barlow right end for 4 yards (tackle by Terrence McGee),-0.070,-0.230
2,10:32,3,6,SFO 27,7,0,Ken Dorsey pass incomplete intended for Eric Johnson,-0.230,-1.570
2,10:27,4,6,SFO 27,7,0,"Andy Lee punts 47 yards, returned by Nate Clements for 21 yards (tackle by Ronnie Heard)",-1.570,-2.060
2,10:14,1,10,BUF 47,7,0,Drew Bledsoe pass incomplete intended for Ryan Neufeld (defended by Jimmy Williams),2.060,1.520
2,9:59,2,10,BUF 47,7,0,Drew Bledsoe pass complete to Eric Moulds for 11 yards (tackle by Jimmy Williams),1.520,2.790
2,9:30,1,10,SFO 42,7,0,Shaud Williams right end for 9 yards (tackle by Tony Parrish),2.790,3.460
2,8:49,2,1,SFO 33,7,0,Drew Bledsoe pass complete to Lee Evans for 7 yards (tackle by Shawntae Spencer),3.460,3.840
2,8:16,1,10,SFO 26,7,0,Drew Bledsoe pass complete to Lee Evans for 3 yards (tackle by Dwaine Carpenter),3.840,3.700
2,7:44,2,7,SFO 23,7,0,Drew Bledsoe pass complete to Eric Moulds for 12 yards (tackle by Jimmy Williams),3.700,4.840
2,7:31,1,10,SFO 11,7,0,Drew Bledsoe pass complete to Eric Moulds for 5 yards (tackle by Jimmy Williams),4.840,5.080
2,7:00,2,5,SFO 6,7,0,Drew Bledsoe pass incomplete intended for Eric Moulds (defended by Jimmy Williams),5.080,4.210
2,6:56,,,,7,0,Timeout #1 by Buffalo Bills,0.000,4.210
2,6:56,3,5,SFO 6,7,0,Drew Bledsoe pass incomplete intended for Eric Moulds. Penalty on Jonas Jennings: Offensive Holding (Declined),4.210,2.990
2,6:51,4,5,SFO 6,10,0,Rian Lindell 23 yard field goal good,2.990,3.000
2,,,,BUF 30,10,0,"Rian Lindell kicks off 50 yards, returned by Cedrick Wilson for 15 yards (tackle by Mario Haggan)",0.000,1.270
2,6:43,1,10,SFO 35,10,0,Maurice Hicks up the middle for -2 yards (tackle by London Fletcher and Sam Adams),1.270,0.450
2,6:07,2,12,SFO 33,10,0,Ken Dorsey pass complete to Maurice Hicks for 15 yards (tackle by Terrence McGee),0.450,2.130
2,5:25,1,10,SFO 48,10,0,Maurice Hicks left tackle for no gain (tackle by Jeff Posey and London Fletcher),2.130,1.580
2,4:48,2,10,SFO 48,10,0,Maurice Hicks right guard for 1 yard (tackle by Takeo Spikes),1.580,1.020
2,4:09,3,9,SFO 49,10,0,"Penalty on Eric Johnson: False Start, 5 yards (no play)",1.020,0.370
2,3:50,3,14,SFO 44,10,0,"Ken Dorsey sacked by Kevin Thomas for -5 yards. Ken Dorsey fumbles (forced by Kevin Thomas), recovered by Aaron Schobel at SFO-40 (tackle by Kyle Kosier)",0.370,-2.920
2,3:44,1,10,SFO 40,10,0,Drew Bledsoe pass incomplete intended for Eric Moulds (defended by Ronnie Heard),2.920,2.370
2,3:38,2,10,SFO 40,10,0,Drew Bledsoe pass complete to Eric Moulds for 9 yards (tackle by Shawntae Spencer),2.370,2.870
2,2:46,3,1,SFO 31,10,0,Willis McGahee left guard for 7 yards (tackle by Chris Cooper and Shawntae Spencer),2.870,3.970
2,2:00,1,10,SFO 24,10,0,Drew Bledsoe pass incomplete (defended by Derek Smith),3.970,3.430
2,1:55,2,10,SFO 24,10,0,Drew Bledsoe pass complete to Lee Evans for 7 yards (tackle by Derek Smith),3.430,3.750
2,1:20,3,3,SFO 17,10,0,Drew Bledsoe pass complete to Rod Trafford for 5 yards (tackle by Ronnie Heard),3.750,4.780
2,1:13,,,,10,0,Timeout #2 by Buffalo Bills,0.000,4.780
2,1:13,1,10,SFO 12,10,0,Drew Bledsoe sacked by Joselio Hanson for -1 yards,4.780,3.940
2,0:38,2,11,SFO 13,10,0,Willis McGahee up the middle for 5 yards (tackle by Saleem Rasheed and Bryant Young),3.940,3.930
2,0:29,,,,10,0,Timeout #3 by Buffalo Bills,0.000,3.930
2,0:29,3,6,SFO 8,16,0,"Drew Bledsoe pass complete to Lee Evans for 8 yards, touchdown",3.930,7.000
2,,,,SFO 2,17,0,Rian Lindell kicks extra point good,0.000,0.000
2,,,,BUF 30,17,0,"Rian Lindell kicks off 58 yards, returned by Maurice Hicks for 8 yards (tackle by Pierson Prioleau)",0.000,0.280
2,0:18,1,10,SFO 20,17,0,Ken Dorsey pass complete to Terry Jackson for 5 yards (tackle by Takeo Spikes),0.280,0.410
2,0:09,,,,17,0,Timeout #1 by San Francisco 49ers,0.000,0.410
2,0:09,2,5,SFO 25,17,0,Terry Jackson right guard for 3 yards (tackle by Takeo Spikes),0.410,0.100
Quarter,Time,Down,ToGo,Location,BUF,SFO,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,SFO 30,17,0,"Todd Peterson kicks off 50 yards, returned by Jonathan Smith for 28 yards (tackle by Mike Adams)",0.000,2.130
3,14:51,1,10,BUF 48,17,0,Drew Bledsoe pass complete to Josh Reed for 2 yards (tackle by Shawntae Spencer),2.130,1.850
3,14:34,2,8,SFO 50,17,0,Willis McGahee left guard for 10 yards (tackle by Shawntae Spencer),1.850,2.920
3,13:58,1,10,SFO 40,17,0,Willis McGahee left tackle for 20 yards (tackle by Ronnie Heard),2.920,4.240
3,13:28,1,10,SFO 20,17,0,Drew Bledsoe pass complete to Shaud Williams for -1 yards (tackle by Ronnie Heard),4.240,3.560
3,12:52,2,11,SFO 21,17,0,Willis McGahee left guard for 8 yards (tackle by Jeff Ulbrich),3.560,4.100
3,12:09,3,3,SFO 13,17,0,Drew Bledsoe pass incomplete intended for Rod Trafford,4.100,2.670
3,12:05,4,3,SFO 13,20,0,Rian Lindell 31 yard field goal good,2.670,3.000
3,,,,BUF 30,20,0,"Rian Lindell kicks off 62 yards, returned by Maurice Hicks for 23 yards (tackle by Pierson Prioleau)",0.000,1.000
3,11:55,1,10,SFO 31,20,0,Kevan Barlow right guard for 5 yards (tackle by Aaron Schobel),1.000,1.140
3,11:21,2,5,SFO 36,20,0,Ken Dorsey pass incomplete intended for Cedrick Wilson is intercepted by Nate Clements at SFO-45,1.140,-2.590
3,11:14,1,10,SFO 45,20,0,Eric Moulds up the middle for 1 yard (tackle by Andrew Williams and Derek Smith),2.590,2.180
3,10:29,2,9,SFO 44,20,0,Drew Bledsoe pass complete to Eric Moulds for 6 yards (tackle by Jeff Ulbrich),2.180,2.280
3,9:48,3,3,SFO 38,20,0,Drew Bledsoe pass incomplete intended for Jonathan Smith (defended by Tony Parrish),2.280,0.720
3,9:48,4,3,SFO 38,20,0,Penalty on Brian Moorman: Delay of Game (Declined),0.720,0.720
3,9:43,4,3,SFO 38,20,0,Brian Moorman pass incomplete intended for Pierson Prioleau. Penalty on Lawrence Smith: Ineligible Downfield Kick (Declined),0.720,-1.470
3,9:38,1,10,SFO 38,20,0,Kevan Barlow left guard for 2 yards (tackle by Ryan Denney),1.470,1.190
3,9:02,2,8,SFO 40,20,0,Cody Pickett pass incomplete intended for Cedrick Wilson (defended by Takeo Spikes),1.190,0.500
3,8:54,3,8,SFO 40,20,0,Cody Pickett for 5 yards (tackle by Takeo Spikes),0.500,-0.390
3,8:19,4,3,SFO 45,20,0,"Andy Lee punts 33 yards, returned by Nate Clements for 28 yards (tackle by Dwaine Carpenter)",-0.390,-2.260
3,8:08,1,10,SFO 50,20,0,Shaud Williams right end for -2 yards (tackle by Chris Cooper),2.260,1.440
3,7:25,2,12,BUF 48,20,0,Willis McGahee left end for 14 yards (tackle by Dwaine Carpenter and Tony Parrish),1.440,3.050
3,6:49,1,10,SFO 38,20,0,Drew Bledsoe pass complete to Lee Evans for 16 yards (tackle by Ronnie Heard),3.050,4.110
3,6:09,1,10,SFO 22,20,0,Drew Bledsoe pass complete to Eric Moulds for 11 yards (tackle by Derek Smith),4.110,4.840
3,5:37,1,10,SFO 11,20,0,Willis McGahee left end for 9 yards (tackle by Jeff Ulbrich),4.840,5.850
3,5:10,2,1,SFO 2,20,0,Willis McGahee right guard for 1 yard (tackle by Andrew Williams),5.850,6.970
3,4:25,1,1,SFO 1,26,0,"Willis McGahee right end for 1 yard, touchdown",6.970,7.000
3,,,,SFO 2,27,0,Rian Lindell kicks extra point good,0.000,0.000
3,,,,BUF 30,27,0,"Rian Lindell kicks off 68 yards, returned by Maurice Hicks for 11 yards (tackle by Sam Aiken)",0.000,-0.320
3,4:15,1,10,SFO 13,27,0,Cody Pickett pass incomplete intended for Rashaun Woods,-0.320,-0.770
3,4:10,2,10,SFO 13,27,0,Kevan Barlow right end for 7 yards (tackle by Terrence McGee),-0.770,-0.590
3,4:01,3,3,SFO 20,27,0,Cody Pickett pass complete to Curtis Conway for 12 yards (tackle by Terrence McGee),-0.590,1.070
3,3:25,1,10,SFO 32,27,0,Cody Pickett pass incomplete intended for Rashaun Woods is intercepted by Lawyer Milloy at SFO-46 and returned for 9 yards (tackle by Fred Beasley),1.070,-3.120
3,3:15,1,10,SFO 37,27,0,"Willis McGahee left guard for 3 yards (tackle by Jeff Ulbrich). Willis McGahee fumbles (forced by Jeff Ulbrich), recovered by Jimmy Williams at SFO-34 (tackle by Ross Tucker)",3.120,-1.200
3,3:09,1,10,SFO 34,27,0,Maurice Hicks up the middle for 2 yards (tackle by Ryan Denney),1.200,0.930
3,2:36,2,8,SFO 36,27,0,Cody Pickett sacked by Sam Adams for -5 yards,0.930,-0.430
3,1:59,3,13,SFO 31,27,0,"Cody Pickett sacked by Takeo Spikes for -9 yards. Cody Pickett fumbles (forced by Takeo Spikes), recovered by Maurice Hicks at SFO-22",-0.430,-1.900
3,1:06,4,22,SFO 22,27,0,"Andy Lee punts 42 yards, returned by Nate Clements for 12 yards (tackle by Ronnie Heard)",-1.900,-2.130
3,1:06,1,10,BUF 48,27,0,"Lee Evans right end for 21 yards (tackle by Saleem Rasheed). Penalty on Lee Evans: Taunting, 15 yards",2.130,2.520
3,0:44,1,10,SFO 46,27,0,Shaud Williams left guard for 1 yard (tackle by Daleroy Stewart),2.520,2.110
Quarter,Time,Down,ToGo,Location,BUF,SFO,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,9,SFO 45,27,0,Shane Matthews pass incomplete intended for Ryan Neufeld,2.110,1.420
4,14:56,3,9,SFO 45,27,0,Shane Matthews pass complete to Jonathan Smith for 11 yards (tackle by Dwaine Carpenter),1.420,3.310
4,14:18,1,10,SFO 34,27,0,Shaud Williams right guard for 1 yard (tackle by John Engelberger and Chris Cooper),3.310,2.910
4,13:33,2,9,SFO 33,33,0,"Shane Matthews pass complete to Lee Evans for 33 yards, touchdown",2.910,7.000
4,,,,SFO 2,34,0,Rian Lindell kicks extra point good,0.000,0.000
4,,,,BUF 30,34,0,"Rian Lindell kicks off 58 yards, muffed catch by Maurice Hicks, recovered by Maurice Hicks at SF-15, and returned for 2 yards.",0.000,-0.060
4,13:20,1,10,SFO 17,34,0,Cody Pickett pass incomplete intended for Steve Bush is intercepted by Josh Stamer at SFO-22,-0.060,-4.110
4,13:14,1,10,SFO 22,34,0,"Shaud Williams right guard for 7 yards (tackle by Jimmy Williams). Penalty on Joe Burns: Illegal Shift, 5 yards (no play)",4.110,3.780
4,12:49,1,15,SFO 27,40,0,"Shaud Williams left tackle for 27 yards, touchdown",3.780,7.000
4,,,,SFO 2,41,0,Rian Lindell kicks extra point good,0.000,0.000
4,,,,BUF 30,41,0,"Rian Lindell kicks off 60 yards, returned by Maurice Hicks for 17 yards (tackle by Mario Haggan)",0.000,0.740
4,12:33,1,10,SFO 27,41,0,Kevan Barlow right tackle for 5 yards (tackle by Angelo Crowell and Rashad Baker),0.740,0.870
4,12:08,2,5,SFO 32,41,0,Cody Pickett pass incomplete intended for Cedrick Wilson (defended by Aaron Schobel),0.870,0.170
4,12:04,3,5,SFO 32,41,0,Cody Pickett pass complete to Eric Johnson for 8 yards (tackle by Pierson Prioleau). Penalty on Aaron Schobel: Defensive Offside (Declined),0.170,1.600
4,11:42,1,10,SFO 40,41,0,Kevan Barlow left guard for 5 yards (tackle by Pierson Prioleau),1.600,1.730
4,11:05,2,5,SFO 45,41,0,Kevan Barlow up the middle for 13 yards (tackle by Terrence McGee and Ron Edwards),1.730,2.790
4,10:26,1,10,BUF 42,41,0,Cody Pickett pass complete to Rashaun Woods for 17 yards (tackle by Kevin Thomas),2.790,3.910
4,9:48,1,10,BUF 25,41,0,Maurice Hicks up the middle for 2 yards (tackle by Josh Stamer),3.910,3.630
4,9:10,2,8,BUF 23,41,0,"Maurice Hicks right guard for 2 yards (tackle by Pierson Prioleau). Penalty on Kwame Harris: Offensive Holding, 10 yards",3.630,2.550
4,9:10,2,16,BUF 31,41,0,Maurice Hicks up the middle for -1 yards (tackle by Josh Stamer),2.550,1.750
4,9:10,3,17,BUF 32,41,0,Cody Pickett pass incomplete intended for Cedrick Wilson (defended by Angelo Crowell),1.750,1.240
4,8:05,4,17,BUF 32,41,0,Cody Pickett pass complete to Cedrick Wilson for 18 yards (tackle by Terrence McGee),1.240,4.650
4,7:36,1,10,BUF 14,41,0,Kevan Barlow right tackle for 4 yards (tackle by Ron Edwards),4.650,4.710
4,7:00,2,6,BUF 10,41,0,Kevan Barlow up the middle for 9 yards (tackle by Terrence McGee and Kevin Thomas),4.710,6.970
4,6:22,1,1,BUF 1,41,6,"Kevan Barlow right guard for 1 yard, touchdown",6.970,7.000
4,,,,BUF 2,41,7,Todd Peterson kicks extra point good,0.000,0.000
4,,,,SFO 30,41,7,"Todd Peterson kicks off 62 yards, returned by Terrence McGee for 36 yards (tackle by Mike Adams)",0.000,1.860
4,6:10,1,10,BUF 44,41,7,Shaud Williams right tackle for 9 yards (tackle by Jimmy Williams and Keith Lewis),1.860,2.530
4,5:30,2,1,SFO 47,41,7,Shaud Williams up the middle for 5 yards (tackle by Saleem Rasheed),2.530,2.790
4,4:48,1,10,SFO 42,41,7,Shaud Williams right tackle for 2 yards (tackle by Derek Smith),2.790,2.510
4,4:06,2,8,SFO 40,41,7,Shaud Williams right tackle for 5 yards (tackle by Jimmy Williams),2.510,2.480
4,3:20,3,3,SFO 35,41,7,Shaud Williams left guard for 3 yards (tackle by Shawntae Spencer),2.480,3.450
4,2:37,1,10,SFO 32,41,7,Shaud Williams up the middle for -2 yards (tackle by Chris Cooper),3.450,2.630
4,2:00,2,12,SFO 34,41,7,Shaud Williams up the middle for 1 yard (tackle by Andrew Williams),2.630,2.080
4,1:18,3,11,SFO 33,41,7,Shaud Williams up the middle for 3 yards (tackle by Derek Smith and Tony Brown),2.080,1.410
4,0:33,4,8,SFO 30,41,7,Shaud Williams left guard for 1 yard (tackle by Saleem Rasheed),1.410,-0.870
4,0:25,1,10,SFO 29,41,7,Maurice Hicks right guard for 4 yards (tackle by Mario Haggan),0.870,0.870
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
