Quarter,Time,Tm,Detail,BUF,SFO
2.0,11:19,Bills,Willis McGahee 3 yard rush (Rian Lindell kick),7,0
,6:47,Bills,Rian Lindell 23 yard field goal,10,0
,0:25,Bills,Lee Evans 8 yard pass from Drew Bledsoe (Rian Lindell kick),17,0
3.0,12:02,Bills,Rian Lindell 31 yard field goal,20,0
,4:20,Bills,Willis McGahee 1 yard rush (Rian Lindell kick),27,0
4.0,13:26,Bills,Lee Evans 33 yard pass from Shane Matthews (Rian Lindell kick),34,0
,12:39,Bills,Shaud Williams 27 yard rush (Rian Lindell kick),41,0
,6:19,49ers,Kevan Barlow 1 yard rush (Todd Peterson kick),41,7
