Quarter,Time,Down,ToGo,Location,SFO,ATL,Detail,EPB,EPA
1,3:40,1,10,SFO 16,0,14,Tevin Coleman right end for 3 yards (tackle by Aaron Lynch and DeForest Buckner),4.510,4.390
1,3:08,2,7,SFO 13,0,14,Matt Ryan pass complete short right to Tevin Coleman for 4 yards (tackle by Aaron Lynch),4.390,0.000
1,2:21,,,,0,14,Timeout #1 by Atlanta Falcons,0.000,-4.390
1,2:21,3,3,SFO 9,0,14,Matt Ryan pass complete short right to Devonta Freeman for 8 yards (tackle by Vinnie Sunseri),4.390,6.970
1,1:50,1,1,SFO 1,0,14,"Penalty on Tom Compton: False Start, 5 yards (no play)",6.970,5.830
1,1:31,1,6,SFO 6,0,14,Tevin Coleman left guard for -3 yards (tackle by DeForest Buckner),5.830,4.380
1,0:54,2,9,SFO 9,0,14,Matt Ryan pass incomplete,4.380,3.360
1,0:47,3,9,SFO 9,0,20,"Matt Ryan pass complete short right to Austin Hooper for 9 yards, touchdown",3.360,7.000
1,0:40,,,SFO 15,0,21,Matt Bryant kicks extra point good,0.000,0.000
1,0:40,,,ATL 35,0,21,"Matthew Bosher kicks off 65 yards, touchback",0.000,-0.610
1,0:40,1,10,SFO 25,0,21,Colin Kaepernick pass complete short middle to Quinton Patton for 12 yards (tackle by Brian Poole),0.610,1.400
Quarter,Time,Down,ToGo,Location,SFO,ATL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,SFO 37,0,21,Colin Kaepernick pass complete short middle to Quinton Patton for -9 yards (tackle by Robert Alford),1.400,0.000
2,14:22,,,,0,21,Timeout #1 by San Francisco 49ers,0.000,0.360
2,14:22,2,19,SFO 28,0,21,Colin Kaepernick pass complete short left to Jeremy Kerley for 5 yards (tackle by Keanu Neal),-0.360,-0.360
2,13:45,3,14,SFO 33,0,21,Colin Kaepernick pass complete deep middle to Blake Bell for 45 yards (tackle by Keanu Neal and Ricardo Allen),-0.360,4.110
2,13:19,1,10,ATL 22,0,21,Colin Kaepernick pass complete short left to Chris Harper for 6 yards (tackle by Ayodeji Olatoye),4.110,4.460
2,12:50,2,4,ATL 16,6,21,"Colin Kaepernick pass complete short left to Garrett Celek for 16 yards, touchdown",4.460,7.000
2,12:45,,,ATL 15,7,21,Phil Dawson kicks extra point good,0.000,0.000
2,12:45,,,SFO 35,7,21,"Bradley Pinion kicks off 65 yards, touchback",0.000,-0.610
2,12:45,1,10,ATL 25,7,21,Matt Ryan pass complete short middle to Aldrick Robinson for 59 yards (tackle by Jimmie Ward),0.610,4.510
2,12:15,1,10,SFO 16,7,21,Devonta Freeman right tackle for 6 yards (tackle by Eli Harold),4.510,4.970
2,11:45,2,4,SFO 10,7,21,Devonta Freeman right guard for 9 yards (tackle by Dontae Johnson),4.970,6.970
2,11:21,1,1,SFO 1,7,21,"Devonta Freeman right guard for no gain (tackle by Michael Wilhoite). Devonta Freeman fumbles (forced by Michael Wilhoite), recovered by Michael Wilhoite at SFO-1",6.970,0.380
2,11:06,1,10,SFO 1,7,21,Colin Kaepernick pass complete short left to Chris Harper for 8 yards (tackle by Keanu Neal),-0.380,-0.200
2,10:31,2,2,SFO 9,7,21,Carlos Hyde right tackle for 17 yards (tackle by Brian Poole),-0.200,0.670
2,9:55,1,10,SFO 26,7,21,Carlos Hyde right guard for 12 yards (tackle by Ricardo Allen),0.670,1.470
2,9:22,1,10,SFO 38,7,21,Carlos Hyde left guard for 4 yards (tackle by Courtney Upshaw),1.470,1.460
2,8:45,2,6,SFO 42,7,21,Colin Kaepernick pass incomplete short right intended for Rod Streater,1.460,0.760
2,8:42,3,6,SFO 42,7,21,Colin Kaepernick sacked by Vic Beasley for -5 yards,0.760,-0.910
2,8:15,4,11,SFO 37,7,21,"Bradley Pinion punts 51 yards, returned by Eric Weems for 39 yards (tackle by Je'Ron Hamm). Penalty on Justin Hardy: Offensive Holding, 6 yards",-0.910,0.380
2,8:00,1,10,ATL 6,7,21,Tevin Coleman right end for 1 yard (tackle by Tank Carradine),-0.380,-0.710
2,7:17,2,9,ATL 7,7,21,"Penalty on Ahmad Brooks: Encroachment, 5 yards (no play)",-0.710,-0.340
2,7:06,2,4,ATL 12,7,21,Matt Ryan pass complete short left to Mohamed Sanu for 10 yards (tackle by Michael Wilhoite and Tramaine Brock),-0.340,0.410
2,6:31,1,10,ATL 22,7,21,Matt Ryan pass complete deep middle to Aldrick Robinson for 20 yards (tackle by Jaquiski Tartt),0.410,1.730
2,5:53,1,10,ATL 42,7,21,Tevin Coleman left guard for 29 yards (tackle by Jaquiski Tartt),1.730,3.640
2,5:17,1,10,SFO 29,7,21,Devonta Freeman right end for 20 yards (tackle by Jaquiski Tartt),3.640,5.140
2,4:36,1,9,SFO 9,7,27,"Devonta Freeman right guard for 9 yards, touchdown",5.140,7.000
2,4:28,,,SFO 15,7,28,Matt Bryant kicks extra point good,0.000,0.000
2,4:28,,,ATL 35,7,28,"Matthew Bosher kicks off 65 yards, touchback",0.000,-0.610
2,4:28,1,10,SFO 25,7,28,Colin Kaepernick pass incomplete short middle intended for Garrett Celek,0.610,0.060
2,4:24,2,10,SFO 25,7,28,Carlos Hyde right guard for -1 yards (tackle by Paul Worrilow and Grady Jarrett),0.060,-0.760
2,3:48,3,11,SFO 24,7,28,Colin Kaepernick pass complete short middle to Aaron Burbridge for 14 yards (tackle by Keanu Neal),-0.760,1.470
2,3:08,1,10,SFO 38,7,28,Shaun Draughn left guard for 2 yards (tackle by Philip Wheeler and Courtney Upshaw),1.470,1.190
2,2:33,2,8,SFO 40,7,28,Shaun Draughn left guard for no gain (tackle by Grady Jarrett and Courtney Upshaw),1.190,0.500
2,2:00,3,8,SFO 40,7,28,Colin Kaepernick pass complete short right to Chris Harper for 12 yards (tackle by C.J. Goodwin and Deion Jones),0.500,2.390
2,1:32,1,10,ATL 48,7,28,Colin Kaepernick pass complete short middle to Jeremy Kerley for 4 yards (tackle by Keanu Neal),2.390,2.390
2,1:06,2,6,ATL 44,7,28,Carlos Hyde right guard for 9 yards (tackle by Brian Poole and Robert Alford),2.390,0.000
2,0:55,,,,7,28,Timeout #2 by San Francisco 49ers,0.000,-3.250
2,0:55,1,10,ATL 35,7,28,Colin Kaepernick pass complete short left to Je'Ron Hamm for 7 yards (tackle by Keanu Neal and Robert Alford),3.250,3.650
2,0:36,2,3,ATL 28,7,28,"Colin Kaepernick pass complete short left to Je'Ron Hamm for 6 yards (tackle by Robert Alford). Penalty on Paul Worrilow: Unnecessary Roughness, 11 yards",3.650,4.840
2,0:28,1,10,ATL 11,7,28,Colin Kaepernick pass incomplete short left intended for Je'Ron Hamm,4.840,4.140
2,0:24,2,10,ATL 11,7,28,Colin Kaepernick pass complete short left to Carlos Hyde for 6 yards (tackle by Keanu Neal and Deion Jones),4.140,0.000
2,0:17,,,,7,28,Timeout #3 by San Francisco 49ers,0.000,-4.440
2,0:17,3,4,ATL 5,13,28,"Colin Kaepernick pass complete short left to Rod Streater for 5 yards, touchdown",4.440,7.000
2,0:13,,,ATL 15,13,28,Phil Dawson kicks extra point no good,0.000,-1.000
2,0:13,,,SFO 35,13,28,"Bradley Pinion kicks off 65 yards, touchback",0.000,-0.610
2,0:13,1,10,ATL 25,13,28,Matt Ryan kneels for -1 yards,0.610,-0.070
Quarter,Time,Down,ToGo,Location,SFO,ATL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,SFO 35,13,28,"Bradley Pinion kicks off 65 yards, touchback",0.000,-0.610
3,15:00,1,10,ATL 25,13,28,Devonta Freeman right guard for 3 yards (tackle by Antoine Bethea),0.610,0.470
3,14:21,2,7,ATL 28,13,28,Matt Ryan pass complete short right to Devonta Freeman for 8 yards (tackle by Antoine Bethea),0.470,1.330
3,13:47,1,10,ATL 36,13,28,Devonta Freeman right guard for 9 yards (tackle by DeForest Buckner),1.330,2.010
3,13:14,2,1,ATL 45,13,28,Devonta Freeman right tackle for 6 yards (tackle by Antoine Bethea),2.010,2.320
3,12:46,1,10,SFO 49,13,28,Matt Ryan pass incomplete deep left intended for Taylor Gabriel,2.320,1.780
3,12:40,2,10,SFO 49,13,28,Tevin Coleman left end for 7 yards (tackle by Glenn Dorsey),1.780,2.020
3,12:05,3,3,SFO 42,13,28,"Matt Ryan pass incomplete deep right intended for Taylor Gabriel (defended by Tramaine Brock). Penalty on DeForest Buckner: Defensive Offside, 5 yards (no play)",2.020,3.120
3,11:58,1,10,SFO 37,13,28,Matt Ryan pass incomplete deep left intended for Aldrick Robinson,3.120,2.570
3,11:54,2,10,SFO 37,13,28,Tevin Coleman right end for 1 yard (tackle by Quinton Dial and Jaquiski Tartt),2.570,2.010
3,11:09,3,9,SFO 36,13,28,"Tevin Coleman right end for -12 yards (tackle by Ahmad Brooks). Tevin Coleman fumbles (forced by Ahmad Brooks), recovered by Ryan Schraeder at SFO-48",2.010,0.070
3,10:22,4,21,SFO 48,13,28,"Matthew Bosher punts 41 yards, fair catch by Jeremy Kerley",0.070,0.380
3,10:15,1,10,SFO 7,13,28,Colin Kaepernick pass incomplete short right intended for Garrett Celek (defended by Robert Alford),-0.380,-0.780
3,10:09,2,10,SFO 7,13,28,Carlos Hyde right guard for 3 yards (tackle by Paul Worrilow and Grady Jarrett),-0.780,-1.070
3,9:33,3,7,SFO 10,13,28,Colin Kaepernick pass incomplete short right intended for Carlos Hyde (defended by Paul Worrilow),-1.070,-2.490
3,9:28,4,7,SFO 10,13,28,"Bradley Pinion punts 47 yards, fair catch by Eric Weems",-2.490,-1.800
3,9:19,1,10,ATL 43,13,28,Devonta Freeman right guard for -2 yards (tackle by Aaron Lynch),1.800,0.980
3,8:44,2,12,ATL 41,13,28,Matt Ryan pass complete short right to Aldrick Robinson for 21 yards (tackle by Marcus Cromartie),0.980,3.050
3,7:57,1,10,SFO 38,13,28,Devonta Freeman right guard for 5 yards (tackle by Antoine Bethea),3.050,3.180
3,7:20,2,5,SFO 33,13,28,Devonta Freeman left tackle for 1 yard (tackle by Aaron Lynch),3.180,2.610
3,6:38,3,4,SFO 32,13,28,Matt Ryan pass incomplete short right intended for Taylor Gabriel (defended by Tramaine Brock),2.610,1.270
3,6:34,4,4,SFO 32,13,31,Matt Bryant 50 yard field goal good,1.270,3.000
3,6:29,,,ATL 35,13,31,"Matthew Bosher kicks off 65 yards, touchback",0.000,-0.610
3,6:29,1,10,SFO 25,13,31,Colin Kaepernick pass incomplete short left intended for Jeremy Kerley (defended by Brooks Reed),0.610,0.060
3,6:25,2,10,SFO 25,13,31,Carlos Hyde left tackle for 8 yards (tackle by Deion Jones and Keanu Neal),0.060,0.430
3,5:53,3,2,SFO 33,13,31,Carlos Hyde left end for 6 yards (tackle by Robert Alford),0.430,1.530
3,5:14,1,10,SFO 39,13,31,Colin Kaepernick sacked by Ra'Shede Hageman for -13 yards,1.530,-0.770
3,4:34,2,23,SFO 26,13,31,Colin Kaepernick for 17 yards (tackle by Ricardo Allen),-0.770,0.830
3,4:09,3,6,SFO 43,13,31,Colin Kaepernick pass incomplete short middle intended for Jeremy Kerley (defended by Keanu Neal),0.830,-0.520
3,4:06,4,6,SFO 43,13,31,"Bradley Pinion punts 34 yards, out of bounds",-0.520,-0.480
3,3:58,1,10,ATL 23,13,31,"Tevin Coleman right guard for 9 yards (tackle by Chris Jones). Penalty on Taylor Gabriel: Illegal Shift, 5 yards (no play)",0.480,0.000
3,3:38,1,15,ATL 18,13,31,Tevin Coleman right end for 6 yards (tackle by Jaquiski Tartt),0.000,0.070
3,2:58,2,9,ATL 24,13,31,Matt Ryan pass complete short left to Taylor Gabriel for 31 yards (tackle by Antoine Bethea),0.070,2.590
3,2:12,1,10,SFO 45,13,31,"Devonta Freeman left end for 6 yards (tackle by Antoine Bethea). Penalty on Rashard Robinson: Illegal Use of Hands, 5 yards",2.590,3.310
3,1:49,1,10,SFO 34,13,37,"Devonta Freeman left end for 34 yards, touchdown",3.310,7.000
3,1:42,,,SFO 15,13,38,Matt Bryant kicks extra point good,0.000,0.000
3,1:42,,,ATL 35,13,38,"Matthew Bosher kicks off 64 yards, returned by JaCorey Shepherd for 23 yards (tackle by LaRoy Reynolds)",0.000,-0.540
3,1:34,1,10,SFO 24,13,38,Colin Kaepernick pass incomplete short left intended for Garrett Celek (defended by Paul Worrilow),0.540,0.000
3,1:31,2,10,SFO 24,13,38,Colin Kaepernick pass complete short right to Jeremy Kerley for 8 yards (tackle by Ricardo Allen),0.000,0.370
3,1:01,3,2,SFO 32,13,38,Colin Kaepernick pass incomplete short right intended for Carlos Hyde (defended by Keanu Neal),0.370,-1.240
3,0:54,4,2,SFO 32,13,38,"Bradley Pinion punts 46 yards, fair catch by Eric Weems",-1.240,-0.410
3,0:45,1,10,ATL 22,13,38,Tevin Coleman left guard for 6 yards (tackle by Marcus Cromartie),0.410,0.680
Quarter,Time,Down,ToGo,Location,SFO,ATL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,4,ATL 28,13,38,Tevin Coleman left guard for 1 yard (tackle by Michael Wilhoite),0.680,0.100
4,14:35,3,3,ATL 29,13,38,Matt Ryan pass complete short right to Tevin Coleman for 4 yards (tackle by Michael Wilhoite),0.100,1.140
4,13:52,1,10,ATL 33,13,38,Devonta Freeman left end for no gain (tackle by Quinton Dial and Tank Carradine),1.140,0.590
4,13:16,2,10,ATL 33,13,38,Matt Ryan pass complete deep left to Levine Toilolo for 30 yards (tackle by Antoine Bethea),0.590,3.120
4,12:26,1,10,SFO 37,13,38,Tevin Coleman right guard for -2 yards (tackle by Jaquiski Tartt),3.120,2.300
4,11:48,2,12,SFO 39,13,38,Tevin Coleman right end for no gain (tackle by Michael Wilhoite),2.300,1.620
4,11:06,3,12,SFO 39,13,38,Matt Ryan pass incomplete deep left intended for Taylor Gabriel,1.620,0.660
4,11:00,4,12,SFO 39,13,38,"Matthew Bosher punts 26 yards, fair catch by Jeremy Kerley",0.660,0.320
4,10:51,1,10,SFO 13,13,38,Colin Kaepernick pass complete short left to Jeremy Kerley for 4 yards (tackle by Deion Jones),-0.320,-0.300
4,10:22,2,6,SFO 17,13,38,"Penalty on Trenton Brown: False Start, 5 yards (no play)",-0.300,-0.850
4,10:11,2,11,SFO 12,13,38,Carlos Hyde right guard for 12 yards (tackle by Keanu Neal and Ricardo Allen),-0.850,0.540
4,9:43,1,10,SFO 24,13,38,Carlos Hyde left end for -1 yards (tackle by Deion Jones and Brian Poole),0.540,-0.140
4,9:01,2,11,SFO 23,13,38,Colin Kaepernick pass complete short left to Jeremy Kerley for 7 yards (tackle by Deion Jones),-0.140,0.100
4,8:24,3,4,SFO 30,13,38,Colin Kaepernick pass complete short middle to Aaron Burbridge for 15 yards (tackle by Brian Poole),0.100,1.930
4,7:50,1,10,SFO 45,13,38,Colin Kaepernick pass incomplete short middle intended for Je'Ron Hamm,1.930,1.380
4,7:44,2,10,SFO 45,13,38,Colin Kaepernick right end for no gain (tackle by Brian Poole),1.380,0.700
4,6:58,3,10,SFO 45,13,38,Colin Kaepernick pass complete short right to Rod Streater for 6 yards (tackle by Robert Alford),0.700,0.000
4,6:23,4,4,ATL 49,13,38,"Bradley Pinion punts 40 yards, fair catch by Eric Weems",0.000,0.380
4,6:15,1,10,ATL 9,13,38,Terron Ward left guard for 45 yards (tackle by Marcus Cromartie),-0.380,2.520
4,5:32,1,10,SFO 46,13,38,Terron Ward left guard for 2 yards (tackle by Michael Wilhoite),2.520,2.250
4,4:49,2,8,SFO 44,13,38,Terron Ward right end for 1 yard (tackle by Ahmad Brooks),2.250,1.680
4,4:08,3,7,SFO 43,13,38,Matt Schaub pass complete short middle to Justin Hardy for 16 yards (tackle by Marcus Ball),1.680,3.780
4,3:22,1,10,SFO 27,13,38,Terron Ward left tackle for -1 yards (tackle by Chris Jones),3.780,3.100
4,2:38,2,11,SFO 28,13,38,Terron Ward left end for 3 yards (tackle by Tank Carradine and Chris Jones),3.100,2.810
4,2:00,3,8,SFO 25,13,38,Terron Ward left tackle for 2 yards (tackle by Ahmad Brooks),2.810,0.000
4,1:13,,,,13,38,Timeout #1 by Atlanta Falcons,0.000,-1.950
4,1:13,4,6,SFO 23,13,41,Matt Bryant 41 yard field goal good,1.950,3.000
4,1:09,,,ATL 35,13,41,"Matthew Bosher kicks off 58 yards, returned by JaCorey Shepherd for 15 yards (tackle by Brooks Reed)",0.000,-0.410
4,1:02,1,10,SFO 22,13,41,Shaun Draughn right guard for 4 yards (tackle by LaRoy Reynolds),0.410,0.410
4,0:34,2,6,SFO 26,13,41,Shaun Draughn right tackle for 9 yards (tackle by Sharrod Neasman and Paul Worrilow),0.410,1.270
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
