Unnamed: 0,SFO,ATL
First Downs,15,29
Rush-Yds-TDs,20-107-0,41-248-3
Cmp-Att-Yd-TD-INT,20-33-183-2-0,18-24-302-2-0
Sacked-Yards,2-18,1-0
Net Pass Yards,165,302
Total Yards,272,550
Fumbles-Lost,1-1,2-1
Turnovers,1,1
Penalties-Yards,4-20,4-27
Third Down Conv.,6-13,5-9
Fourth Down Conv.,0-0,0-0
Time of Possession,23:59,36:01
