Quarter,Time,Tm,Detail,SFO,ATL
1.0,10:31,Falcons,Devonta Freeman 5 yard rush (Matt Bryant kick),0,7
,7:40,Falcons,Taylor Gabriel 9 yard pass from Matt Ryan (Matt Bryant kick),0,14
,0:40,Falcons,Austin Hooper 9 yard pass from Matt Ryan (Matt Bryant kick),0,21
2.0,12:45,49ers,Garrett Celek 16 yard pass from Colin Kaepernick (Phil Dawson kick),7,21
,4:28,Falcons,Devonta Freeman 9 yard rush (Matt Bryant kick),7,28
,0:13,49ers,Rod Streater 5 yard pass from Colin Kaepernick (Phil Dawson kick failed),13,28
3.0,6:29,Falcons,Matt Bryant 50 yard field goal,13,31
,1:42,Falcons,Devonta Freeman 34 yard rush (Matt Bryant kick),13,38
4.0,1:09,Falcons,Matt Bryant 41 yard field goal,13,41
