Quarter,Time,Down,ToGo,Location,STL,SFO,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss, Rams to receive the opening kickoff.",,
1,15:00,,,SFO 30,0,0,"Jose Cortez kicks off 70 yards, touchback",0.000,0.280
1,15:00,1,10,STL 20,0,0,Jamie Martin pass complete to Marshall Faulk for 18 yards (tackle by Derek Smith),0.280,1.470
1,14:32,1,10,STL 38,0,0,Marshall Faulk middle for 5 yards (tackle by Chike Okeafor),1.470,1.600
1,13:51,2,5,STL 43,0,0,Jamie Martin pass complete to Isaac Bruce for 15 yards (tackle by Julian Peterson and Zack Bronson),1.600,2.790
1,13:12,1,10,SFO 42,0,0,Marshall Faulk left tackle for 2 yards (tackle by Andre Carter),2.790,2.510
1,12:32,2,8,SFO 40,0,0,Jamie Martin pass complete to Ricky Proehl for 21 yards (tackle by Tony Parrish),2.510,4.310
1,12:01,1,10,SFO 19,0,0,Jamie Martin pass incomplete intended for Isaac Bruce (defended by Derek Smith),4.310,3.750
1,11:55,2,10,SFO 19,0,0,Jamie Martin pass incomplete intended for Marshall Faulk,3.750,3.030
1,11:50,3,10,SFO 19,0,0,"Penalty on Adam Timmerman: False Start, 5 yards (no play)",3.030,2.410
1,11:50,3,15,SFO 24,0,0,Marshall Faulk middle for 4 yards (tackle by Dana Stubblefield),2.410,2.120
1,11:12,4,11,SFO 20,3,0,Jeff Wilkins 38 yard field goal good,2.120,3.000
1,11:12,,,STL 30,3,0,"Jeff Wilkins kicks off 70 yards, returned by Terry Jackson for 23 yards (tackle by Kole Ayi)",0.000,0.480
1,11:02,1,10,SFO 23,3,0,Jeff Garcia pass complete to Fred Beasley for 4 yards (tackle by Dre' Bly),0.480,0.470
1,10:38,2,6,SFO 27,3,0,Garrison Hearst right end for 40 yards (tackle by Kim Herring),0.470,3.380
1,10:06,1,10,STL 33,3,0,Jeff Garcia pass complete to Terrell Owens for 14 yards (tackle by Don Davis),3.380,4.310
1,9:21,1,10,STL 19,3,0,Jeff Garcia pass incomplete intended for Eric Johnson,4.310,3.750
1,9:16,2,10,STL 19,3,0,Garrison Hearst left tackle for 4 yards (tackle by Jamie Duncan),3.750,3.580
1,8:38,3,6,STL 15,3,0,Jeff Garcia pass incomplete intended for Terrell Owens,3.580,2.470
1,8:32,4,6,STL 15,3,3,Jose Cortez 33 yard field goal good,2.470,3.000
1,8:32,,,SFO 30,3,3,"Jose Cortez kicks off 62 yards, returned by Terrence Wilkins for 15 yards (tackle by Cedrick Wilson)",0.000,0.480
1,8:24,1,10,STL 23,3,3,Marshall Faulk middle for 1 yard (tackle by Dana Stubblefield and Derek Smith),0.480,0.070
1,7:45,2,9,STL 24,3,3,Jamie Martin pass incomplete intended for Torry Holt (defended by Andre Carter),0.070,-0.630
1,7:40,3,9,STL 24,3,3,Jamie Martin pass complete to Marshall Faulk for 10 yards (tackle by Rashad Holman),-0.630,1.200
1,6:55,1,10,STL 34,3,3,Marshall Faulk left guard for 3 yards (tackle by Dana Stubblefield),1.200,1.060
1,6:18,2,7,STL 37,3,3,Jamie Martin pass incomplete intended for Torry Holt (defended by Tony Parrish),1.060,0.370
1,6:13,3,7,STL 37,3,3,"Jamie Martin pass incomplete intended for Isaac Bruce (defended by Jason Webster). Penalty on Mike Rumph: Illegal Use of Hands, 5 yards (no play)",0.370,1.730
1,6:07,1,10,STL 42,3,3,Marshall Faulk middle for 3 yards (tackle by Andre Carter),1.730,1.590
1,5:23,2,7,STL 45,3,3,Jamie Martin pass incomplete intended for Ricky Proehl (defended by Tony Parrish),1.590,0.890
1,5:17,3,7,STL 45,3,3,Jamie Martin pass incomplete intended for Ricky Proehl (defended by Andre Carter),0.890,-0.390
1,5:12,4,7,STL 45,3,3,"Mitch Berger punts 46 yards, returned by Jimmy Williams for 20 yards (tackle by Adam Archuleta)",-0.390,-0.870
1,4:58,1,10,SFO 29,3,3,Jeff Garcia pass incomplete intended for J.J. Stokes (defended by Travis Fisher),0.870,0.330
1,4:53,2,10,SFO 29,3,3,Kevan Barlow middle for 5 yards (tackle by Robert Thomas and Jamie Duncan),0.330,0.300
1,4:11,3,5,SFO 34,3,3,Jeff Garcia pass complete to Terrell Owens for 12 yards (tackle by Travis Fisher),0.300,1.990
1,3:33,1,10,SFO 46,3,3,Kevan Barlow left end for 15 yards (tackle by Adam Archuleta),1.990,2.980
1,2:40,1,10,STL 39,3,3,Kevan Barlow left tackle for 6 yards (tackle by Jeff Zgonina),2.980,3.250
1,2:06,2,4,STL 33,3,3,Jeff Garcia pass incomplete intended for Kevan Barlow,3.250,2.540
1,2:00,3,4,STL 33,3,3,"Jeff Garcia pass incomplete intended for Terrell Owens. Penalty on Tyoka Jackson: Roughing the Passer, 15 yards (no play)",2.540,4.370
1,1:55,1,10,STL 18,3,3,Kevan Barlow left end for 1 yard (tackle by Ryan Pickett),4.370,3.940
1,1:15,2,9,STL 17,3,3,Jeff Garcia pass complete to Garrison Hearst for 4 yards (tackle by Robert Thomas and Jamie Duncan),3.940,3.820
1,0:26,3,5,STL 13,3,9,"Jeff Garcia pass complete to J.J. Stokes for 13 yards, touchdown",3.820,7.000
1,0:26,,,STL 13,3,10,Jose Cortez kicks extra point good,0.000,0.000
1,0:26,,,SFO 30,3,10,"Jose Cortez kicks off 73 yards, returned by Terrence Wilkins for 21 yards (tackle by Frank Strong)",0.000,0.040
1,0:16,1,10,STL 18,3,10,Jamie Martin pass complete to Marshall Faulk for no gain,0.040,-0.490
Quarter,Time,Down,ToGo,Location,STL,SFO,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,10,STL 18,3,10,Jamie Martin pass complete to Isaac Bruce for 13 yards (tackle by Tony Parrish),-0.490,1.000
2,14:17,1,10,STL 31,3,10,Marshall Faulk right tackle for 24 yards (tackle by Tony Parrish),1.000,2.590
2,13:40,1,10,SFO 45,3,10,Jamie Martin pass incomplete intended for Ernie Conwell (defended by Dana Stubblefield),2.590,2.040
2,13:34,2,10,SFO 45,3,10,Lamar Gordon middle for 1 yard (tackle by Rashad Holman and Derek Smith),2.040,1.490
2,12:53,3,9,SFO 44,3,10,Jamie Martin pass complete to Marshall Faulk for 3 yards (tackle by Ahmed Plummer),1.490,0.530
2,12:31,4,6,SFO 41,3,10,Mitch Berger punts 37 yards,0.530,0.380
2,12:19,1,10,SFO 4,3,10,"Penalty on Eric Heitmann: False Start, 2 yards (no play)",-0.380,-0.460
2,12:19,1,12,SFO 2,3,10,Jeff Garcia pass complete to J.J. Stokes for 51 yards (tackle by Dre' Bly),-0.460,2.460
2,11:25,1,10,STL 47,3,10,Garrison Hearst middle for 4 yards (tackle by Jamie Duncan),2.460,2.450
2,10:47,2,6,STL 43,3,10,Garrison Hearst left tackle for 8 yards (tackle by Ryan Pickett),2.450,3.250
2,10:06,1,10,STL 35,3,10,Jeff Garcia pass complete to Terrell Owens for 17 yards (tackle by Kim Herring),3.250,4.370
2,9:19,1,10,STL 18,3,10,Jeff Garcia pass complete to Garrison Hearst for 6 yards (tackle by Jeff Zgonina),4.370,4.810
2,8:35,2,4,STL 12,3,10,Jeff Garcia middle for 6 yards (tackle by Kim Herring),4.810,5.830
2,7:49,1,6,STL 6,3,16,"Jeff Garcia left guard for 6 yards, touchdown",5.830,7.000
2,7:49,,,STL 6,3,17,Jose Cortez kicks extra point good,0.000,0.000
2,7:49,,,SFO 30,3,17,"Jose Cortez kicks off 71 yards, returned by Terrence Wilkins for 42 yards (tackle by Jimmy Williams)",0.000,1.660
2,7:33,1,10,STL 41,3,17,Jamie Martin pass complete to Ricky Proehl for 10 yards (tackle by Ahmed Plummer),1.660,2.320
