Unnamed: 0,STL,SFO
First Downs,19,21
Rush-Yds-TDs,24-88-0,27-179-2
Cmp-Att-Yd-TD-INT,23-40-232-1-2,18-27-214-1-0
Sacked-Yards,1-7,1-7
Net Pass Yards,225,207
Total Yards,313,386
Fumbles-Lost,1-0,0-0
Turnovers,2,0
Penalties-Yards,4-40,4-27
Third Down Conv.,4-14,4-9
Fourth Down Conv.,3-3,0-0
Time of Possession,30:54,29:06
