Unnamed: 0,MIA,DEN
First Downs,16,27
Rush-Yds-TDs,23-58-2,26-111-0
Cmp-Att-Yd-TD-INT,19-29-210-0-1,27-46-335-1-2
Sacked-Yards,1-9,3-36
Net Pass Yards,201,299
Total Yards,259,410
Fumbles-Lost,1-1,2-1
Turnovers,2,3
Penalties-Yards,8-42,9-70
Third Down Conv.,5-11,6-16
Fourth Down Conv.,0-0,0-0
Time of Possession,25:55,34:05
