Quarter,Time,Tm,Detail,MIA,DEN
1.0,12:09,Broncos,Jason Elam 33 yard field goal,0,3
,4:14,Broncos,Jason Elam 52 yard field goal,0,6
2.0,11:25,Broncos,Jason Elam 23 yard field goal,0,9
,7:11,Dolphins,Ricky Williams 10 yard rush (Olindo Mare kick),7,9
3.0,13:44,Broncos,Jason Elam 40 yard field goal,7,12
4.0,9:48,Dolphins,Ricky Williams 2 yard rush (Olindo Mare kick),14,12
,8:13,Dolphins,Patrick Surtain 40 yard interception return (Olindo Mare kick),21,12
,3:37,Broncos,Mike Anderson 1 yard pass from Brian Griese (Jason Elam kick),21,19
,0:45,Broncos,Jason Elam 55 yard field goal,21,22
,0:06,Dolphins,Olindo Mare 53 yard field goal,24,22
