Quarter,Time,Down,ToGo,Location,MIA,DEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Broncos won the coin toss, Broncos to receive the opening kickoff.",,
1,15:00,,,MIA 30,0,0,"Olindo Mare kicks off 65 yards, returned by Kevin Kasper for 56 yards (tackle by Tommy Hendricks)",0.000,2.980
1,14:48,1,10,MIA 39,0,0,Brian Griese pass complete to Clinton Portis for 9 yards (tackle by Zach Thomas),2.980,3.660
1,14:20,2,1,MIA 30,0,0,Brian Griese pass complete to Rod Smith for 7 yards (tackle by Patrick Surtain),3.660,4.040
1,13:39,1,10,MIA 23,0,0,Brian Griese pass incomplete intended for Mike Anderson,4.040,3.500
1,13:34,2,10,MIA 23,0,0,"Brian Griese pass incomplete intended for Rod Smith. Penalty on Patrick Surtain: Defensive Holding, 5 yards (no play)",3.500,4.370
1,13:31,1,10,MIA 18,0,0,Clinton Portis left tackle for 1 yard (tackle by Morlon Greenwood),4.370,3.940
1,13:08,2,9,MIA 17,0,0,"Penalty on DEN: False Start, 5 yards (no play)",3.940,3.290
1,12:50,2,14,MIA 22,0,0,Brian Griese pass incomplete (defended by Larry Chester),3.290,2.610
1,12:46,3,14,MIA 22,0,0,Brian Griese pass complete to Clinton Portis for 7 yards (tackle by Rob Burnett and Shawn Wooden),2.610,2.440
1,12:13,4,7,MIA 15,0,3,Jason Elam 33 yard field goal good,2.440,3.000
1,12:13,,,DEN 30,0,3,"Jason Elam kicks off 69 yards, returned by Travis Minor for 28 yards (tackle by Willie Middlebrooks)",0.000,0.870
1,12:04,1,10,MIA 29,0,3,Ricky Williams middle for 7 yards (tackle by Al Wilson),0.870,1.270
1,11:28,2,3,MIA 36,0,3,Ricky Williams right tackle for no gain (tackle by Lional Dalton),1.270,0.560
1,10:47,3,3,MIA 36,0,3,Jay Fiedler pass incomplete intended for Chris Chambers,0.560,-0.980
1,10:43,4,3,MIA 36,0,3,"Mark Royals punts 53 yards, returned by Deltha O'Neal for 15 yards (tackle by David Bowens)",-0.980,-0.670
1,10:32,1,10,DEN 26,0,3,Clinton Portis right end for 4 yards (tackle by Arturo Freeman and Zach Thomas),0.670,0.670
1,10:06,2,6,DEN 30,0,3,Clinton Portis right tackle for 2 yards (tackle by Zach Thomas),0.670,0.230
1,9:31,3,4,DEN 32,0,3,Brian Griese pass complete to Clinton Portis for 11 yards (tackle by Zach Thomas),0.230,1.800
1,8:48,1,10,DEN 43,0,3,Mike Anderson right guard for 9 yards (tackle by Zach Thomas and Morlon Greenwood),1.800,2.470
1,8:14,2,1,MIA 48,0,3,Mike Anderson right end for -2 yards (tackle by Jason Taylor),2.470,1.490
1,7:30,3,3,,0,3,"Penalty on Adewale Ogunleye: Defensive Offside, 5 yards (no play)",1.490,2.590
1,7:25,1,10,MIA 45,0,3,Brian Griese pass complete to Rod Smith for 6 yards (tackle by Zach Thomas),2.590,2.850
1,6:40,2,4,MIA 39,0,3,Mike Anderson right tackle for 4 yards (tackle by Derrick Rodgers),2.850,3.250
1,6:02,1,10,MIA 35,0,3,Brian Griese sacked by Jason Taylor for -17 yards,3.250,0.410
1,5:41,2,27,DEN 48,0,3,Mike Anderson middle for 6 yards (tackle by Zach Thomas),0.410,0.560
1,5:00,3,21,MIA 46,0,3,Brian Griese pass complete to Rod Smith for 12 yards (tackle by Jamar Fletcher),0.560,1.060
1,4:19,4,9,MIA 34,0,6,Jason Elam 52 yard field goal good,1.060,3.000
1,4:19,,,DEN 30,0,6,"Jason Elam kicks off 69 yards, returned by Travis Minor for 66 yards (tackle by Willie Middlebrooks)",0.000,3.380
1,4:04,1,10,DEN 33,0,6,Ricky Williams middle for 2 yards (tackle by Kavika Pittman),3.380,3.110
1,3:21,2,8,DEN 31,0,6,Ricky Williams left guard for 1 yard (tackle by Ian Gold),3.110,2.540
1,2:34,3,7,DEN 30,0,6,Jay Fiedler pass incomplete intended for Oronde Gadsden. Penalty on Randy McMichael: Offensive Holding (Declined),2.540,1.410
1,2:29,4,7,DEN 30,0,6,Olindo Mare 48 yard field goal no good,1.410,-1.470
1,2:25,1,10,DEN 38,0,6,Brian Griese pass complete to Rod Smith for 10 yards (tackle by Sam Madison),1.470,2.130
1,1:54,1,10,DEN 48,0,6,Clinton Portis left tackle for 15 yards (tackle by Brock Marion),2.130,3.120
1,1:15,1,10,MIA 37,0,6,Brian Griese for 5 yards,3.120,3.250
1,0:46,2,5,MIA 32,0,6,Clinton Portis right guard for 1 yard (tackle by Zach Thomas),3.250,2.680
Quarter,Time,Down,ToGo,Location,MIA,DEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,4,MIA 31,0,6,Brian Griese pass complete to Rod Smith for 8 yards,2.680,4.040
2,14:40,1,10,MIA 23,0,6,"Clinton Portis left end for 7 yards (tackle by Sam Madison). Penalty on Rod Smith: Offensive Holding, 10 yards",4.040,3.840
2,14:17,1,13,MIA 26,0,6,Clinton Portis middle for 4 yards (tackle by Jason Taylor),3.840,3.630
2,13:42,2,9,MIA 22,0,6,Brian Griese pass complete to Ed McCaffrey for 7 yards (tackle by Patrick Surtain),3.630,4.050
2,13:00,3,2,MIA 15,0,6,Brian Griese pass complete to Rod Smith for 8 yards (tackle by Brock Marion),4.050,5.600
2,12:23,1,7,MIA 7,0,6,Clinton Portis left end for 2 yards (tackle by Jason Taylor and Zach Thomas),5.600,5.150
2,11:39,2,5,MIA 5,0,6,Brian Griese pass incomplete intended for Rod Smith,5.150,4.260
,,,,,,,"DEN challenged the ruling, and the play was upheld.",,
2,11:31,3,5,MIA 5,0,6,Brian Griese pass incomplete intended for Dwayne Carswell,4.260,3.010
2,11:28,4,5,MIA 5,0,9,Jason Elam 23 yard field goal good,3.010,3.000
2,11:28,,,DEN 30,0,9,"Jason Elam kicks off 68 yards, returned by Travis Minor for 22 yards (tackle by Scottie Montgomery)",0.000,0.540
2,11:19,1,10,MIA 24,0,9,Jay Fiedler pass complete to Randy McMichael for 7 yards (tackle by Deltha O'Neal and Ian Gold),0.540,0.940
2,10:39,2,3,MIA 31,0,9,Jay Fiedler pass complete to Rob Konrad for 7 yards (tackle by Kenoy Kennedy),0.940,1.470
2,10:12,1,10,MIA 38,0,9,Jay Fiedler pass incomplete intended for Chris Chambers,1.470,0.920
2,10:07,2,10,MIA 38,0,9,Jay Fiedler pass complete to Ricky Williams for -1 yards (tackle by Deltha O'Neal and Kenoy Kennedy),0.920,0.100
2,9:25,3,11,MIA 37,0,9,Jay Fiedler pass complete to Oronde Gadsden for 18 yards (tackle by Kenoy Kennedy),0.100,2.590
2,8:43,1,10,DEN 45,0,9,Jay Fiedler pass complete to Oronde Gadsden for 29 yards (tackle by Al Wilson),2.590,4.510
2,7:56,1,10,DEN 16,0,9,Ricky Williams right tackle for 6 yards (tackle by Izell Reese),4.510,4.970
2,7:16,2,4,DEN 10,6,9,"Ricky Williams right guard for 10 yards, touchdown",4.970,7.000
2,7:16,,,DEN 10,7,9,Olindo Mare kicks extra point good,0.000,0.000
2,7:16,,,MIA 30,7,9,"Olindo Mare kicks off 72 yards, returned by Kevin Kasper for 32 yards (tackle by Ray Green)",0.000,0.940
2,7:06,1,10,DEN 30,7,9,Brian Griese pass complete to Rod Smith for 16 yards (tackle by Sam Madison),0.940,1.990
2,6:48,1,10,DEN 46,7,9,Brian Griese pass complete to Mike Anderson for 52 yards (tackle by Patrick Surtain),1.990,6.740
2,5:57,1,2,MIA 2,7,9,"Clinton Portis middle for 1 yard. Clinton Portis fumbles, recovered by Clinton Portis at MIA-1",6.740,5.910
2,5:20,2,1,MIA 1,7,9,"Mike Anderson middle for no gain (tackle by Jason Taylor). Mike Anderson fumbles (forced by Jason Taylor), recovered by Larry Chester at MIA-1 (tackle by Dan Neil)",5.910,0.380
2,5:11,1,10,MIA 1,7,9,Ricky Williams middle for no gain (tackle by Kavika Pittman and Trevor Pryce),-0.380,-0.780
2,4:32,2,10,MIA 1,7,9,Jay Fiedler pass complete to Randy McMichael for 26 yards (tackle by Izell Reese),-0.780,0.740
2,3:46,1,10,MIA 27,7,9,"Jay Fiedler pass incomplete intended for Chris Chambers (defended by Kenoy Kennedy). Penalty on Kenoy Kennedy: Unnecessary Roughness, 15 yards (no play)",0.740,1.730
2,3:40,1,10,MIA 42,7,9,Jay Fiedler pass complete to Oronde Gadsden for 8 yards (tackle by Deltha O'Neal),1.730,2.270
2,3:01,2,2,,7,9,Ricky Williams right guard for no gain (tackle by John Mobley),2.270,1.550
2,2:17,3,2,,7,9,Robert Edwards right tackle for 2 yards (tackle by John Mobley and Montae Reagor),1.550,2.390
2,2:00,1,10,DEN 48,7,9,Ricky Williams left guard for 2 yards (tackle by Trevor Pryce),2.390,2.120
2,1:25,2,8,DEN 46,7,9,Jay Fiedler pass complete to Ricky Williams for 16 yards (tackle by Al Wilson),2.120,3.580
2,1:10,2,8,DEN 46,,,Timeout #1 by Miami Dolphins,2.120,3.580
2,1:10,1,10,DEN 30,7,9,Jay Fiedler pass incomplete intended for Rob Konrad (defended by Chester McGlockton),3.580,3.030
2,1:05,2,10,DEN 30,7,9,Jay Fiedler pass incomplete is intercepted by Montae Reagor at DEN-16 and returned for 31 yards,3.030,-2.060
2,0:53,1,10,DEN 47,7,9,Brian Griese pass incomplete intended for Rod Smith,2.060,1.520
2,0:48,2,10,DEN 47,7,9,Brian Griese pass complete to Ed McCaffrey for 14 yards (tackle by Patrick Surtain),1.520,2.980
2,0:43,2,10,DEN 47,,,Timeout #2 by Denver Broncos,1.520,2.980
2,0:43,1,10,MIA 39,7,9,Brian Griese pass incomplete intended for Shannon Sharpe,2.980,2.440
2,0:40,2,10,MIA 39,7,9,Brian Griese pass incomplete intended for Rod Smith (defended by Jason Taylor),2.440,1.750
2,0:34,3,10,MIA 39,7,9,Clinton Portis right tackle for 9 yards (tackle by David Bowens),1.750,1.520
2,0:02,3,10,MIA 39,,,Timeout #3 by Denver Broncos,1.750,1.750
2,0:02,3,10,MIA 39,,,Timeout #2 by Miami Dolphins,1.750,1.520
2,0:02,4,1,MIA 30,7,9,Jason Elam 49 yard field goal good. Penalty on Blake Brockermeyer: Offensive Holding (no play),1.520,1.400
Quarter,Time,Down,ToGo,Location,MIA,DEN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
