Quarter,Time,Tm,Detail,PHI,SFO
1.0,7:53,49ers,Michael Crabtree 7 yard pass from Alex Smith (Joe Nedney kick),0,7
,2:23,Eagles,Brent Celek 8 yard pass from Kevin Kolb (David Akers kick),7,7
2.0,11:45,Eagles,David Akers 33 yard field goal,10,7
,1:53,Eagles,LeSean McCoy 29 yard rush (David Akers kick),17,7
,0:43,49ers,Joe Nedney 50 yard field goal,17,10
4.0,13:26,Eagles,Quintin Mikell 52 yard defensive fumble return (David Akers kick),24,10
,7:35,49ers,Vernon Davis 7 yard pass from Alex Smith (Joe Nedney kick),24,17
,4:35,Eagles,David Akers 45 yard field goal,27,17
,2:02,49ers,Frank Gore 1 yard pass from Alex Smith (Joe Nedney kick),27,24
