Unnamed: 0,PHI,SFO
First Downs,17,21
Rush-Yds-TDs,27-125-1,22-74-0
Cmp-Att-Yd-TD-INT,21-31-253-1-0,25-39-309-3-2
Sacked-Yards,4-26,2-19
Net Pass Yards,227,290
Total Yards,352,364
Fumbles-Lost,2-1,3-3
Turnovers,1,5
Penalties-Yards,5-30,10-65
Third Down Conv.,3-12,8-13
Fourth Down Conv.,0-1,0-0
Time of Possession,30:48,29:12
