Unnamed: 0,CLE,PIT
First Downs,18,23
Rush-Yds-TDs,22-134-0,37-144-2
Cmp-Att-Yd-TD-INT,19-29-230-2-2,13-29-195-1-0
Sacked-Yards,7-57,1-6
Net Pass Yards,173,189
Total Yards,307,333
Fumbles-Lost,1-0,3-1
Turnovers,2,1
Penalties-Yards,9-65,4-20
Third Down Conv.,5-12,9-15
Fourth Down Conv.,1-2,0-0
Time of Possession,29:04,30:56
