Quarter,Time,Tm,Detail,CLE,PIT
2.0,6:27,Browns,David Njoku 10 yard pass from Deshaun Watson (Cade York kick),7,0
,1:47,Steelers,George Pickens 31 yard pass from Kenny Pickett (Chris Boswell kick),7,7
,0:38,Steelers,Chris Boswell 49 yard field goal,7,10
3.0,9:04,Steelers,Chris Boswell 34 yard field goal,7,13
,3:12,Steelers,Najee Harris 4 yard rush (Chris Boswell kick),7,20
4.0,10:11,Browns,Nick Chubb 2 yard pass from Deshaun Watson (Cade York kick),14,20
,4:37,Steelers,Derek Watt 1 yard rush (Diontae Johnson pass from Kenny Pickett),14,28
