#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,15:00,CAR 30,9,4:48,68,Field Goal
2,1,7:45,CAR 20,3,0:59,4,Punt
3,1,0:55,CAR 20,7,3:46,80,Touchdown
4,2,10:19,CAR 38,3,1:24,62,Touchdown
5,2,7:54,CAR 48,6,2:55,20,Field Goal
6,2,4:47,GNB 24,4,0:57,-1,Missed FG
7,2,1:53,CAR 48,4,1:12,52,Touchdown
8,3,14:00,CAR 20,3,0:56,2,Punt
9,3,11:23,CAR 14,13,6:35,82,Field Goal
10,3,3:53,CAR 29,3,0:58,1,Punt
11,3,0:38,CAR 11,3,1:55,9,Punt
12,4,11:43,CAR 26,5,2:21,74,Touchdown
13,4,7:54,CAR 20,3,1:33,5,Punt
14,4,3:43,CAR 20,1,0:05,0,Interception
15,4,1:54,CAR 3,3,1:48,8,Punt
