Unnamed: 0,GNB,PIT
First Downs,18,28
Rush-Yds-TDs,12-60-2,19-65-1
Cmp-Att-Yd-TD-INT,26-48-383-3-0,29-46-503-3-0
Sacked-Yards,1-7,5-31
Net Pass Yards,376,472
Total Yards,436,537
Fumbles-Lost,0-0,0-0
Turnovers,0,0
Penalties-Yards,7-53,10-84
Third Down Conv.,10-16,7-16
Fourth Down Conv.,0-0,1-1
Time of Possession,24:38,35:22
