Unnamed: 0,BAL,OAK
First Downs,14,15
Rush-Yds-TDs,31-149-0,31-79-1
Cmp-Att-Yd-TD-INT,12-27-193-1-1,16-35-186-1-0
Sacked-Yards,3-23,0-0
Net Pass Yards,170,186
Total Yards,319,265
Fumbles-Lost,3-2,0-0
Turnovers,3,0
Penalties-Yards,8-55,9-70
Third Down Conv.,2-12,5-17
Fourth Down Conv.,0-1,1-1
Time of Possession,29:58,30:02
