Quarter,Time,Tm,Detail,BAL,OAK
1.0,14:05,Raiders,Zack Crockett 1 yard rush (Sebastian Janikowski kick),0,7
,7:52,Ravens,Matt Stover 32 yard field goal,3,7
,6:53,Raiders,Sebastian Janikowski 37 yard field goal,3,10
2.0,12:38,Ravens,Matt Stover 28 yard field goal,6,10
,1:20,Raiders,Jerry Rice 21 yard pass from Rick Mirer (Sebastian Janikowski kick),6,17
3.0,2:10,Ravens,Todd Heap 13 yard pass from Anthony Wright,12,17
4.0,5:58,Raiders,Sebastian Janikowski 23 yard field goal,12,20
