Quarter,Time,Down,ToGo,Location,BAL,OAK,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Ravens won the coin toss, Ravens to receive the opening kickoff.",,
1,15:00,,,OAK 30,0,0,"Sebastian Janikowski kicks off 68 yards, returned by Lamont Brightful for 19 yards (tackle by Ronald Curry)",0.000,0.340
1,14:56,1,10,BAL 21,0,0,Jamal Lewis up the middle for no gain (tackle by Eric Barton),0.340,-0.200
1,14:20,2,10,BAL 21,0,0,Anthony Wright pass incomplete intended for Todd Heap,-0.200,-0.890
1,14:16,3,10,BAL 21,0,0,Anthony Wright pass incomplete intended for Frank Sanders is intercepted by Phillip Buchanon at BAL-30 and returned for 29 yards (tackle by Marcus Robinson),-0.890,-6.970
1,14:07,1,1,BAL 1,0,6,"Zack Crockett up the middle for 1 yard, touchdown",6.970,7.000
1,,,,BAL 2,0,7,Sebastian Janikowski kicks extra point good,0.000,0.000
1,,,,OAK 30,0,7,"Sebastian Janikowski kicks off 70 yards, returned by Chester Taylor for 25 yards (tackle by Alvis Whitted)",0.000,0.610
1,13:59,1,10,BAL 25,0,7,Jamal Lewis right end for 5 yards (tackle by Charles Woodson),0.610,0.740
1,13:32,2,5,BAL 30,0,7,Jamal Lewis up the middle for 2 yards (tackle by Chris Cooper and Lorenzo Bromell),0.740,0.300
1,12:56,3,3,BAL 32,0,7,Anthony Wright pass complete to Todd Heap for 8 yards (tackle by Derrick Gibson),0.300,1.600
1,12:17,1,10,BAL 40,0,7,Anthony Wright pass incomplete intended for Todd Heap,1.600,1.050
1,12:12,2,10,BAL 40,0,7,Jamal Lewis left tackle for 14 yards (tackle by Anthony Dorsett),1.050,2.520
1,11:30,1,10,OAK 46,0,7,Anthony Wright pass complete to Travis Taylor for 12 yards (tackle by Terrance Shaw),2.520,3.310
1,10:52,1,10,OAK 34,0,7,Jamal Lewis up the middle for 6 yards (tackle by Eric Barton),3.310,3.580
1,10:16,2,4,OAK 28,0,7,Jamal Lewis left end for 8 yards (tackle by Eric Barton),3.580,4.240
1,9:36,1,10,OAK 20,0,7,Chester Taylor right tackle for 5 yards (tackle by Derrick Gibson and Lorenzo Bromell),4.240,4.450
1,9:00,2,5,OAK 15,0,7,Jamal Lewis up the middle for 3 yards (tackle by Tyler Brayton),4.450,4.340
1,8:17,3,2,OAK 12,0,7,Anthony Wright right end for -2 yards (tackle by Charles Woodson and Eric Barton),4.340,2.580
1,7:55,4,4,OAK 14,3,7,Matt Stover 32 yard field goal good,2.580,3.000
1,,,,BAL 30,3,7,"Wade Richey kicks off 60 yards, returned by Doug Gabriel for 71 yards (tackle by Raymond Walls)",0.000,4.310
1,7:43,1,10,BAL 19,3,7,Rick Mirer pass incomplete intended for Tim Brown,4.310,3.750
1,7:38,2,10,BAL 19,3,7,Tyrone Wheatley up the middle for no gain (tackle by Kelly Gregg),3.750,3.030
1,7:01,3,10,BAL 19,3,7,Rick Mirer pass incomplete intended for Jerry Rice,3.030,2.180
1,6:57,4,10,BAL 19,3,10,Sebastian Janikowski 37 yard field goal good,2.180,3.000
1,,,,OAK 30,3,10,"Sebastian Janikowski kicks off 61 yards, returned by Chester Taylor for 28 yards (tackle by Carey Scott)",0.000,1.400
1,6:48,1,10,BAL 37,3,10,Anthony Wright pass complete to Travis Taylor for 9 yards (tackle by Phillip Buchanon),1.400,2.070
1,6:11,2,1,BAL 46,3,10,Chester Taylor left tackle for 4 yards (tackle by Roderick Coleman),2.070,2.260
1,5:30,1,10,OAK 50,3,10,Jamal Lewis left end for 3 yards (tackle by Tyler Brayton),2.260,2.120
1,4:50,2,7,OAK 47,3,10,Anthony Wright for 5 yards (tackle by Teyo Johnson and Roderick Coleman),2.120,2.080
1,4:07,3,2,OAK 42,3,10,Anthony Wright pass incomplete intended for Travis Taylor,2.080,0.460
1,4:02,4,2,OAK 42,3,10,"Dave Zastudil punts 32 yards, fair catch by Phillip Buchanon",0.460,0.380
1,3:56,1,10,OAK 10,3,10,"Penalty on Jerry Rice: False Start, 5 yards (no play)",-0.380,-0.570
1,3:56,1,15,OAK 5,3,10,Tyrone Wheatley right tackle for 2 yards (tackle by Kelly Gregg),-0.570,-1.000
1,3:22,2,13,OAK 7,3,10,Rick Mirer pass complete to Tim Brown for 10 yards (tackle by Gary Baxter),-1.000,-0.600
1,2:46,3,3,OAK 17,3,10,Rick Mirer pass complete to Jerry Rice for 10 yards (tackle by Chris McAlister),-0.600,0.740
1,2:06,1,10,OAK 27,3,10,Rick Mirer pass complete to Tim Brown for 15 yards (tackle by Ray Lewis),0.740,1.730
1,1:28,1,10,OAK 42,3,10,Charlie Garner up the middle for 4 yards (tackle by Ed Hartwell),1.730,1.730
1,0:52,2,6,OAK 46,3,10,Rick Mirer pass incomplete intended for Doug Jolley,1.730,1.030
1,0:47,3,6,OAK 46,3,10,Rick Mirer pass incomplete intended for Charlie Garner,1.030,-0.320
1,0:42,4,6,OAK 46,3,10,"Shane Lechler punts 54 yards, touchback",-0.320,-0.280
1,0:32,1,10,BAL 20,3,10,Jamal Lewis right guard for 1 yard (tackle by Eric Barton),0.280,-0.130
Quarter,Time,Down,ToGo,Location,BAL,OAK,Detail,EPB,EPA
