Unnamed: 0,STL,DET
First Downs,21,17
Rush-Yds-TDs,26-150-1,33-127-1
Cmp-Att-Yd-TD-INT,18-36-212-1-1,14-33-168-0-1
Sacked-Yards,0-0,2-6
Net Pass Yards,212,162
Total Yards,362,289
Fumbles-Lost,0-0,0-0
Turnovers,1,1
Penalties-Yards,5-27,8-67
Third Down Conv.,3-12,6-16
Fourth Down Conv.,1-1,0-2
Time of Possession,27:57,32:03
