Unnamed: 0,PIT,PHI
First Downs,15,25
Rush-Yds-TDs,10-29-0,30-125-2
Cmp-Att-Yd-TD-INT,24-44-257-0-1,23-31-301-2-0
Sacked-Yards,4-35,0-0
Net Pass Yards,222,301
Total Yards,251,426
Fumbles-Lost,2-1,1-0
Turnovers,2,0
Penalties-Yards,7-77,10-99
Third Down Conv.,4-11,4-10
Fourth Down Conv.,0-2,0-0
Time of Possession,25:04,34:56
