Quarter,Time,Tm,Detail,PIT,PHI
1.0,5:29,Eagles,Caleb Sturgis 29 yard field goal,0,3
2.0,12:04,Eagles,Jordan Matthews 12 yard pass from Carson Wentz (Caleb Sturgis kick),0,10
,7:40,Steelers,Chris Boswell 40 yard field goal,3,10
,2:25,Eagles,Caleb Sturgis 38 yard field goal,3,13
3.0,12:54,Eagles,Darren Sproles 73 yard pass from Carson Wentz (Caleb Sturgis kick),3,20
,5:45,Eagles,Wendell Smallwood 1 yard rush (Caleb Sturgis kick),3,27
,1:52,Eagles,Kenjon Barner 8 yard rush (Caleb Sturgis kick),3,34
