Quarter,Time,Down,ToGo,Location,PIT,PHI,Detail,EPB,EPA
1,6:58,1,10,PIT 14,0,0,Carson Wentz pass incomplete short left intended for Brent Celek,4.650,4.000
1,6:53,2,10,PIT 14,0,0,Carson Wentz pass complete short right to Josh Huff for 1 yard (tackle by Ross Cockrell),4.000,3.260
1,6:08,3,9,PIT 13,0,0,Carson Wentz pass complete short left to Josh Huff for 2 yards (tackle by William Gay),3.260,2.700
1,5:32,4,7,PIT 11,0,3,Caleb Sturgis 29 yard field goal good,2.700,3.000
1,5:32,,,PHI 35,0,3,"Caleb Sturgis kicks off 64 yards, returned by Sammie Coates for 15 yards (tackle by Bryan Braman). Penalty on Vince Williams: Defensive Holding, 8 yards",0.000,0.380
1,5:24,1,10,PIT 8,0,3,Ben Roethlisberger pass complete short left to DeAngelo Williams for 2 yards (tackle by Jordan Hicks),-0.380,-0.630
1,4:45,2,8,PIT 10,0,3,Ben Roethlisberger pass complete short right to Antonio Brown for 12 yards,-0.630,0.410
1,4:13,1,10,PIT 22,0,3,Ben Roethlisberger pass complete short right to DeAngelo Williams for 5 yards (tackle by Malcolm Jenkins),0.410,0.540
1,3:32,2,5,PIT 27,0,3,Ben Roethlisberger pass incomplete short left intended for Markus Wheaton (defended by Nolan Carroll),0.540,-0.160
1,3:29,3,5,PIT 27,0,3,Ben Roethlisberger pass incomplete deep left intended for Eli Rogers. Penalty on Marcus Gilbert: Offensive Holding (Declined),-0.160,-1.570
1,3:21,4,5,PIT 27,0,3,Jordan Berry punts 55 yards,-1.570,-0.040
1,3:10,1,10,PHI 18,0,3,Ryan Mathews right end for -3 yards (tackle by Stephon Tuitt),0.040,-0.930
1,2:30,2,13,PHI 15,0,3,"Carson Wentz pass complete short right to Trey Burton for 3 yards (tackle by William Gay). Penalty on Lawrence Timmons: Unnecessary Roughness, 15 yards",-0.930,1.140
1,2:00,1,10,PHI 33,0,3,"Carson Wentz pass complete short right to Darren Sproles for no gain (tackle by Ryan Shazier). Carson Wentz fumbles, recovered by Carson Wentz at PHI-26",1.140,0.860
1,1:20,2,8,PHI 35,0,3,"Carson Wentz pass complete short left to Josh Huff for 6 yards (tackle by Sean Davis). Penalty on Jordan Matthews: Offensive Holding, 10 yards",0.860,0.320
1,0:48,2,12,PHI 31,0,3,Carson Wentz pass incomplete short left intended for Dorial Green-Beckham,0.320,-0.360
1,0:46,3,12,PHI 31,0,3,Carson Wentz pass complete deep middle to Dorial Green-Beckham for 19 yards (tackle by Ross Cockrell),-0.360,2.260
Quarter,Time,Down,ToGo,Location,PIT,PHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,,0,3,Carson Wentz pass complete short left to Josh Huff for 11 yards (tackle by Lawrence Timmons and Jarvis Jones),2.260,2.980
2,14:19,1,10,PIT 39,0,3,Carson Wentz pass incomplete deep left intended for Trey Burton,2.980,2.440
2,14:13,2,10,PIT 39,0,3,Carson Wentz pass complete short middle to Brent Celek for 15 yards (tackle by Mike Mitchell),2.440,3.970
2,13:33,1,10,PIT 24,0,3,Wendell Smallwood left end for 11 yards (tackle by Sean Davis),3.970,4.710
2,12:52,1,10,PIT 13,0,3,Wendell Smallwood right end for 1 yard (tackle by Anthony Chickillo),4.710,4.220
2,12:09,2,9,PIT 12,0,9,"Carson Wentz pass complete short middle to Jordan Matthews for 12 yards, touchdown",4.220,7.000
2,12:09,,,PIT 12,0,10,Caleb Sturgis kicks extra point good,0.000,0.000
2,12:09,,,PHI 35,0,10,"Caleb Sturgis kicks off 68 yards, returned by Fitzgerald Toussaint for 20 yards (tackle by Kamu Grugier-Hill)",0.000,0.060
2,11:59,1,10,PIT 17,0,10,Ben Roethlisberger pass incomplete deep left intended for Antonio Brown (defended by Malcolm Jenkins),-0.060,-0.580
2,11:53,2,10,PIT 17,0,10,Ben Roethlisberger pass complete short left to Jesse James for 6 yards (tackle by Stephen Tulloch),-0.580,-0.490
2,11:12,3,4,PIT 23,0,10,Ben Roethlisberger pass complete deep right to Sammie Coates for 41 yards (tackle by Rodney McLeod),-0.490,3.180
2,10:24,1,10,PHI 36,0,10,Ben Roethlisberger pass complete deep left to Antonio Brown for 20 yards (tackle by Ron Brooks),3.180,4.510
2,9:43,1,10,PHI 16,0,10,Daryl Richardson middle for 1 yard (tackle by Malcolm Jenkins),4.510,4.050
2,9:03,2,9,PHI 15,0,10,Ben Roethlisberger pass complete short right to Sammie Coates for 2 yards (tackle by Malcolm Jenkins),4.050,3.540
2,8:22,3,7,PHI 13,0,10,Ben Roethlisberger sacked by Fletcher Cox for -9 yards,3.540,1.990
2,7:43,4,16,PHI 22,3,10,Chris Boswell 40 yard field goal good,1.990,3.000
2,7:43,,,PIT 35,3,10,"Chris Boswell kicks off 65 yards, returned by Josh Huff for 23 yards (tackle by Jordan Dangerfield)",0.000,-0.480
2,7:34,1,10,PHI 23,3,10,Carson Wentz pass complete short left to Dorial Green-Beckham for 12 yards (tackle by James Harrison),0.480,1.270
2,7:00,1,10,PHI 35,3,10,Carson Wentz pass complete short right to Nelson Agholor for 7 yards (tackle by Stephon Tuitt),1.270,1.670
2,6:20,2,3,PHI 42,3,10,Carson Wentz pass complete short left to Dorial Green-Beckham for 2 yards (tackle by Artie Burns),1.670,1.220
2,5:34,3,1,PHI 44,3,10,"Penalty on Jason Kelce: False Start, 5 yards (no play)",1.220,0.560
2,5:09,3,6,PHI 39,3,10,"Carson Wentz pass incomplete short middle intended for Nelson Agholor. Penalty on William Gay: Defensive Pass Interference, 9 yards (no play)",0.560,2.130
2,5:07,1,10,PHI 48,3,10,Carson Wentz for 10 yards,2.130,2.790
2,4:40,1,10,PIT 42,3,10,Carson Wentz pass complete short left to Darren Sproles for 4 yards (tackle by William Gay),2.790,2.780
2,4:19,2,6,PIT 38,3,10,Kenjon Barner left end for 14 yards (tackle by James Harrison),2.780,3.970
2,3:52,1,10,PIT 24,3,10,Carson Wentz pass incomplete intended for Trey Burton,3.970,3.430
2,3:48,2,10,PIT 24,3,10,Kenjon Barner middle for 2 yards (tackle by Stephon Tuitt),3.430,3.010
2,3:06,3,8,PIT 22,3,10,Carson Wentz pass complete short right to Darren Sproles for 3 yards (tackle by L.J. Fort),3.010,2.240
2,2:29,4,5,PIT 19,3,13,Caleb Sturgis 38 yard field goal good,2.240,3.000
2,2:29,,,PHI 35,3,13,"Caleb Sturgis kicks off 65 yards, touchback",0.000,-0.610
2,2:25,1,10,PIT 25,3,13,"DeAngelo Williams left tackle for 6 yards (tackle by Rodney McLeod). Penalty on Alejandro Villanueva: Offensive Holding, 10 yards",0.610,0.340
2,2:02,1,14,PIT 21,3,13,Ben Roethlisberger pass complete short right to Antonio Brown for 10 yards (tackle by Fletcher Cox and Malcolm Jenkins),0.340,0.870
2,1:58,2,4,PIT 31,3,13,Ben Roethlisberger pass incomplete short left intended for Antonio Brown,0.870,0.170
2,1:52,3,4,PIT 31,3,13,Ben Roethlisberger pass complete short left to Eli Rogers for no gain,0.170,0.170
2,1:46,3,4,PIT 31,3,13,Timeout #1 by Philadelphia Eagles,0.170,-1.310
2,1:46,4,4,PIT 31,3,13,"Jordan Berry punts 63 yards, returned by Darren Sproles for 14 yards (tackle by Shamarko Thomas)",-1.310,-0.280
2,1:33,1,10,PHI 20,3,13,Carson Wentz pass incomplete short left intended for Josh Huff (defended by Artie Burns),0.280,-0.270
2,1:30,2,10,PHI 20,3,13,Darren Sproles left end for -1 yards (tackle by Ryan Shazier and Cameron Heyward),-0.270,-0.270
2,1:23,2,10,PHI 20,3,13,Timeout #1 by Pittsburgh Steelers,-0.270,-1.140
2,1:22,3,11,PHI 19,3,13,Carson Wentz pass complete short left to Trey Burton for 16 yards (tackle by Cameron Heyward),-1.140,1.270
2,0:54,1,10,PHI 35,3,13,Carson Wentz pass incomplete deep left intended for Trey Burton,1.270,0.720
2,0:49,2,10,PHI 35,3,13,Carson Wentz pass incomplete short right intended for Trey Burton,0.720,0.040
2,0:44,3,10,PHI 35,3,13,Carson Wentz pass complete short right to Darren Sproles for 6 yards (tackle by Vince Williams),0.040,-0.650
2,0:38,4,4,PHI 41,3,13,"Donnie Jones punts 47 yards, returned by Eli Rogers for 3 yards (tackle by Chris Maragos)",-0.650,0.220
2,0:27,1,10,PIT 15,3,13,DeAngelo Williams middle for no gain (tackle by Bennie Logan and Fletcher Cox),-0.220,-0.710
Quarter,Time,Down,ToGo,Location,PIT,PHI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,PIT 35,3,13,"Chris Boswell kicks off 65 yards, touchback",0.000,-0.610
3,15:00,1,10,PHI 25,3,13,Wendell Smallwood left tackle for no gain (tackle by James Harrison),0.610,0.060
3,14:15,2,10,PHI 25,3,13,Carson Wentz pass complete short right to Jordan Matthews for 7 yards (tackle by Vince Williams),0.060,0.300
3,13:32,3,3,PHI 32,3,13,"Penalty on Jason Peters: False Start, 5 yards (no play)",0.300,-0.360
3,13:08,3,8,PHI 27,3,19,"Carson Wentz pass complete deep right to Darren Sproles for 73 yards, touchdown",-0.360,7.000
3,13:08,,,PIT 27,3,20,Caleb Sturgis kicks extra point good,0.000,0.000
3,13:08,,,PHI 35,3,20,"Caleb Sturgis kicks off 65 yards, touchback",0.000,-0.610
3,12:54,1,10,PIT 25,3,20,Ben Roethlisberger pass complete short right to Antonio Brown for 5 yards (tackle by Jalen Mills),0.610,0.740
3,12:15,2,5,PIT 30,3,20,"Ben Roethlisberger pass complete short right to Antonio Brown for 18 yards (tackle by Jalen Mills). Ben Roethlisberger fumbles, recovered by Ben Roethlisberger at PIT-23",0.740,2.190
,,,,,,,"PHI challenged the pass completion ruling, and the play was upheld.",,
3,11:51,1,10,PIT 49,3,20,Ben Roethlisberger pass incomplete short middle intended for DeAngelo Williams (defended by Jordan Hicks),2.190,1.650
3,11:45,2,10,PIT 49,3,20,DeAngelo Williams right end for 13 yards (tackle by Rodney McLeod),1.650,3.050
3,11:10,1,10,PHI 38,3,20,Ben Roethlisberger pass incomplete deep right intended for Jesse James,3.050,2.510
3,11:05,2,10,PHI 38,3,20,Ben Roethlisberger pass incomplete short left intended for Eli Rogers (defended by Nolan Carroll),2.510,1.820
3,11:01,3,10,PHI 38,3,20,Ben Roethlisberger pass incomplete deep left intended for Eli Rogers,1.820,0.720
3,10:55,4,10,PHI 38,3,20,"Jordan Berry punts 38 yards, touchback. Penalty on Chris Maragos: Running Into the Kicker, 5 yards (no play)",0.720,1.170
3,10:46,4,5,PHI 33,3,20,Ben Roethlisberger pass incomplete short left intended for Antonio Brown (defended by Malcolm Jenkins). Penalty on David DeCastro: Offensive Holding (Declined),1.170,-1.140
3,10:43,1,10,PHI 33,3,20,"Carson Wentz pass complete short right to Josh Huff for no gain. Penalty on William Gay: Face Mask (15 Yards), 15 yards (no play)",1.140,2.130
3,10:04,1,10,PHI 48,3,20,Kenjon Barner middle for 1 yard (tackle by Stephon Tuitt),2.130,1.720
3,9:21,2,9,PHI 49,3,20,Carson Wentz pass complete deep right to Brent Celek for 24 yards (tackle by Sean Davis),1.720,3.780
3,8:36,1,10,PIT 27,3,20,Darren Sproles left end for no gain (tackle by Jarvis Jones),3.780,3.230
3,7:55,2,10,PIT 27,3,20,Wendell Smallwood middle for 14 yards (tackle by Sean Davis),3.230,4.710
3,7:15,1,10,PIT 13,3,20,Wendell Smallwood middle for 12 yards (tackle by William Gay),4.710,6.970
3,6:30,1,1,PIT 1,3,20,Wendell Smallwood left end for no gain (tackle by Cameron Heyward),6.970,5.910
3,5:48,2,1,PIT 1,3,26,"Wendell Smallwood right tackle for 1 yard, touchdown",5.910,7.000
3,5:48,,,PIT 1,3,27,Caleb Sturgis kicks extra point good,0.000,0.000
3,5:48,,,PHI 35,3,27,"Caleb Sturgis kicks off 65 yards, touchback",0.000,-0.610
3,5:45,1,10,PIT 25,3,27,Ben Roethlisberger pass incomplete short middle intended for Jesse James (defended by Jordan Hicks),0.610,0.060
3,5:41,2,10,PIT 25,3,27,Ben Roethlisberger pass complete short right to Antonio Brown for 5 yards (tackle by Jalen Mills),0.060,0.040
3,5:03,3,5,PIT 30,3,27,"Ben Roethlisberger pass incomplete deep right intended for Antonio Brown. Penalty on Jalen Mills: Defensive Pass Interference, 19 yards (no play)",0.040,2.190
3,4:58,1,10,PIT 49,3,27,"Penalty on Alejandro Villanueva: False Start, 5 yards (no play)",2.190,1.860
3,4:58,1,15,PIT 44,3,27,Ben Roethlisberger pass incomplete short left intended for Markus Wheaton (defended by Malcolm Jenkins),1.860,0.970
3,4:50,2,15,PIT 44,3,27,Ben Roethlisberger pass complete deep right to Antonio Brown for 18 yards (tackle by Jalen Mills),0.970,3.050
3,4:10,1,10,PHI 38,3,27,Ben Roethlisberger sacked by Bennie Logan for -8 yards,3.050,1.430
3,3:25,2,18,PHI 46,3,27,"Ben Roethlisberger sacked by Fletcher Cox for -7 yards. Ben Roethlisberger fumbles (forced by Fletcher Cox), recovered by Brandon Graham at PIT-45 and returned for 4 yards (tackle by Alejandro Villanueva)",1.430,-2.850
3,3:16,1,10,PIT 41,3,27,"Carson Wentz pass incomplete deep right intended for Dorial Green-Beckham (defended by Ross Cockrell). Penalty on Stephon Tuitt: Roughing the Passer, 15 yards (no play)",2.850,3.840
3,3:10,1,10,PIT 26,3,27,Kenjon Barner middle for 4 yards (tackle by Stephon Tuitt),3.840,3.840
3,2:31,2,6,PIT 22,3,27,Kenjon Barner left end for 14 yards (tackle by Sean Davis),3.840,5.370
3,2:31,1,8,PIT 8,3,33,"Kenjon Barner right end for 8 yards, touchdown. Penalty on Kenjon Barner: Unsportsmanlike Conduct, 15 yards",5.370,7.000
3,2:31,,,PIT 8,3,34,Caleb Sturgis kicks extra point good,0.000,0.000
3,2:31,,,PHI 20,3,34,"Caleb Sturgis kicks off 78 yards, returned by Sammie Coates for 23 yards (tackle by Mychal Kendricks)",0.000,-0.610
3,1:43,1,10,PIT 25,3,34,Ben Roethlisberger pass complete short right to DeAngelo Williams for 10 yards (tackle by Stephen Tulloch),0.610,1.270
3,1:01,1,10,PIT 35,3,34,Ben Roethlisberger pass incomplete short left intended for Antonio Brown,1.270,0.720
3,0:58,2,10,PIT 35,3,34,Ben Roethlisberger pass incomplete short right intended for Antonio Brown,0.720,0.040
3,0:54,3,10,PIT 35,3,34,Ben Roethlisberger pass incomplete deep right intended for Antonio Brown (defended by Jaylen Watkins),0.040,-1.040
3,0:47,4,10,PIT 35,3,34,"Jordan Berry punts 47 yards, returned by Darren Sproles for 2 yards (tackle by Darrius Heyward-Bey)",-1.040,-0.280
3,0:38,1,10,PHI 20,3,34,Kenjon Barner right end for no gain (tackle by Cameron Heyward),0.280,-0.270
Quarter,Time,Down,ToGo,Location,PIT,PHI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,10,PHI 20,3,34,Carson Wentz pass complete short middle to Nelson Agholor for 11 yards (tackle by Mike Mitchell),-0.270,1.000
4,14:20,1,10,PHI 31,3,34,Wendell Smallwood left end for 5 yards (tackle by Javon Hargrave),1.000,1.140
4,13:37,2,5,PHI 36,3,34,Carson Wentz pass complete short right to Nelson Agholor for 3 yards (tackle by Mike Mitchell),1.140,0.830
4,12:52,3,2,PHI 39,3,34,"Wendell Smallwood left end for 9 yards (tackle by L.J. Fort). Penalty on Jason Kelce: Offensive Holding, 10 yards (no play)",0.830,-0.490
4,12:21,3,12,PHI 29,3,34,Kenjon Barner right end for -1 yards (tackle by Arthur Moats),-0.490,-1.500
4,11:41,4,13,PHI 28,3,34,Donnie Jones punts 35 yards,-1.500,-1.400
4,11:31,1,10,PIT 37,3,34,"Ben Roethlisberger pass complete deep middle to Antonio Brown for 20 yards (tackle by Jalen Mills). Penalty on Jalen Mills: Face Mask (15 Yards), 15 yards",1.400,3.710
4,11:11,1,10,PHI 28,3,34,"Ben Roethlisberger pass complete short right to Jesse James for no gain. Penalty on Marcus Smith: Defensive Offside, 5 yards (no play)",3.710,4.440
4,10:42,1,5,PHI 23,3,34,Ben Roethlisberger sacked by Brandon Graham for -9 yards,4.440,2.630
4,9:54,2,14,PHI 32,3,34,Ben Roethlisberger pass incomplete short right intended for DeAngelo Williams,2.630,1.950
4,9:49,3,14,PHI 32,3,34,Ben Roethlisberger pass incomplete short right intended for DeAngelo Williams,1.950,1.240
4,9:46,4,14,PHI 32,3,34,Ben Roethlisberger pass complete short right to Antonio Brown for 5 yards (tackle by Jalen Mills),1.240,-0.740
4,9:35,1,10,PHI 27,3,34,Wendell Smallwood middle for 12 yards (tackle by Sean Davis),0.740,1.530
4,8:53,1,10,PHI 39,3,34,Wendell Smallwood left end for 1 yard (tackle by William Gay),1.530,1.120
4,8:14,2,9,PHI 40,3,34,Wendell Smallwood right guard for 5 yards (tackle by Mike Mitchell and Sean Davis),1.120,1.090
4,7:30,3,4,PHI 45,3,34,Carson Wentz pass incomplete deep left intended for Jordan Matthews,1.090,-0.390
4,7:22,4,4,PHI 45,3,34,"Donnie Jones punts 47 yards, fair catch by Antonio Brown. Penalty on Najee Goode: Offensive Holding, 10 yards (no play)",-0.390,-1.040
4,7:08,4,14,PHI 35,3,34,"Donnie Jones punts 43 yards, fair catch by Antonio Brown",-1.040,-0.410
4,7:07,1,10,PIT 22,3,34,Ben Roethlisberger pass incomplete deep middle intended for Markus Wheaton (defended by Rodney McLeod),0.410,-0.130
4,7:03,2,10,PIT 22,3,34,Ben Roethlisberger pass complete short middle to Antonio Brown for 13 yards (tackle by Nolan Carroll),-0.130,1.270
4,6:30,1,10,PIT 35,3,34,Ben Roethlisberger pass complete short middle to DeAngelo Williams for 6 yards (tackle by Steven Means),1.270,1.530
4,5:58,2,4,PIT 41,3,34,Ben Roethlisberger pass complete short middle to Markus Wheaton for 2 yards (tackle by Nigel Bradham),1.530,1.090
4,5:21,3,2,PIT 43,3,34,Ben Roethlisberger pass complete short left to Sammie Coates for 7 yards (tackle by Nolan Carroll and Jordan Hicks),1.090,2.260
4,4:49,1,10,,3,34,Ben Roethlisberger pass incomplete short left intended for Sammie Coates,2.260,1.710
4,4:44,2,10,,3,34,Ben Roethlisberger pass incomplete deep left intended for Darrius Heyward-Bey is intercepted by Rodney McLeod at PHI--6. Penalty on David DeCastro: Offensive Holding (Declined),1.710,-0.280
4,4:35,1,10,PHI 20,3,34,Wendell Smallwood left end for -1 yards (tackle by Jarvis Jones),0.280,-0.460
4,3:49,2,11,PHI 19,3,34,Wendell Smallwood middle for 4 yards (tackle by Vince Williams),-0.460,-0.560
4,3:05,3,7,PHI 23,3,34,Wendell Smallwood left end for 7 yards (tackle by Artie Burns),-0.560,0.940
4,2:17,1,10,PHI 30,3,34,Wendell Smallwood left end for 2 yards (tackle by Jarvis Jones),0.940,0.660
4,2:00,2,8,PHI 32,3,34,Wendell Smallwood right end for 4 yards (tackle by Cameron Heyward),0.660,0.500
4,1:16,3,4,PHI 36,3,34,Wendell Smallwood middle for 1 yard (tackle by Vince Williams),0.500,-0.910
4,0:36,4,3,PHI 37,3,34,"Donnie Jones punts 40 yards, fair catch by Antonio Brown",-0.910,-0.480
4,0:29,1,10,PIT 23,3,34,DeAngelo Williams left tackle for 1 yard (tackle by Ron Brooks),0.480,0.070
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
