Unnamed: 0,JAX,HOU
First Downs,6,23
Rush-Yds-TDs,16-30-0,33-134-2
Cmp-Att-Yd-TD-INT,15-28-107-0-1,25-35-234-0-0
Sacked-Yards,3-18,6-26
Net Pass Yards,89,208
Total Yards,119,342
Fumbles-Lost,2-1,1-1
Turnovers,2,1
Penalties-Yards,8-68,2-15
Third Down Conv.,3-13,6-17
Fourth Down Conv.,0-0,1-1
Time of Possession,24:53,35:07
