Quarter,Time,Down,ToGo,Location,JAX,HOU,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Jaguars won the coin toss and deferred, Texans to receive the opening kickoff.",,
1,15:00,,,JAX 35,0,0,"Logan Cooke kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,HOU 25,0,0,Lamar Miller right guard for -1 yards (tackle by Calais Campbell),0.610,-0.070
1,14:39,2,11,HOU 24,0,0,Deshaun Watson pass complete short left to DeAndre Hopkins for 5 yards (tackle by Telvin Smith),-0.070,-0.100
1,14:08,3,6,HOU 29,0,0,Deshaun Watson pass incomplete short left intended for DeAndre Hopkins (defended by Jalen Ramsey),-0.100,-1.440
1,14:01,4,6,HOU 29,0,0,"Trevor Daniel punts 50 yards, returned by Dede Westbrook for 17 yards (tackle by Justin Reid)",-1.440,-1.470
1,13:46,1,10,JAX 38,0,0,Blake Bortles pass complete short right to Blake Bell for no gain (tackle by Benardrick McKinney and Tyrann Mathieu),1.470,0.920
1,13:06,2,10,JAX 38,0,0,Carlos Hyde left guard for 1 yard (tackle by Benardrick McKinney),0.920,0.370
1,12:23,3,9,JAX 39,0,0,Blake Bortles pass incomplete short left intended for Dede Westbrook (defended by Kareem Jackson),0.370,-0.780
1,12:16,4,9,JAX 39,0,0,"Logan Cooke punts 51 yards, muffed catch by DeAndre Carter, recovered by Blair Brown at HOU-10",-0.780,4.910
1,12:08,1,10,HOU 10,0,0,Carlos Hyde up the middle for 1 yard (tackle by J.J. Watt),4.910,4.380
1,11:31,2,9,HOU 9,0,0,Blake Bortles right end for 1 yard (tackle by Zach Cunningham),4.380,3.580
1,10:53,3,8,HOU 8,0,0,Blake Bortles pass complete short left to Dede Westbrook for 1 yard (tackle by Zach Cunningham and Andre Hal),3.580,2.970
1,10:11,4,7,HOU 7,3,0,Kai Forbath 25 yard field goal good,2.970,3.000
1,10:08,,,JAX 35,3,0,"Logan Cooke kicks off 65 yards, touchback.",0.000,0.610
1,10:08,1,10,HOU 25,3,0,Deshaun Watson left end for 15 yards (tackle by Telvin Smith),0.610,1.600
1,9:40,1,10,HOU 40,3,0,Deshaun Watson sacked by Yannick Ngakoue for -2 yards,1.600,0.780
1,9:07,2,12,HOU 38,3,0,Deshaun Watson pass complete short middle to Ryan Griffin for 8 yards (tackle by Telvin Smith),0.780,1.160
1,8:40,3,4,HOU 46,3,0,Deshaun Watson pass complete short left to DeAndre Hopkins for 9 yards (tackle by Malik Jackson and Tre Herndon),1.160,2.590
1,8:10,1,10,JAX 45,3,0,Deshaun Watson pass complete short right to DeAndre Hopkins for 26 yards (tackle by D.J. Hayden),2.590,4.310
1,7:36,1,10,JAX 19,3,0,Lamar Miller left guard for 14 yards (tackle by Jarrod Wilson),4.310,6.060
1,7:03,1,5,JAX 5,3,0,Deshaun Watson right end for 3 yards (tackle by D.J. Hayden),6.060,5.720
1,6:32,2,2,JAX 2,3,0,Deshaun Watson right end for 1 yard (tackle by Abry Jones),5.720,5.170
1,6:17,3,1,JAX 1,3,0,Deshaun Watson right tackle for no gain (tackle by Telvin Smith and Yannick Ngakoue),5.170,3.550
1,5:38,4,1,JAX 1,3,0,"Penalty on Lamar Miller: False Start, 5 yards (no play)",3.550,2.990
1,5:23,4,6,JAX 6,3,3,Ka'imi Fairbairn 23 yard field goal good,2.990,3.000
1,5:20,,,HOU 35,3,3,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.000,0.610
1,5:20,1,10,JAX 25,3,3,Blake Bortles pass complete short right to James O'Shaughnessy for 9 yards (tackle by Kareem Jackson),0.610,1.280
1,4:40,2,1,JAX 34,3,3,Carlos Hyde right guard for -2 yards (tackle by Jadeveon Clowney),1.280,0.300
1,3:57,3,3,JAX 32,3,3,Blake Bortles pass incomplete deep right intended for Donte Moncrief,0.300,-1.240
1,3:51,4,3,JAX 32,3,3,"Logan Cooke punts 57 yards, returned by DeAndre Carter for 9 yards (tackle by Cody Davis)",-1.240,-0.280
1,3:40,1,10,HOU 20,3,3,Deshaun Watson sacked by Myles Jack and Malik Jackson for -8 yards,0.280,-1.360
1,2:56,2,18,HOU 12,3,3,Deshaun Watson pass complete short right to Lamar Miller for -1 yards (tackle by Jarrod Wilson),-1.360,-2.470
1,2:19,3,19,HOU 11,3,3,Deshaun Watson pass complete short middle to DeAndre Hopkins for 2 yards (tackle by D.J. Hayden),-2.470,-2.490
1,1:42,4,17,HOU 13,3,3,"Trevor Daniel punts 36 yards, muffed catch by Dede Westbrook, recovered by Zach Cunningham at HOU-49",-2.490,2.190
1,1:33,1,10,HOU 49,3,3,Alfred Blue up the middle for 6 yards (tackle by Jarrod Wilson and Myles Jack),2.190,2.460
1,1:02,2,4,JAX 45,3,3,Deshaun Watson right end for 8 yards (tackle by Myles Jack),2.460,3.120
1,0:25,1,10,JAX 37,3,3,"Deshaun Watson pass incomplete deep right intended for Steven Mitchell. Penalty on Tre Herndon: Defensive Pass Interference, 27 yards (no play)",3.120,4.910
1,0:19,1,10,JAX 10,3,3,Deshaun Watson pass complete short middle to Alfred Blue for 5 yards (tackle by Telvin Smith),4.910,5.150
