Unnamed: 0,CIN,PIT
First Downs,11,20
Rush-Yds-TDs,20-43-0,37-121-2
Cmp-Att-Yd-TD-INT,20-37-168-1-1,17-30-243-1-0
Sacked-Yards,1-3,0-0
Net Pass Yards,165,243
Total Yards,208,364
Fumbles-Lost,0-0,1-1
Turnovers,1,1
Penalties-Yards,2-15,4-40
Third Down Conv.,4-15,6-14
Fourth Down Conv.,0-1,1-1
Time of Possession,24:40,35:20
