Quarter,Time,Tm,Detail,CIN,PIT
1.0,3:08,Bengals,Glenn Holt 10 yard pass from Ryan Fitzpatrick (Shayne Graham kick),7,0
2.0,10:16,Steelers,Heath Miller 3 yard pass from Ben Roethlisberger (Jeff Reed kick),7,7
,1:52,Steelers,Jeff Reed 37 yard field goal,7,10
3.0,8:18,Steelers,Jeff Reed 38 yard field goal,7,13
,0:16,Steelers,Gary Russell 2 yard rush (Jeff Reed kick),7,20
4.0,6:47,Bengals,Shayne Graham 26 yard field goal,10,20
,2:15,Steelers,Ben Roethlisberger 8 yard rush (Jeff Reed kick),10,27
