Unnamed: 0,TEN,JAX
First Downs,22,13
Rush-Yds-TDs,49-282-1,17-75-0
Cmp-Att-Yd-TD-INT,11-18-78-0-1,17-30-204-1-0
Sacked-Yards,2-10,3-7
Net Pass Yards,68,197
Total Yards,350,272
Fumbles-Lost,3-1,1-1
Turnovers,2,1
Penalties-Yards,4-29,4-45
Third Down Conv.,6-12,5-12
Fourth Down Conv.,0-1,0-1
Time of Possession,36:55,23:05
