Unnamed: 0,GNB,NWE
First Downs,26,14
Rush-Yds-TDs,38-143-0,16-113-1
Cmp-Att-Yd-TD-INT,24-37-251-3-1,15-24-163-2-0
Sacked-Yards,5-25,3-27
Net Pass Yards,226,136
Total Yards,369,249
Fumbles-Lost,1-1,2-0
Turnovers,2,0
Penalties-Yards,2-15,7-52
Third Down Conv.,11-19,4-10
Fourth Down Conv.,0-1,0-0
Time of Possession,40:48,19:12
