Player,Pos
Matt Flynn,QB
Donald Driver,WR
Brett Swain,WR
Greg Jennings,WR
James Jones,WR
Jordy Nelson,WR
Chad Clifton,LT
Daryn Colledge,LG
Scott Wells,C
Josh Sitton,RG
Bryan Bulaga,RT
Ryan Pickett,LDE
B.J. Raji,NT
Howard Green,RDE
Clay Matthews,LOLB
Desmond Bishop,MLB
A.J. Hawk,BLB
Erik Walden,ROLB
Charles Woodson,LCB
Tramon Williams,RCB
Charlie Peprah,SS
Nick Collins,FS
