Quarter,Time,Down,ToGo,Location,GNB,NWE,Detail,EPB,EPA
2,8:56,3,11,NWE 49,10,7,Tom Brady pass incomplete short left intended for Aaron Hernandez,0.890,-0.130
2,8:52,4,11,NWE 49,10,7,"Penalty on Quinn Johnson: Neutral Zone Infraction, 5 yards (no play)",-0.130,0.200
2,8:52,4,6,GNB 46,10,7,"Zoltan Mesko punts 31 yards, returned by Tramon Williams for 3 yards (tackle by Sammy Morris)",0.200,-0.040
2,8:43,1,10,GNB 18,10,7,Brandon Jackson left guard for 1 yard (tackle by Kyle Love and Gerard Warren),0.040,-0.320
2,8:02,2,9,GNB 19,10,7,Matt Flynn pass incomplete short middle intended for Andrew Quarless (defended by Gary Guyton),-0.320,-1.040
2,7:59,3,9,GNB 19,10,7,"Matt Flynn pass incomplete deep right intended for Greg Jennings. Penalty on Vince Wilfork: Defensive Offside, 5 yards (no play)",-1.040,-0.400
2,7:54,3,4,GNB 24,10,7,Matt Flynn pass complete short right to James Jones for 9 yards (tackle by Devin McCourty),-0.400,1.140
2,7:19,1,10,GNB 33,10,7,Dimitri Nance right end for 4 yards (tackle by Gary Guyton),1.140,1.130
2,6:42,2,6,GNB 37,10,7,Dimitri Nance right end for 2 yards (tackle by Jerod Mayo and Devin McCourty),1.130,0.700
2,6:01,3,4,GNB 39,10,7,Matt Flynn pass complete short left to Jordy Nelson for 16 yards (tackle by Jarrad Page),0.700,2.590
2,5:31,1,10,NWE 45,10,7,"Matt Flynn pass incomplete short right intended for Andrew Quarless. Penalty on Devin McCourty: Unnecessary Roughness, 15 yards (no play)",2.590,3.580
2,5:26,1,10,NWE 30,10,7,Brandon Jackson right tackle for 1 yard (tackle by Gary Guyton and Jerod Mayo),3.580,3.170
2,4:45,2,9,NWE 29,10,7,Matt Flynn pass complete short right to Quinn Johnson for 4 yards (tackle by Devin McCourty and Jerod Mayo),3.170,3.010
2,4:04,3,5,NWE 25,10,7,Matt Flynn pass complete short middle to Andrew Quarless for 10 yards (tackle by Gary Guyton),3.010,4.580
2,3:23,1,10,NWE 15,10,7,Matt Flynn pass incomplete short middle intended for Donald Driver,4.580,3.950
2,3:17,2,10,NWE 15,10,7,Matt Flynn pass incomplete short right intended for Donald Driver,3.950,3.100
2,3:12,3,10,NWE 15,10,7,Matt Flynn pass complete short right to John Kuhn for 12 yards (tackle by Brandon Meriweather),3.100,6.510
2,2:24,1,3,NWE 3,10,7,"Matt Flynn pass incomplete short right intended for Donald Driver. Penalty on James Sanders: Defensive Pass Interfere, 2 yards (no play)",6.510,6.970
2,2:20,1,1,NWE 1,16,7,"Matt Flynn pass complete short left to Greg Jennings for 1 yard, touchdown",6.970,7.000
2,,,,NWE 2,17,7,Mason Crosby kicks extra point good,0.000,0.000
2,,,,GNB 30,17,7,"Mason Crosby kicks off 45 yards, returned by Dan Connolly for 71 yards (tackle by Rob Francois)",0.000,6.280
2,2:04,1,4,GNB 4,17,7,Tom Brady pass complete short left to BenJarvus Green-Ellis for 3 yards (tackle by Erik Walden),6.280,5.910
2,1:58,2,1,GNB 1,17,7,BenJarvus Green-Ellis left guard for -1 yards (tackle by Howard Green),5.910,4.950
2,1:13,,,,17,7,Timeout #1 by New England Patriots,0.000,4.950
2,1:13,3,2,GNB 2,17,13,"Tom Brady pass complete short middle to Aaron Hernandez for 2 yards, touchdown",4.950,7.000
2,,,,GNB 2,17,14,Shayne Graham kicks extra point good,0.000,0.000
2,,,,NWE 30,17,14,"Shayne Graham kicks off 68 yards, returned by Sam Shields for 21 yards (tackle by Sammy Morris)",0.000,0.480
2,1:03,1,10,GNB 23,17,14,Brandon Jackson left tackle for 4 yards (tackle by Jerod Mayo),0.480,0.470
2,0:21,2,6,GNB 27,17,14,Brandon Jackson left tackle for 5 yards (tackle by Jerod Mayo),0.470,0.430
Quarter,Time,Down,ToGo,Location,GNB,NWE,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NWE 30,17,14,"Shayne Graham kicks off 60 yards, returned by Sam Shields for 15 yards (tackle by Matt Slater). Penalty on Donald Lee: Offensive Holding, 10 yards",0.000,-0.380
3,14:55,1,10,GNB 10,17,14,Brandon Jackson left tackle for 3 yards (tackle by Vince Wilfork),-0.380,-0.560
3,14:18,2,7,GNB 13,17,14,Brandon Jackson left guard for 10 yards (tackle by Patrick Chung and James Sanders),-0.560,0.480
3,13:39,1,10,GNB 23,17,14,Brandon Jackson middle for 2 yards (tackle by Vince Wilfork),0.480,0.200
3,12:58,2,8,GNB 25,17,14,John Kuhn middle for 5 yards (tackle by Tully Banta-Cain),0.200,0.170
3,12:16,3,3,GNB 30,17,20,"Matt Flynn pass incomplete short left intended for James Jones is intercepted by Kyle Arrington at GNB-36 and returned for 36 yards, touchdown",0.170,-7.000
3,,,,GNB 2,17,21,Shayne Graham kicks extra point good,0.000,0.000
3,,,,NWE 30,,,"Shayne Graham kicks off 60 yards, returned by Sam Shields for 21 yards",,
3,11:59,1,10,GNB 31,17,21,Dimitri Nance right tackle for no gain (tackle by Vince Wilfork),1.000,0.460
3,11:17,2,10,GNB 31,17,21,Matt Flynn pass complete short left to James Jones for 9 yards (tackle by Kyle Arrington),0.460,0.960
3,10:39,3,1,GNB 40,17,21,John Kuhn right tackle for 3 yards (tackle by Jerod Mayo),0.960,1.800
3,10:01,1,10,GNB 43,17,21,Matt Flynn pass complete short left to Dimitri Nance for 11 yards (tackle by Rob Ninkovich),1.800,2.520
3,9:16,1,10,NWE 46,17,21,Matt Flynn pass complete short middle to Dimitri Nance for 5 yards (tackle by Rob Ninkovich),2.520,2.650
3,8:35,2,5,NWE 41,17,21,Brandon Jackson middle for 6 yards (tackle by Jermaine Cunningham),2.650,3.250
3,7:52,1,10,NWE 35,17,21,Matt Flynn pass complete short left to Greg Jennings for 9 yards (tackle by Kyle Arrington),3.250,3.920
3,7:15,2,1,NWE 26,17,21,Brandon Jackson middle for 4 yards (tackle by Jerod Mayo and Gary Guyton),3.920,4.110
3,6:31,1,10,NWE 22,17,21,Matt Flynn pass incomplete deep left intended for Donald Driver (defended by Kyle Arrington),4.110,3.560
3,6:25,2,10,NWE 22,17,21,"Brandon Jackson right guard for 1 yard (tackle by Vince Wilfork). Penalty on Vince Wilfork: Face Mask (15 Yards), 10 yards",3.560,4.840
3,5:59,1,10,NWE 11,17,21,Brandon Jackson right end for 5 yards (tackle by Devin McCourty),4.840,5.080
3,5:20,2,5,NWE 6,17,21,Matt Flynn pass incomplete,5.080,4.210
3,5:14,3,5,NWE 6,23,21,"Matt Flynn pass complete short left to John Kuhn for 6 yards, touchdown",4.210,7.000
3,,,,NWE 2,24,21,Mason Crosby kicks extra point good,0.000,0.000
3,,,,GNB 30,24,21,"Mason Crosby kicks off 70 yards, touchback",0.000,0.280
3,5:08,1,10,NWE 20,24,21,BenJarvus Green-Ellis middle for 1 yard (tackle by Ryan Pickett),0.280,-0.130
3,4:31,2,9,NWE 21,24,21,Tom Brady pass incomplete short middle intended for Wes Welker,-0.130,-0.820
3,4:27,3,9,NWE 21,24,21,Tom Brady sacked by B.J. Raji for -10 yards,-0.820,-2.490
3,4:06,4,19,NWE 11,24,21,"Zoltan Mesko punts 46 yards, returned by Tramon Williams for 3 yards (tackle by Gary Guyton)",-2.490,-1.990
3,3:54,1,10,GNB 46,24,21,Matt Flynn pass complete short middle to Quinn Johnson for 11 yards (tackle by Gary Guyton),1.990,2.720
3,3:13,1,10,NWE 43,24,21,Matt Flynn pass complete deep right to Greg Jennings for 16 yards (tackle by Kyle Arrington),2.720,3.780
3,2:48,1,10,NWE 27,24,21,Dimitri Nance right tackle for 1 yard (tackle by Jermaine Cunningham),3.780,3.370
3,2:13,2,9,NWE 26,24,21,Brandon Jackson left guard for 12 yards (tackle by Patrick Chung and Jerod Mayo),3.370,4.650
3,1:37,1,10,NWE 14,24,21,Greg Jennings right end for -1 yards (tackle by Devin McCourty),4.650,3.850
3,0:53,2,11,NWE 15,24,21,Matt Flynn pass complete short middle to Greg Jennings for 4 yards (tackle by Devin McCourty and Jarrad Page),3.850,3.620
3,0:13,3,7,NWE 11,24,21,Matt Flynn pass complete short right to John Kuhn for 9 yards (tackle by Jarrad Page),3.620,6.740
Quarter,Time,Down,ToGo,Location,GNB,NWE,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,2,NWE 2,24,21,John Kuhn right guard for 1 yard (tackle by Rob Ninkovich),6.740,5.910
4,14:23,2,1,NWE 1,24,21,John Kuhn right guard for no gain (tackle by Devin McCourty),5.910,5.170
4,13:58,3,1,NWE 1,24,21,Matt Flynn pass incomplete short right intended for Tom Crabtree,5.170,3.550
4,13:52,4,1,NWE 1,27,21,Mason Crosby 19 yard field goal good,3.550,3.000
4,,,,GNB 30,27,21,"Mason Crosby kicks off 45 yards, returned by Alge Crumpler for 2 yards (tackle by Atari Bigby)",0.000,0.740
4,13:44,1,10,NWE 27,27,21,Tom Brady pass complete deep left to Wes Welker for 35 yards (tackle by Charlie Peprah),0.740,3.050
4,13:32,1,10,GNB 38,27,21,Danny Woodhead left end for 7 yards (tackle by Erik Walden),3.050,3.450
4,13:07,2,3,GNB 31,27,21,Tom Brady pass complete short middle to BenJarvus Green-Ellis for 9 yards (tackle by A.J. Hawk),3.450,4.110
4,12:30,1,10,GNB 22,27,21,BenJarvus Green-Ellis middle for no gain (tackle by B.J. Raji and Ryan Pickett),4.110,3.560
4,11:54,2,10,GNB 22,27,21,Danny Woodhead middle for 2 yards (tackle by Desmond Bishop),3.560,3.140
4,11:13,3,8,GNB 20,27,21,Tom Brady pass incomplete short middle intended for Julian Edelman,3.140,2.120
4,11:09,4,8,GNB 20,27,24,Shayne Graham 38 yard field goal good,2.120,3.000
4,,,,NWE 30,,,"Shayne Graham kicks off 64 yards, returned by Sam Shields for 15 yards",,
4,10:59,1,10,GNB 21,27,24,Matt Flynn sacked by Devin McCourty for -4 yards,0.340,-0.860
4,10:25,2,14,GNB 17,27,24,Matt Flynn pass incomplete short middle intended for Brandon Jackson,-0.860,-1.590
4,10:21,3,14,GNB 17,27,24,Matt Flynn middle for 9 yards (tackle by Patrick Chung and Jerod Mayo),-1.590,-1.630
4,9:47,4,5,GNB 26,27,24,"Tim Masthay punts 41 yards, returned by Julian Edelman for 4 yards (tackle by Dimitri Nance)",-1.630,-1.400
4,9:38,1,10,NWE 37,27,24,Tom Brady pass complete short left to Danny Woodhead for 12 yards (tackle by Charles Woodson),1.400,2.190
4,9:11,1,10,NWE 49,27,24,Danny Woodhead left guard for 7 yards (tackle by Erik Walden),2.190,2.590
4,8:46,2,3,GNB 44,27,24,Danny Woodhead left guard for 5 yards (tackle by Desmond Bishop). Penalty on Clay Matthews: Defensive Offside (Declined),2.590,2.980
4,8:27,1,10,GNB 39,27,24,Tom Brady pass complete deep middle to Deion Branch for 16 yards (tackle by Tramon Williams),2.980,4.040
4,8:03,1,10,GNB 23,27,24,Danny Woodhead right tackle for 13 yards (tackle by Desmond Bishop and Erik Walden),4.040,4.910
4,7:19,1,10,GNB 10,27,30,"Tom Brady pass complete short left to Aaron Hernandez for 10 yards, touchdown",4.910,7.000
4,,,,GNB 2,27,31,Shayne Graham kicks extra point good,0.000,0.000
4,,,,NWE 30,27,31,"Shayne Graham kicks off 70 yards, returned by Sam Shields for 45 yards (tackle by Patrick Chung)",0.000,1.930
4,7:07,1,10,GNB 45,27,31,Brandon Jackson left tackle for 12 yards (tackle by Jerod Mayo),1.930,2.720
4,6:29,1,10,NWE 43,27,31,Brandon Jackson right tackle for -3 yards (tackle by Patrick Chung),2.720,1.770
4,5:48,2,13,NWE 46,27,31,Matt Flynn pass complete short middle to Brett Swain for 6 yards (tackle by Brandon Meriweather and Devin McCourty),1.770,1.880
4,5:03,3,7,NWE 40,27,31,Matt Flynn pass incomplete deep left intended for Andrew Quarless,1.880,0.590
4,4:56,4,7,NWE 40,27,31,"Tim Masthay punts 29 yards, fair catch by Wes Welker",0.590,0.370
4,4:52,1,10,NWE 11,27,31,Danny Woodhead right guard for 4 yards (tackle by Ryan Pickett),-0.370,-0.430
4,4:45,,,,27,31,Timeout #1 by Green Bay Packers,0.000,-0.430
4,4:45,2,6,NWE 15,27,31,Tom Brady pass incomplete short right intended for Wes Welker,-0.430,-0.950
4,4:39,3,6,NWE 15,27,31,Tom Brady pass incomplete short middle intended for Brandon Tate (defended by A.J. Hawk),-0.950,-2.440
4,4:34,4,6,NWE 15,27,31,"Zoltan Mesko punts 48 yards, returned by Tramon Williams for 6 yards (tackle by Matt Slater)",-2.440,-1.800
4,4:22,1,10,GNB 43,27,31,Brandon Jackson middle for 5 yards (tackle by Brandon Meriweather),1.800,1.930
4,3:42,2,5,GNB 48,27,31,"Matt Flynn pass incomplete deep right intended for Greg Jennings is intercepted by Brandon Meriweather at NWE-18 and returned for 13 yards. Penalty on Tully Banta-Cain: Illegal Use of Hands, 5 yards (no play)",1.930,2.460
4,3:32,1,10,NWE 47,27,31,Brandon Jackson middle for 7 yards (tackle by Vince Wilfork and Jerod Mayo),2.460,2.860
4,2:56,2,3,NWE 40,27,31,Brandon Jackson right guard for 2 yards (tackle by Vince Wilfork and Gary Guyton),2.860,2.410
4,2:25,3,1,NWE 38,27,31,Matt Flynn middle for 3 yards (tackle by Kyle Love),2.410,3.250
4,1:58,1,10,NWE 35,27,31,Brandon Jackson right guard for 6 yards (tackle by Brandon Meriweather and Eric Moore),3.250,3.510
4,1:23,2,4,NWE 29,27,31,Matt Flynn pass incomplete deep left intended for Greg Jennings,3.510,2.810
4,1:18,3,4,NWE 29,27,31,Matt Flynn pass complete short middle to Donald Driver for 5 yards (tackle by Kyle Arrington),2.810,3.970
4,1:05,,,,27,31,Timeout #2 by Green Bay Packers,0.000,3.970
4,1:05,1,10,NWE 24,27,31,Matt Flynn sacked by Dane Fletcher for -8 yards,3.970,2.350
4,0:53,,,,27,31,Timeout #3 by Green Bay Packers,0.000,2.350
4,0:53,2,18,NWE 32,27,31,Matt Flynn pass complete short middle to James Jones for 7 yards (tackle by Dane Fletcher and Gary Guyton),2.350,2.610
4,0:29,3,11,NWE 25,27,31,Matt Flynn pass complete short middle to Donald Driver for 10 yards (tackle by Patrick Chung),2.610,2.590
4,0:05,4,1,NWE 15,27,31,"Matt Flynn sacked by Tully Banta-Cain for -3 yards. Matt Flynn fumbles (forced by Tully Banta-Cain), recovered by Vince Wilfork at NWE-15 (tackle by Scott Wells)",2.590,0.000
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
