Quarter,Time,Tm,Detail,NYJ,BUF
1.0,8:04,Bills,Robert Woods 7 yard pass from Kyle Orton (Dan Carpenter kick),0,7
,1:01,Jets,Nick Folk 27 yard field goal,3,7
2.0,0:43,Bills,Scott Chandler 19 yard pass from Kyle Orton (Dan Carpenter kick),3,14
3.0,9:45,Bills,Dan Carpenter 53 yard field goal,3,17
,7:57,Bills,Manny Lawson blocked punt recovery in end zone (Dan Carpenter kick),3,24
,5:03,Bills,Fred Jackson 5 yard rush (Dan Carpenter kick),3,31
4.0,5:53,Bills,Anthony Dixon 30 yard rush (Dan Carpenter kick),3,38
