Quarter,Time,Down,ToGo,Location,BAL,TAM,Detail,EPB,EPA
2,14:01,2,8,TAM 34,14,0,Chris Simms pass incomplete intended for Anthony Becht (defended by Bart Scott),0.800,0.100
2,13:55,3,8,TAM 34,14,0,Chris Simms pass complete short middle to Michael Pittman for 7 yards (tackle by Ray Lewis),0.100,-0.650
,,,,,,,"TAM challenged the ruling, and the play was upheld.",,
2,13:08,4,1,TAM 41,14,0,"Josh Bidwell punts 59 yards, touchback",-0.650,-0.280
2,12:56,1,10,BAL 20,14,0,Jamal Lewis middle for 2 yards (tackle by Ronde Barber and Derrick Brooks),0.280,0.000
2,12:15,2,8,BAL 22,14,0,Steve McNair pass incomplete intended for Todd Heap,0.000,-0.690
2,12:07,3,8,BAL 22,14,0,Steve McNair pass complete short left to Mark Clayton for 7 yards (tackle by Jermaine Phillips),-0.690,-1.440
,,,,,,,"BAL challenged the ruling, and the play was upheld.",,
2,11:55,4,1,BAL 29,14,0,"Sam Koch punts 47 yards, returned by Mark Jones for 11 yards (tackle by Matt Katula)",-1.440,-1.270
2,11:43,1,10,TAM 35,14,0,Cadillac Williams left guard for no gain (tackle by Adalius Thomas),1.270,0.720
2,11:10,2,10,TAM 35,14,0,Chris Simms pass complete short right to Cadillac Williams for 7 yards (tackle by Terrell Suggs),0.720,0.960
2,10:28,3,3,TAM 42,14,0,Chris Simms pass incomplete intended for Anthony Becht (defended by Ray Lewis),0.960,-0.590
2,10:22,4,3,TAM 42,14,0,Josh Bidwell punts 44 yards,-0.590,0.280
2,10:11,1,10,BAL 14,14,0,Jamal Lewis right guard for no gain (tackle by Derrick Brooks and Chris Hovan),-0.280,-0.750
2,9:24,2,10,BAL 14,14,0,Steve McNair pass incomplete intended for Todd Heap,-0.750,-1.400
2,9:19,3,10,BAL 14,14,0,Steve McNair pass complete short right to Demetrius Williams for 9 yards (tackle by Brian Kelly),-1.400,-1.830
2,9:05,4,1,BAL 23,14,0,"Sam Koch punts 45 yards, returned by Mark Jones for 5 yards (tackle by Gary Stills)",-1.830,-1.400
2,8:52,1,10,TAM 37,14,0,Chris Simms pass complete short middle to Cadillac Williams for 8 yards (tackle by Ray Lewis and Terrell Suggs),1.400,1.940
2,8:18,2,2,TAM 45,14,0,Cadillac Williams left end for 5 yards (tackle by Bart Scott and Trevor Pryce),1.940,2.260
2,7:39,,,,14,0,Timeout #2 by Tampa Bay Buccaneers,0.000,2.260
2,7:39,1,10,,14,0,Chris Simms pass complete to Michael Clayton for 4 yards (tackle by Dawan Landry),2.260,2.250
2,6:55,2,6,BAL 46,14,0,Chris Simms pass incomplete intended for Joey Galloway (defended by Terrell Suggs),2.250,1.550
2,6:51,3,6,BAL 46,14,0,Chris Simms pass incomplete short middle intended for Michael Clayton (defended by Chris McAlister). Penalty on John Wade: Illegal Use of Hands (Declined),1.550,0.200
2,6:45,4,6,BAL 46,14,0,Josh Bidwell punts 39 yards,0.200,0.380
2,6:32,1,10,BAL 7,14,0,Steve McNair pass complete short middle to Justin Green for 2 yards (tackle by Will Allen and Barrett Ruud),-0.380,-0.630
2,5:49,2,8,BAL 9,14,0,Steve McNair pass incomplete deep left intended for Derrick Mason (defended by Ronde Barber),-0.630,-1.190
2,5:42,3,8,BAL 9,14,0,Steve McNair pass complete short right to Musa Smith for 4 yards (tackle by Brian Kelly),-1.190,-2.490
2,5:03,4,4,BAL 13,14,0,"Sam Koch punts 42 yards, returned by Mark Jones for 13 yards (tackle by Gary Stills)",-2.490,-2.790
2,4:49,1,10,BAL 42,14,0,Cadillac Williams left tackle for 5 yards (tackle by Dawan Landry and Terrell Suggs),2.790,2.920
2,4:11,2,5,BAL 37,14,0,Cadillac Williams middle for 6 yards (tackle by Ray Lewis and Adalius Thomas),2.920,3.510
2,3:29,1,10,BAL 31,14,0,Cadillac Williams left tackle for 1 yard (tackle by Dwan Edwards),3.510,3.100
2,2:48,2,9,BAL 30,14,0,Chris Simms pass incomplete intended for Cadillac Williams is intercepted by Haloti Ngata at BAL-31 and returned for 60 yards,3.100,-5.140
2,2:31,1,9,TAM 9,14,0,Jamal Lewis for no gain (tackle by Anthony McFarland and Ryan Nece),5.140,4.380
2,2:10,,,,14,0,Timeout #3 by Tampa Bay Buccaneers,0.000,4.380
2,2:10,2,9,TAM 9,14,0,Steve McNair pass incomplete intended for Todd Heap,4.380,3.360
2,2:05,3,9,TAM 9,14,0,Steve McNair pass complete short left to Todd Heap for 7 yards (tackle by Ronde Barber),3.360,3.250
2,1:59,4,2,TAM 2,17,0,Matt Stover 20 yard field goal good,3.250,3.000
2,,,,BAL 30,17,0,"Sam Koch kicks off 65 yards, returned by Michael Pittman for 27 yards (tackle by Daniel Wilcox)",0.000,1.070
2,1:47,1,10,TAM 32,17,0,Chris Simms sacked by Ray Lewis for -9 yards,1.070,-0.690
2,0:59,2,19,TAM 23,17,0,Michael Pittman left end for -1 yards (tackle by Terrell Suggs),-0.690,-1.480
2,0:54,,,,17,0,Timeout #2 by Baltimore Ravens,0.000,-1.480
2,0:54,3,20,TAM 22,17,0,Michael Pittman left end for -1 yards (tackle by Terrell Suggs),-1.480,-1.960
2,0:50,,,,17,0,Timeout #3 by Baltimore Ravens,0.000,-1.960
2,0:50,4,21,TAM 21,17,0,"Josh Bidwell punts 55 yards, returned by B.J. Sams for 24 yards (tackle by Kalvin Pearson)",-1.960,-2.130
2,0:35,1,10,BAL 48,17,0,Steve McNair pass complete to Mark Clayton for 11 yards (tackle by Ronde Barber),2.130,2.850
2,0:15,1,10,TAM 41,17,0,Steve McNair spiked the ball,2.850,2.310
2,0:14,2,10,TAM 41,17,0,Steve McNair pass complete to Todd Heap for 11 yards (tackle by Juran Bolden),2.310,2.130
Quarter,Time,Down,ToGo,Location,BAL,TAM,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,BAL 30,17,0,"Sam Koch kicks off 62 yards, returned by Michael Pittman for 18 yards (tackle by Corey Ivy)",0.000,0.670
3,14:54,1,10,TAM 26,17,0,Chris Simms pass complete short middle to Cadillac Williams for 5 yards (tackle by Ray Lewis),0.670,0.810
3,14:13,2,5,TAM 31,17,0,Cadillac Williams for -4 yards (tackle by Bart Scott),0.810,-0.430
3,13:37,3,9,TAM 27,17,0,Chris Simms sacked by Bart Scott for -11 yards,-0.430,-2.390
3,13:11,4,20,TAM 16,17,0,Josh Bidwell punts 39 yards (tackle by Earnest Graham),-2.390,-3.120
3,12:59,1,10,TAM 37,17,0,Steve McNair pass incomplete short left intended for Mark Clayton,3.120,2.570
3,12:55,2,10,TAM 37,17,0,Steve McNair pass complete short middle to Todd Heap for 7 yards (tackle by Barrett Ruud and Ryan Nece),2.570,2.810
3,12:13,3,3,TAM 30,17,0,Steve McNair right end for 4 yards (tackle by Ronde Barber),2.810,3.840
3,11:25,1,10,TAM 26,17,0,Steve McNair pass incomplete intended for Daniel Wilcox,3.840,3.300
3,11:20,2,10,TAM 26,17,0,Jamal Lewis middle for 2 yards (tackle by Greg Spires and Anthony McFarland),3.300,2.870
3,10:36,3,8,TAM 24,17,0,Steve McNair pass incomplete intended for Mark Clayton (defended by Jermaine Phillips),2.870,1.870
3,10:27,4,8,TAM 24,20,0,Matt Stover 42 yard field goal good,1.870,3.000
3,,,,BAL 30,20,0,"Sam Koch kicks off 66 yards, returned by Michael Pittman for 23 yards (tackle by Ovie Mughelli)",0.000,0.740
3,10:15,1,10,TAM 27,20,0,Chris Simms pass complete to Cadillac Williams for 6 yards (tackle by Samari Rolle),0.740,1.010
3,9:41,2,4,TAM 33,20,0,Chris Simms pass incomplete intended for Joey Galloway,1.010,0.300
3,9:36,3,4,TAM 33,20,0,Chris Simms pass complete to Mike Alstott for 9 yards (tackle by Samari Rolle),0.300,1.730
3,8:54,1,10,TAM 42,20,0,Chris Simms pass complete deep middle to Michael Clayton for 27 yards (tackle by Samari Rolle),1.730,3.510
3,8:09,1,10,BAL 31,20,0,Chris Simms pass complete short right to Alex Smith for 19 yards (tackle by Adalius Thomas),3.510,4.780
3,7:20,1,10,BAL 12,20,0,Chris Simms pass complete to Cadillac Williams for -1 yards (tackle by Chris McAlister),4.780,3.940
3,6:43,2,11,BAL 13,20,0,Chris Simms pass complete short left to Mike Alstott for 7 yards (tackle by Ray Lewis),3.940,4.380
3,5:50,3,4,BAL 6,20,0,Chris Simms pass incomplete short middle intended for Michael Pittman (defended by Ray Lewis),4.380,3.000
3,5:45,,,,20,0,Timeout #1 by Tampa Bay Buccaneers,0.000,3.000
3,5:45,4,4,BAL 6,20,0,Chris Simms pass incomplete intended for Michael Clayton (defended by Ray Lewis),3.000,0.380
3,5:38,1,10,BAL 6,20,0,Jamal Lewis left tackle for -1 yards (tackle by Dewayne White),-0.380,-0.850
3,4:56,2,11,BAL 5,20,0,Jamal Lewis left end for 1 yard (tackle by Derrick Brooks),-0.850,-1.420
3,4:14,3,10,BAL 6,20,0,Steve McNair pass complete to Daniel Wilcox for 35 yards (tackle by Will Allen),-1.420,1.660
3,3:19,1,10,BAL 41,20,0,Mike Anderson middle for no gain (tackle by Barrett Ruud and Derrick Brooks),1.660,1.120
3,2:36,2,10,BAL 41,20,0,Steve McNair pass complete to Todd Heap for 8 yards (tackle by Derrick Brooks),1.120,1.490
3,1:52,3,2,BAL 49,20,0,"Jamal Lewis left end for no gain (tackle by Simeon Rice). Jamal Lewis fumbles (forced by Simeon Rice), ball out of bounds at BAL-49",1.490,-0.130
3,1:40,4,2,BAL 49,20,0,"Sam Koch punts 51 yards, touchback",-0.130,-0.280
3,1:29,1,10,TAM 20,20,0,"Michael Pittman left tackle for 5 yards (tackle by Bart Scott). Penalty on Terrell Suggs: Defensive Offside, 5 yards (no play)",0.280,1.010
3,1:14,1,5,TAM 25,20,0,Chris Simms pass complete to Michael Clayton for 3 yards (tackle by Samari Rolle),1.010,0.810
3,0:39,2,2,TAM 28,20,0,Michael Pittman middle for 1 yard (tackle by Dawan Landry),0.810,0.230
3,0:05,3,1,TAM 29,20,0,Mike Alstott middle for 2 yards (tackle by Ray Lewis),0.230,1.000
Quarter,Time,Down,ToGo,Location,BAL,TAM,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,TAM 31,20,0,Chris Simms pass complete short right to Mike Alstott for 10 yards (tackle by Bart Scott),1.000,1.660
4,14:19,1,10,TAM 41,20,0,Chris Simms pass complete to Anthony Becht for 4 yards (tackle by Adalius Thomas),1.660,1.660
4,13:38,2,6,TAM 45,20,0,Chris Simms pass incomplete deep right intended for Michael Clayton is intercepted by Ed Reed at BAL-36 and returned for 3 yards,1.660,-1.530
4,13:28,1,10,BAL 39,20,0,Mark Clayton for -8 yards (tackle by Simeon Rice),1.530,-0.090
4,12:47,2,18,BAL 31,20,0,Jamal Lewis middle for 2 yards (tackle by Chris Hovan and Ryan Nece),-0.090,-0.490
4,12:04,3,16,BAL 33,20,0,Steve McNair pass complete to Derrick Mason for 19 yards (tackle by Jermaine Phillips),-0.490,2.390
4,11:17,1,10,TAM 48,20,0,Jamal Lewis middle for 2 yards (tackle by Derrick Brooks),2.390,2.120
4,10:33,2,8,TAM 46,20,0,Jamal Lewis left guard for 9 yards (tackle by Ryan Nece),2.120,3.120
4,9:45,1,10,TAM 37,20,0,Jamal Lewis left tackle for 27 yards (tackle by Will Allen),3.120,4.910
4,8:57,1,10,TAM 10,20,0,Mike Anderson middle for 2 yards (tackle by Ronde Barber and Barrett Ruud),4.910,4.570
4,8:10,2,8,TAM 8,20,0,Mike Anderson middle for 4 yards (tackle by Will Allen and Barrett Ruud),4.570,4.490
4,7:23,3,4,TAM 4,26,0,"Steve McNair pass complete to Daniel Wilcox for 4 yards, touchdown",4.490,7.000
4,,,,TAM 2,27,0,Matt Stover kicks extra point good,0.000,0.000
4,,,,BAL 30,27,0,"Sam Koch kicks off 66 yards, returned by Torrie Cox for 26 yards (tackle by Justin Green)",0.000,0.940
4,7:09,1,10,TAM 30,27,0,Bruce Gradkowski pass complete short left to Anthony Becht for 4 yards (tackle by Adalius Thomas),0.940,0.930
4,6:34,2,6,TAM 34,27,0,Bruce Gradkowski pass incomplete short right intended for Michael Pittman,0.930,0.230
4,6:30,3,6,TAM 34,27,0,Bruce Gradkowski pass incomplete intended for Ike Hilliard (defended by Jarret Johnson),0.230,-1.110
4,6:25,4,6,TAM 34,27,0,"Josh Bidwell punts 39 yards, returned by Evan Oglesby for no gain",-1.110,-0.740
4,6:13,1,10,BAL 27,27,0,Mike Anderson middle for 2 yards (tackle by Ronde Barber and Greg Spires),0.740,0.470
4,5:32,2,8,BAL 29,27,0,"Kyle Boller for 1 yard. Kyle Boller fumbles, recovered by Kyle Boller at BAL-29",0.470,-0.100
4,5:32,3,7,BAL 30,27,0,"Penalty on Kyle Boller: Delay of Game, 5 yards (no play)",-0.100,-0.760
4,4:41,3,12,BAL 25,27,0,Mike Anderson right end for 8 yards (tackle by Anthony McFarland and Jermaine Phillips),-0.760,-1.180
4,3:55,4,4,BAL 33,27,0,"Sam Koch punts 41 yards, returned by Mark Jones for 18 yards (tackle by Gary Stills)",-1.180,-1.860
4,3:43,1,10,TAM 44,27,0,Bruce Gradkowski sacked by Bart Scott for -1 yards,1.860,1.180
4,3:34,2,11,TAM 43,27,0,Bruce Gradkowski pass incomplete intended for Michael Clayton,1.180,0.500
4,3:28,3,11,TAM 43,27,0,Bruce Gradkowski pass incomplete intended for Mike Alstott,0.500,-0.520
4,3:22,4,11,TAM 43,27,0,"Josh Bidwell punts 48 yards, returned by B.J. Sams for 10 yards (tackle by Blue Adams)",-0.520,-0.150
4,3:09,1,10,BAL 19,27,0,Mike Anderson middle for 5 yards (tackle by Jermaine Phillips),0.150,0.340
4,2:26,2,5,BAL 24,27,0,Mike Anderson middle for 4 yards (tackle by Anthony McFarland),0.340,0.100
4,2:00,3,1,BAL 28,27,0,"Kyle Boller for no gain. Penalty on Greg Spires: Defensive Offside, 5 yards (no play)",0.100,1.140
4,2:00,1,10,BAL 33,27,0,Kyle Boller kneels for no gain,1.140,0.590
4,1:07,2,10,BAL 33,27,0,Kyle Boller kneels for -1 yards,0.590,-0.230
4,0:31,3,11,BAL 32,27,0,Kyle Boller kneels for -2 yards,-0.230,-1.370
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
