Quarter,Time,Tm,Detail,BAL,TAM
1.0,5:44,Ravens,Jamal Lewis 4 yard rush (Matt Stover kick),7,0
2.0,14:45,Ravens,Chris McAlister 60 yard interception return (Matt Stover kick),14,0
,1:54,Ravens,Matt Stover 20 yard field goal,17,0
3.0,10:22,Ravens,Matt Stover 42 yard field goal,20,0
4.0,7:17,Ravens,Daniel Wilcox 4 yard pass from Steve McNair (Matt Stover kick),27,0
