Unnamed: 0,BAL,TAM
First Downs,16,8
Rush-Yds-TDs,34-103-1,13-26-0
Cmp-Att-Yd-TD-INT,17-27-181-1-0,18-34-137-0-3
Sacked-Yards,1-13,3-21
Net Pass Yards,168,116
Total Yards,271,142
Fumbles-Lost,4-0,0-0
Turnovers,0,3
Penalties-Yards,4-25,3-21
Third Down Conv.,5-14,3-12
Fourth Down Conv.,0-0,0-1
Time of Possession,35:49,24:11
