Unnamed: 0,OAK,DEN
First Downs,12,26
Rush-Yds-TDs,16-56-0,38-165-1
Cmp-Att-Yd-TD-INT,19-34-202-0-0,30-39-338-3-0
Sacked-Yards,3-21,0-0
Net Pass Yards,181,338
Total Yards,237,503
Fumbles-Lost,1-0,1-1
Turnovers,0,1
Penalties-Yards,5-41,4-30
Third Down Conv.,1-12,10-16
Fourth Down Conv.,1-2,1-2
Time of Possession,22:35,37:25
