Quarter,Time,Tm,Detail,IND,HOU
1.0,8:25,Texans,Vonta Leach 7 yard pass from Matt Schaub (Kris Brown kick),0,7
,2:10,Texans,Chris Brown 5 yard rush (Kris Brown kick),0,14
2.0,10:49,Texans,Kris Brown 35 yard field goal,0,17
,5:46,Colts,Pierre Garcon 9 yard pass from Peyton Manning (Matt Stover kick),7,17
,1:00,Texans,Kris Brown 33 yard field goal,7,20
3.0,11:20,Colts,Reggie Wayne 4 yard pass from Peyton Manning (Matt Stover kick),14,20
4.0,8:24,Colts,Dallas Clark 6 yard pass from Peyton Manning (Matt Stover kick),21,20
,8:09,Colts,Clint Session 27 yard interception return (Matt Stover kick),28,20
,2:52,Colts,Chad Simpson 23 yard rush (Matt Stover kick),35,20
,0:18,Texans,Jacoby Jones 10 yard pass from Matt Schaub (Kris Brown kick),35,27
