Quarter,Time,Down,ToGo,Location,IND,PIT,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Colts won the coin toss, Colts to receive the opening kickoff.",,
1,15:00,,,PIT 30,0,0,"Todd Peterson kicks off 57 yards, returned by Troy Walters for 9 yards (tackle by Verron Haynes)",0.000,0.410
1,15:00,1,10,IND 22,0,0,Edgerrin James middle for 14 yards (tackle by Chad Scott),0.410,1.330
1,14:20,1,10,IND 36,0,0,Edgerrin James right tackle for 2 yards (tackle by Jason Gildon and Kimo von Oelhoffen),1.330,1.060
1,13:40,2,8,IND 38,0,0,Peyton Manning pass incomplete intended for Marvin Harrison (defended by Brent Alexander),1.060,0.370
1,13:37,3,8,IND 38,0,0,Peyton Manning pass incomplete intended for Qadry Ismail (defended by Dewayne Washington),0.370,-0.850
1,13:31,4,8,IND 38,0,0,"Hunter Smith punts 3 yards, out of bounds",-0.850,-2.850
1,13:24,1,10,IND 41,0,0,Tommy Maddox pass complete to Plaxico Burress for 9 yards (tackle by David Macklin),2.850,3.520
1,12:48,2,1,IND 32,0,0,Jerome Bettis right guard for 4 yards (tackle by James Cannida),3.520,3.710
1,12:09,1,10,IND 28,0,0,Jerome Bettis left guard for 1 yard (tackle by David Gibson),3.710,3.300
1,11:28,2,9,IND 27,0,0,Tommy Maddox pass complete to Plaxico Burress for 10 yards,3.300,4.440
1,11:01,1,10,IND 17,0,0,Jerome Bettis middle for no gain (tackle by Marcus Washington),4.440,3.850
1,10:25,2,10,IND 17,0,6,"Tommy Maddox pass complete to Hines Ward for 17 yards, touchdown",3.850,7.000
1,10:25,,,IND 17,0,7,Todd Peterson kicks extra point good,0.000,0.000
1,10:25,,,PIT 30,0,7,"Todd Peterson kicks off 55 yards, returned by Ricky Williams for 14 yards (tackle by Mike Logan)",0.000,0.870
1,10:19,1,10,IND 29,0,7,Peyton Manning pass complete to Marvin Harrison for 17 yards (tackle by Chad Scott),0.870,1.990
1,9:46,1,10,IND 46,0,7,Edgerrin James middle for 6 yards (tackle by James Farrior and Kendrell Bell),1.990,2.260
1,9:10,2,4,PIT 48,0,7,Peyton Manning pass complete to Edgerrin James for 7 yards (tackle by Aaron Smith),2.260,2.850
1,8:31,1,10,PIT 41,0,7,"Peyton Manning pass incomplete intended for Edgerrin James. Penalty on Ryan Diem: Offensive Holding, 10 yards (no play)",2.850,2.190
1,8:27,1,20,IND 49,0,7,Peyton Manning pass complete to Edgerrin James for 3 yards (tackle by James Farrior and Casey Hampton),2.190,1.360
1,7:40,2,17,PIT 48,0,7,Edgerrin James left guard for 2 yards (tackle by James Farrior and Jason Gildon),1.360,0.960
1,6:56,3,15,PIT 46,0,7,Peyton Manning pass incomplete intended for Reggie Wayne (defended by Mike Logan),0.960,0.200
1,6:50,4,15,PIT 46,0,7,"Hunter Smith punts 46 yards, touchback",0.200,-0.280
1,6:40,1,10,PIT 20,0,7,Tommy Maddox pass complete to Plaxico Burress for 18 yards (tackle by Idrees Bashir),0.280,1.470
1,5:59,1,10,PIT 38,0,7,Hines Ward right end for 8 yards (tackle by David Gibson and Chad Bratzke),1.470,2.000
1,5:16,2,2,PIT 46,0,7,Jerome Bettis right tackle for 3 yards (tackle by Brad Scioli and James Cannida),2.000,2.190
1,4:36,1,10,PIT 49,0,7,Tommy Maddox pass incomplete intended for Plaxico Burress (defended by David Macklin),2.190,1.650
1,4:29,2,10,PIT 49,0,7,Tommy Maddox pass complete to Mark Bruener for 8 yards (tackle by Nick Harper and Mike Peterson),1.650,2.010
1,3:45,3,2,IND 43,0,7,"Tommy Maddox pass incomplete intended for Dan Kreider. Penalty on Raheem Brock: Face Mask (15 Yards), 15 yards (no play)",2.010,3.710
1,3:41,1,10,IND 28,0,7,Tommy Maddox pass incomplete intended for Hines Ward,3.710,3.170
1,3:41,2,10,IND 28,0,7,Antwaan Randle El left end for 4 yards (tackle by David Thornton),3.170,3.010
1,2:52,3,6,IND 24,0,7,Tommy Maddox pass complete to Hines Ward for 9 yards (tackle by Clifton Crosby),3.010,4.580
1,2:08,1,10,IND 15,0,7,Jerome Bettis left tackle for 7 yards (tackle by Rob Morris),4.580,5.220
1,1:28,2,3,IND 8,0,7,Jerome Bettis right guard for 5 yards (tackle by Chad Bratzke and Idrees Bashir),5.220,6.510
1,0:48,1,3,IND 3,0,13,"Jerome Bettis left tackle for 3 yards, touchdown",6.510,7.000
1,0:48,,,IND 3,0,14,"Todd Peterson kicks extra point good. Penalty on IND: Defensive 12 On-field, 5 yards",0.000,0.000
1,0:48,,,PIT 35,0,14,"Todd Peterson kicks off 57 yards, returned by Troy Walters for 17 yards (tackle by Chidi Iwuoma)",0.000,0.610
1,0:45,1,10,IND 25,0,14,Edgerrin James right guard for 2 yards (tackle by James Farrior),0.610,0.330
1,0:03,2,8,IND 27,0,14,Peyton Manning pass complete to Marvin Harrison for 12 yards (tackle by Chad Scott),0.330,1.530
Quarter,Time,Down,ToGo,Location,IND,PIT,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,IND 39,0,14,Edgerrin James left tackle for 7 yards (tackle by James Farrior),1.530,1.930
2,14:28,2,3,IND 46,0,14,Edgerrin James middle for 2 yards (tackle by Kimo von Oelhoffen and Kendrell Bell),1.930,1.490
2,13:47,3,1,IND 48,0,14,Edgerrin James middle for 1 yard (tackle by Casey Hampton and Jason Gildon),1.490,2.190
