Quarter,Time,Tm,Detail,IND,PIT
1.0,10:19,Steelers,Hines Ward 17 yard pass from Tommy Maddox (Todd Peterson kick),0,7
,0:45,Steelers,Jerome Bettis 3 yard rush (Todd Peterson kick),0,14
2.0,7:35,Steelers,Jerome Bettis 5 yard rush (Todd Peterson kick),0,21
,1:50,Colts,Mike Vanderjagt 41 yard field goal,3,21
3.0,11:38,Colts,Marcus Pollard 41 yard pass from Peyton Manning (Mike Vanderjagt kick),10,21
,5:48,Steelers,Hines Ward 14 yard pass from Tommy Maddox (Todd Peterson kick),10,28
